tarih,g_ar,g_ham,g_ar_13y,g_ham_13y,g_ar_52
2009-04-17,-0.0018041131290351675,0.0002781919014771539,-6.2620542012120755,-6.740163120761733,6.918444512978539
2009-04-24,-0.0038481958006638672,-0.0005280593239938014,-4.639390647720443,-4.730809144502979,6.084443700651021
2009-05-01,0.013331887276641918,0.010108934153182814,-1.0092881033202605,-1.4307903086409057,6.550534863899804
2009-05-08,-0.004074206291338922,-0.008535332951555064,1.8133095085862028,-1.0709373698996605,5.555894151229546
2009-05-15,0.0062149802617370575,0.008714953101845557,4.207349447988862,2.010333227652983,5.261178425058199
2009-05-22,-0.006833065363222923,-0.010342811421555909,2.266261801145264,-2.382697387684418,4.776537717844298
2009-05-29,0.023612503030937537,0.02421057341899302,10.208936093771515,5.234310945517473,5.618832863622258
2009-06-05,-0.009614186089970111,-0.009723807601261347,9.203379006042312,2.600302233676066,4.175278118898995
2009-06-12,0.005565078947161961,0.00516863464168793,14.775174851005701,7.198600634228924,4.155956723189913
2009-06-19,-0.0014651249489576745,-1.3728569951965142e-05,12.195193051936904,7.590091488640649,3.1991043938920605
2009-06-26,0.016441312058134594,0.015407947316321557,15.297553637637208,11.23565082346969,3.265188118499207
2009-07-03,-0.0034553037538846976,-0.003867914351377455,16.313056074537414,13.257917548300767,3.029191286748101
2009-07-10,0.00248589668388699,0.0039364138269402105,15.455649990166421,14.63821776345231,2.468785312078725
2009-07-17,-0.004086744958268329,-0.006222185224844412,14.403190708931657,11.687202517662886,2.7560867564825786
2009-07-24,-0.003355371625482717,-0.006771991617445461,14.62975260962438,8.922304157630023,1.9192935264090272
2009-07-31,0.016564539377855958,0.015840055325234026,16.099498416220648,11.41542058157441,2.4188893371547726
2009-08-07,-0.003223571701437833,-0.002751560550698584,16.496655907980085,14.038054157090386,2.178279093838631
2009-08-14,0.004536754781921282,0.004536761236091591,15.721397798405935,12.160335809641776,1.7986281989576636
2009-08-21,-0.004626715578954221,-0.0039688160114260684,16.753143582873587,15.077894965147598,1.4761909360879955
2009-08-28,0.0062447277713111315,0.006931710807271729,9.02867303510282,7.506559041693461,1.0027366569213436
2009-09-04,0.002209275399404076,0.0026514452271040323,14.329091835787588,12.982074750218263,0.8908645395014902
2009-09-11,0.007199234464947635,0.006847594811178803,15.074095602989978,13.738836148273158,1.4298436037477158
2009-09-18,2.7862723705807113e-05,-0.0020414285719820846,15.763865831682345,12.819112685271516,1.1605284382921521
2009-09-25,-0.00016696123104997795,0.0009778982563770633,8.381142085508152,6.541400209569326,-1.350770421068459
2009-10-02,0.018084839086255355,0.019211465635440517,18.059917479714894,16.76371021957952,0.1774632500452622
2009-10-09,0.0015138361848716642,-0.0017541575661893516,17.602675844763095,14.138746696700721,1.6376012164953213
2009-10-16,0.007967787421596206,0.007468408731975185,23.400740459773004,20.55956093371334,3.0847166926027736
2009-10-23,-0.003620438641315671,-0.003115895574784089,23.269514470799347,22.344516958910955,3.755667146606023
2009-10-30,0.013320693174351916,0.015738276701558362,21.703622917228028,22.295492763721313,4.135577593771966
2009-11-06,6.267949434324294e-05,-0.0005767235026172823,23.316545892781004,23.36581421532131,5.546759343745
2009-11-13,0.004625334495126809,0.004522739901114736,23.36004769249889,23.358926594053187,6.4541559276653615
2009-11-20,0.007509372114488766,0.008743887095676861,29.487243801194364,29.77842612024,7.874428731409178
2009-11-27,0.012394295822739876,0.011893426608621915,32.68177515988562,32.35535868886805,9.107781577065378
2009-12-04,-0.0038023195598523296,-0.0043471157430778895,29.52682105350617,28.698479925560115,8.86019399789022
2009-12-11,0.007534433332851531,0.008511507570793109,29.699334777435872,29.551337764733198,9.655612271817105
2009-12-18,-0.0005418855657581823,0.0017130632930875134,29.404011619066715,31.511945053644254,9.946206988773065
2009-12-25,0.0103652246301702,0.00980376416115103,34.94331212885253,36.21194325463648,10.722811835390122
2010-01-01,0.014026384997078312,0.01230026547648122,32.804413102526375,32.55477878726636,12.848298205828467
2010-01-08,-0.0067054210447514695,-0.008938501904856233,28.498173236791825,28.779806109748527,13.160467500023977
2010-01-15,0.012611315813398027,0.011482992491089083,30.8824590567065,30.84476713743516,14.719750875839633
2010-01-22,-0.007156083597471663,-0.004771330547926,29.034582492557128,29.977801538251448,14.830444183566115
2010-01-29,0.009460145021781274,0.01008954796038175,27.07940797833217,27.11049840582995,15.46513565755867
2010-02-05,-0.00012186377642842139,0.0028764769464006967,26.985633219945584,28.876389630412792,16.741021341534456
2010-02-12,0.0065232444099572184,0.006145604486149425,27.947946635216535,29.71123907539357,17.45728754180551
2010-02-19,0.0030280367468180636,0.0037742150411572695,25.68667349463638,27.173928007185253,18.06720864062448
2010-02-26,0.018067113578654537,0.01997325435124586,28.527514442536116,31.2847018711798,19.644084160733154
2010-03-05,-0.0018493778205896927,-0.0018493738295696227,29.538341215287446,32.6070555082437,20.30611906199409
2010-03-12,0.008626034300550867,0.006852881517869225,30.100641198034104,31.736848208397173,22.182970584164785
2010-03-19,0.0012552551796762845,0.001814956851063032,31.038911806481106,31.79045711058435,21.821466231964614
2010-03-26,0.018320308265012297,0.018554921172931893,35.214833502916456,36.41867562820613,22.88174776233134
2010-04-02,0.008869008806674517,0.007158000416004562,32.48491783942333,33.667816488318266,24.674453281887352
2010-04-09,0.00548983758737176,0.0024932699799307123,39.11210491888502,39.94271613427276,24.816950400020232
2010-04-16,0.00760407218167547,0.006061818999808066,36.380875154906555,36.96658560755628,25.993373800202946
2010-04-23,0.0013213683998423154,0.002029599497444634,41.09885633193235,40.74900035324529,26.647220766049728
2010-04-30,0.01699482430544208,0.01687322125357671,45.358943029590584,44.56829283418462,27.105018256056045
2010-05-07,-0.003202176433310888,0.0061035615381346275,43.57598108527982,46.43807758157115,27.21631105690989
2010-05-14,0.011768085545308171,0.007652231904278439,46.592064831629365,47.31716973910369,27.91839319933922
2010-05-21,0.00275388457530501,0.008533067041498477,46.43186169607378,50.130798232425455,29.15317779500981
2010-05-28,0.01666452184361944,0.013998775895721183,45.62657069248737,46.64402792866142,28.276523937280484
