tarih,usdtry
2018-11-09,5.4095
2018-11-12,5.4819
2018-11-13,5.4764
2018-11-14,5.477
2018-11-15,5.4625
2018-11-16,5.4177
2018-11-19,5.3412
2018-11-20,5.3231
2018-11-21,5.3272
2018-11-22,5.3497
2018-11-23,5.3029
2018-11-26,5.2771
2018-11-27,5.2444
2018-11-28,5.2366
2018-11-29,5.2486
2018-11-30,5.1649
2018-12-03,5.157
2018-12-04,5.1906
2018-12-05,5.2723
2018-12-06,5.3733
2018-12-07,5.3608
2018-12-10,5.3257
2018-12-11,5.281
2018-12-12,5.3505
2018-12-13,5.3633
2018-12-14,5.3611
2018-12-17,5.371
2018-12-18,5.3766
2018-12-19,5.3504
2018-12-20,5.3314
2018-12-21,5.26
2018-12-24,5.2746
2018-12-25,5.2926
2018-12-26,5.3034
2018-12-27,5.2832
2018-12-28,5.2889
2018-12-31,5.2609
2019-01-02,5.281
2019-01-03,5.3316
2019-01-04,5.4588
2019-01-07,5.4088
2019-01-08,5.3597
2019-01-09,5.4264
2019-01-10,5.4973
2019-01-11,5.4626
2019-01-14,5.4242
2019-01-15,5.5103
2019-01-16,5.4401
2019-01-17,5.4037
2019-01-18,5.3563
2019-01-21,5.3429
2019-01-22,5.3369
2019-01-23,5.3454
2019-01-24,5.3142
2019-01-25,5.274
2019-01-28,5.2641
2019-01-29,5.2763
2019-01-30,5.3339
2019-01-31,5.2781
2019-02-01,5.2109
2019-02-04,5.1945
2019-02-05,5.2194
2019-02-06,5.1979
2019-02-07,5.2089
2019-02-08,5.2407
2019-02-11,5.2438
2019-02-12,5.2556
2019-02-13,5.2638
2019-02-14,5.2429
2019-02-15,5.2867
2019-02-18,5.2601
2019-02-19,5.2922
2019-02-20,5.3052
2019-02-21,5.2964
2019-02-22,5.3141
2019-02-25,5.3168
2019-02-26,5.3058
2019-02-27,5.2949
2019-02-28,5.2905
2019-03-01,5.3177
2019-03-04,5.3442
2019-03-05,5.3781
2019-03-06,5.3671
2019-03-07,5.379
2019-03-08,5.4309
2019-03-11,5.4544
2019-03-12,5.4345
2019-03-13,5.4359
2019-03-14,5.4523
2019-03-15,5.4617
2019-03-18,5.4564
2019-03-19,5.4544
2019-03-20,5.4642
2019-03-21,5.47
2019-03-22,5.4392
2019-03-25,5.5274
2019-03-26,5.6458
2019-03-27,5.4945
2019-03-28,5.3307
2019-03-29,5.5423
2019-04-01,5.6284
2019-04-02,5.5986
2019-04-03,5.5569
2019-04-04,5.6067
2019-04-05,5.6291
2019-04-08,5.5923
2019-04-09,5.6671
2019-04-10,5.6576
2019-04-11,5.6727
2019-04-12,5.7112
2019-04-15,5.7827
2019-04-16,5.7852
2019-04-17,5.7892
2019-04-18,5.7427
2019-04-19,5.8094
2019-04-22,5.7921
2019-04-24,5.8253
2019-04-25,5.8598
2019-04-26,5.8927
2019-04-29,5.9233
2019-04-30,5.9282
2019-05-02,5.9563
2019-05-03,5.9571
2019-05-06,5.9602
2019-05-07,5.9915
2019-05-08,6.1475
2019-05-09,6.1607
2019-05-10,6.2026
2019-05-13,6.1129
2019-05-14,6.0827
2019-05-15,6.0438
2019-05-16,6.0529
2019-05-17,5.9999
2019-05-20,6.0463
2019-05-21,6.04
2019-05-22,6.0425
2019-05-23,6.0762
2019-05-24,6.1252
2019-05-27,6.0656
2019-05-28,6.046
2019-05-29,6.0392
2019-05-30,6.0152
2019-05-31,5.9235
2019-06-03,5.8613
2019-06-07,5.8613
2019-06-10,5.8354
2019-06-11,5.807
2019-06-12,5.7791
2019-06-13,5.7997
2019-06-14,5.8264
2019-06-17,5.8826
2019-06-18,5.8704
2019-06-19,5.841
2019-06-20,5.8518
2019-06-21,5.7311
2019-06-24,5.7915
2019-06-25,5.7444
2019-06-26,5.7904
2019-06-27,5.763
2019-06-28,5.7665
2019-07-01,5.7551
2019-07-02,5.6792
2019-07-03,5.6669
2019-07-04,5.6292
2019-07-05,5.5934
2019-07-08,5.6007
2019-07-09,5.7227
2019-07-10,5.7122
2019-07-11,5.7381
2019-07-12,5.6665
2019-07-16,5.6916
2019-07-17,5.7027
2019-07-18,5.6929
2019-07-19,5.6912
2019-07-22,5.6316
2019-07-23,5.6684
2019-07-24,5.6784
2019-07-25,5.7135
2019-07-26,5.6991
2019-07-29,5.6564
2019-07-30,5.6272
2019-07-31,5.5709
2019-08-01,5.5227
2019-08-02,5.5815
2019-08-05,5.5809
2019-08-06,5.556
2019-08-07,5.5315
2019-08-08,5.4858
2019-08-09,5.4744
2019-08-15,5.4809
2019-08-16,5.5714
2019-08-19,5.5398
2019-08-20,5.5775
2019-08-21,5.7046
2019-08-22,5.7096
2019-08-23,5.7478
