o,h,l,c,v,ts
15096.33984375,15175.4404296875,15082.23046875,15143.490234375,0,2026-03-12 10:30:00
15143.9296875,15292.8701171875,15140.6796875,15218.6298828125,0,2026-03-12 11:30:00
15219.75,15230.16015625,15114.6904296875,15120.580078125,0,2026-03-12 12:30:00
15120.2099609375,15133.51953125,15014.9296875,15036.169921875,0,2026-03-12 13:30:00
15026.5302734375,15134.0,15020.58984375,15095.259765625,0,2026-03-12 14:30:00
15086.1904296875,15086.1904296875,14860.23046875,14871.3603515625,0,2026-03-13 06:30:00
14873.83984375,14877.2998046875,14691.6796875,14706.25,0,2026-03-13 07:30:00
14704.349609375,14789.599609375,14678.400390625,14761.669921875,0,2026-03-13 08:30:00
14761.5703125,14776.900390625,14736.1201171875,14766.6201171875,0,2026-03-13 09:30:00
14766.1904296875,14824.7802734375,14731.919921875,14813.0302734375,0,2026-03-13 10:30:00
14813.7802734375,14857.2001953125,14767.3798828125,14783.8701171875,0,2026-03-13 11:30:00
14785.8203125,14888.2802734375,14773.7900390625,14861.900390625,0,2026-03-13 12:30:00
14860.4599609375,14953.650390625,14854.1103515625,14878.259765625,0,2026-03-13 13:30:00
14879.9501953125,14930.990234375,14818.83984375,14930.990234375,0,2026-03-13 14:30:00
14869.5595703125,14938.8203125,14783.58984375,14805.240234375,0,2026-03-16 06:30:00
14806.240234375,14806.240234375,14724.8203125,14731.4404296875,0,2026-03-16 07:30:00
14732.2001953125,14748.1904296875,14682.830078125,14685.2001953125,0,2026-03-16 08:30:00
14686.259765625,14686.259765625,14626.650390625,14658.169921875,0,2026-03-16 09:30:00
14658.169921875,14708.0302734375,14614.5,14670.1298828125,0,2026-03-16 10:30:00
14669.4404296875,14723.8798828125,14660.2998046875,14702.5400390625,0,2026-03-16 11:30:00
14701.8603515625,14744.830078125,14684.58984375,14702.6103515625,0,2026-03-16 12:30:00
14702.3095703125,14836.1103515625,14693.2001953125,14765.0595703125,0,2026-03-16 13:30:00
14768.98046875,14798.2802734375,14711.8603515625,14724.6904296875,0,2026-03-16 14:30:00
14709.08984375,14881.1201171875,14709.08984375,14855.7802734375,0,2026-03-17 06:30:00
14854.5302734375,14899.4697265625,14791.5595703125,14805.4404296875,0,2026-03-17 07:30:00
14803.0498046875,14826.8603515625,14767.1298828125,14796.0498046875,0,2026-03-17 08:30:00
14796.240234375,14844.3896484375,14793.9501953125,14834.419921875,0,2026-03-17 09:30:00
14831.759765625,14893.0400390625,14826.4404296875,14869.66015625,0,2026-03-17 10:30:00
14870.009765625,14991.16015625,14857.650390625,14969.5302734375,0,2026-03-17 11:30:00
14971.5400390625,15027.66015625,14965.900390625,15010.919921875,0,2026-03-17 12:30:00
15013.509765625,15078.2802734375,15004.4296875,15058.9697265625,0,2026-03-17 13:30:00
15058.01953125,15104.48046875,15045.4404296875,15076.400390625,0,2026-03-17 14:30:00
15059.9599609375,15182.4599609375,15059.9599609375,15162.740234375,0,2026-03-18 06:30:00
15162.0498046875,15178.3896484375,15052.73046875,15101.25,0,2026-03-18 07:30:00
15103.3603515625,15136.349609375,15069.7900390625,15133.6201171875,0,2026-03-18 08:30:00
15131.9599609375,15171.080078125,15128.650390625,15148.75,0,2026-03-18 09:30:00
15148.9296875,15150.48046875,15040.48046875,15047.1396484375,0,2026-03-18 10:30:00
15049.1298828125,15083.6396484375,15020.08984375,15048.669921875,0,2026-03-18 11:30:00
15052.4296875,15061.169921875,14899.759765625,14946.6904296875,0,2026-03-18 12:30:00
14947.66015625,14996.6396484375,14922.16015625,14945.1298828125,0,2026-03-18 13:30:00
14948.1201171875,14964.330078125,14912.5400390625,14946.830078125,0,2026-03-18 14:30:00
14963.169921875,14963.169921875,14822.7001953125,14930.9697265625,0,2026-03-19 06:30:00
14932.7099609375,14957.330078125,14888.48046875,14948.76953125,0,2026-03-19 07:30:00
14948.7998046875,14979.2802734375,14832.0302734375,14846.7197265625,0,2026-03-19 08:30:00
14850.4697265625,14852.6396484375,14847.0302734375,14847.0302734375,0,2026-03-19 09:30:00
14847.0302734375,14847.0302734375,14540.580078125,14561.9404296875,0,2026-03-23 06:30:00
14565.5400390625,14660.1904296875,14553.98046875,14563.6201171875,0,2026-03-23 07:30:00
14567.7197265625,14619.009765625,14559.8798828125,14573.33984375,0,2026-03-23 08:30:00
14575.66015625,14586.7001953125,14455.3095703125,14457.9501953125,0,2026-03-23 09:30:00
14458.51953125,14934.7900390625,14418.0400390625,14927.01953125,0,2026-03-23 10:30:00
14927.8603515625,15025.4599609375,14652.3896484375,14797.650390625,0,2026-03-23 11:30:00
14803.4697265625,14958.7998046875,14757.0595703125,14880.4501953125,0,2026-03-23 12:30:00
14884.919921875,15038.6904296875,14847.26953125,15027.66015625,0,2026-03-23 13:30:00
15030.080078125,15030.990234375,14987.669921875,14999.91015625,0,2026-03-23 14:30:00
15051.5595703125,15051.5595703125,14913.2197265625,14975.0703125,0,2026-03-24 06:30:00
14976.5498046875,15027.259765625,14906.0498046875,14930.080078125,0,2026-03-24 07:30:00
14929.5,14957.16015625,14876.919921875,14896.83984375,0,2026-03-24 08:30:00
14897.759765625,14932.51953125,14887.6298828125,14896.91015625,0,2026-03-24 09:30:00
14894.7197265625,14903.6201171875,14834.5302734375,14858.1396484375,0,2026-03-24 10:30:00
14860.1396484375,14883.830078125,14790.0703125,14795.5400390625,0,2026-03-24 11:30:00
14797.0498046875,14798.9697265625,14727.740234375,14774.240234375,0,2026-03-24 12:30:00
14769.3095703125,14814.8603515625,14750.1796875,14756.2802734375,0,2026-03-24 13:30:00
14754.2099609375,14809.41015625,14753.3095703125,14776.3798828125,0,2026-03-24 14:30:00
14758.7099609375,14901.1796875,14758.7099609375,14848.009765625,0,2026-03-25 06:30:00
14848.2001953125,14929.5595703125,14845.8701171875,14919.73046875,0,2026-03-25 07:30:00
14920.8203125,14949.0302734375,14861.650390625,14867.2900390625,0,2026-03-25 08:30:00
14868.9296875,14894.4697265625,14860.2802734375,14863.7197265625,0,2026-03-25 09:30:00
14861.66015625,14909.7900390625,14851.4697265625,14893.9697265625,0,2026-03-25 10:30:00
14892.8701171875,14928.2802734375,14839.91015625,14842.0498046875,0,2026-03-25 11:30:00
14839.2802734375,14884.8701171875,14775.0703125,14868.8896484375,0,2026-03-25 12:30:00
14869.080078125,14882.419921875,14813.080078125,14842.240234375,0,2026-03-25 13:30:00
14842.48046875,14847.16015625,14789.150390625,14794.2197265625,0,2026-03-25 14:30:00
14789.9296875,14789.9296875,14707.6904296875,14718.669921875,0,2026-03-26 06:30:00
