o,h,l,c,v,ts
64108.80078125,64402.0,64092.19921875,64334.80859375,302379008,2026-07-10 13:30:00
64342.78125,64662.01953125,64338.0,64438.03125,30308352,2026-07-10 13:45:00
64407.76953125,64467.21875,64150.0,64159.69140625,102979584,2026-07-10 14:00:00
64171.51171875,64208.0,63917.73046875,64089.55859375,278558720,2026-07-10 14:15:00
64085.12109375,64278.28125,63769.1796875,64048.71875,412250112,2026-07-10 14:30:00
64056.75,64075.1796875,63842.859375,63854.0,377720832,2026-07-10 14:45:00
63851.73828125,64024.98828125,63843.96875,63926.80859375,328531968,2026-07-10 15:00:00
63952.01953125,64158.6484375,63952.01953125,64087.25,175091712,2026-07-10 15:15:00
64087.66015625,64112.140625,63886.4296875,63897.76171875,0,2026-07-10 15:30:00
63902.87890625,63978.328125,63877.4609375,63977.58984375,147593216,2026-07-10 15:45:00
63991.05078125,64016.4296875,63897.609375,64000.73046875,0,2026-07-10 16:00:00
64010.16015625,64095.6484375,63943.16015625,63958.30078125,24403968,2026-07-10 16:15:00
63954.609375,63983.41015625,63772.05078125,63885.1015625,166854656,2026-07-10 16:30:00
63877.87109375,64172.05078125,63859.6796875,64085.80859375,968704,2026-07-10 16:45:00
64072.48046875,64100.03125,63905.76171875,63919.76953125,0,2026-07-10 17:00:00
63901.98046875,63963.19921875,63806.9609375,63924.98828125,0,2026-07-10 17:15:00
63914.76953125,63920.109375,63799.1015625,63831.73046875,122349568,2026-07-10 17:30:00
63824.2109375,63885.96875,63771.53125,63773.41015625,7839744,2026-07-10 17:45:00
63777.55859375,63931.80859375,63777.55859375,63839.73828125,238583808,2026-07-10 18:00:00
63824.66015625,63909.98828125,63802.640625,63874.1796875,0,2026-07-10 18:15:00
63856.6015625,63900.16015625,63811.98046875,63830.23046875,0,2026-07-10 18:30:00
63836.01171875,63836.01171875,63691.4609375,63760.4609375,21194752,2026-07-10 18:45:00
63738.48828125,63854.5390625,63734.37890625,63839.33984375,0,2026-07-10 19:00:00
63839.33984375,63878.359375,63724.328125,63818.01171875,0,2026-07-10 19:15:00
63818.0,64009.53125,63802.4609375,63936.921875,202065920,2026-07-10 19:30:00
63936.921875,63971.26171875,63862.9609375,63862.9609375,0,2026-07-10 19:45:00
63889.9296875,63889.9296875,63776.51171875,63778.21875,0,2026-07-10 20:00:00
63777.5703125,63854.21875,63621.3515625,63685.44140625,0,2026-07-10 20:15:00
63685.44140625,63856.51953125,63671.37109375,63837.87109375,0,2026-07-10 20:30:00
63828.87890625,63828.87890625,63782.0,63788.75,0,2026-07-10 20:45:00
63788.75,63928.078125,63780.08984375,63899.16015625,15480832,2026-07-10 21:00:00
63899.140625,63974.0390625,63879.98828125,63958.87890625,0,2026-07-10 21:15:00
63958.890625,64052.171875,63937.98828125,63998.8515625,0,2026-07-10 21:30:00
63998.83984375,63999.05078125,63940.6484375,63970.37890625,83005440,2026-07-10 21:45:00
63963.109375,64015.01171875,63933.12109375,63998.46875,0,2026-07-10 22:00:00
64005.75,64095.48046875,63973.0,64087.05859375,1032974336,2026-07-10 22:15:00
64088.8515625,64119.4296875,64080.0,64083.98828125,540985344,2026-07-10 22:30:00
64084.01171875,64120.8984375,64027.6015625,64068.69921875,112889856,2026-07-10 22:45:00
64068.87109375,64078.5,63974.8984375,64078.5,0,2026-07-10 23:00:00
64078.58984375,64167.98828125,64070.671875,64155.26171875,45535232,2026-07-10 23:15:00
64154.98828125,64175.359375,64123.51171875,64157.44140625,400955392,2026-07-10 23:30:00
64157.44140625,64159.78125,64079.359375,64128.48828125,336142336,2026-07-10 23:45:00
64122.859375,64133.03125,64021.640625,64037.30078125,23627776,2026-07-11 00:00:00
64037.30078125,64087.98828125,63991.609375,64067.6484375,101646336,2026-07-11 00:15:00
64067.6484375,64107.671875,64004.2890625,64107.671875,23111680,2026-07-11 00:30:00
64101.37109375,64104.0390625,64048.0,64076.6796875,225583104,2026-07-11 00:45:00
64076.5390625,64125.0,64057.328125,64100.21875,0,2026-07-11 01:00:00
64100.21875,64260.55078125,64086.87109375,64184.12109375,0,2026-07-11 01:15:00
64184.12109375,64227.62109375,63962.828125,64026.37890625,202819584,2026-07-11 01:30:00
64014.4296875,64071.28125,63964.80078125,63973.73046875,0,2026-07-11 01:45:00
63979.44921875,64024.5703125,63942.078125,63965.4609375,0,2026-07-11 02:00:00
63978.109375,64031.23046875,63965.69140625,63997.359375,72990720,2026-07-11 02:15:00
63992.96875,64107.671875,63992.96875,64101.73046875,0,2026-07-11 02:30:00
64098.55859375,64128.87109375,64087.83984375,64116.98046875,0,2026-07-11 02:45:00
64115.640625,64143.609375,64067.640625,64142.05859375,6201344,2026-07-11 03:00:00
64142.05859375,64154.640625,64044.6015625,64078.55859375,7077888,2026-07-11 03:15:00
64078.55859375,64147.7109375,64078.55859375,64121.23828125,0,2026-07-11 03:30:00
64113.98828125,64149.37109375,64109.3515625,64109.3515625,105795584,2026-07-11 03:45:00
64107.6796875,64107.6796875,64045.80078125,64083.23046875,128256000,2026-07-11 04:00:00
64083.23046875,64131.8984375,64036.83984375,64098.80078125,29526016,2026-07-11 04:15:00
64098.80078125,64165.75,64092.12109375,64112.69140625,0,2026-07-11 04:30:00
64112.7109375,64131.80859375,64076.7890625,64111.33984375,34320384,2026-07-11 04:45:00
64096.76171875,64159.08984375,64069.98828125,64121.4609375,0,2026-07-11 05:00:00
64121.4609375,64152.44921875,64089.48046875,64152.16015625,71583744,2026-07-11 05:15:00
64136.80078125,64180.03125,64108.28125,64132.44921875,0,2026-07-11 05:30:00
64125.87890625,64140.421875,64090.94921875,64125.37890625,149465088,2026-07-11 05:45:00
64125.37890625,64165.98828125,64075.05078125,64129.08984375,0,2026-07-11 06:00:00
64140.4296875,64230.03125,64138.8203125,64178.0,77867008,2026-07-11 06:15:00
64182.078125,64216.87109375,64166.87109375,64167.76171875,220514304,2026-07-11 06:30:00
64167.76953125,64193.87890625,64148.3203125,64169.578125,0,2026-07-11 06:45:00
64167.421875,64178.46875,64130.9296875,64168.03125,58757120,2026-07-11 07:00:00
64168.03125,64206.01953125,64141.96875,64169.3515625,0,2026-07-11 07:15:00
64172.5390625,64192.55859375,64126.01171875,64126.01171875,181047296,2026-07-11 07:30:00
64122.55859375,64131.03125,64102.890625,64111.578125,0,2026-07-11 07:45:00
64111.58984375,64199.1484375,64100.46875,64181.5703125,5021696,2026-07-11 08:00:00
64181.5703125,64226.08984375,64177.03125,64199.98828125,144201728,2026-07-11 08:15:00
64199.98828125,64256.01171875,64191.3984375,64234.37890625,84191232,2026-07-11 08:30:00
64232.01171875,64232.390625,64185.73828125,64216.87109375,109793280,2026-07-11 08:45:00
64216.87109375,64227.7890625,64172.26171875,64176.08984375,0,2026-07-11 09:00:00
64184.109375,64221.01171875,64184.109375,64217.62109375,79460352,2026-07-11 09:15:00
64222.01953125,64249.62890625,64140.87109375,64140.87109375,0,2026-07-11 09:30:00
64137.23828125,64137.23828125,64097.19140625,64107.69140625,81963008,2026-07-11 09:45:00
64107.6796875,64135.9296875,64099.3515625,64135.9296875,0,2026-07-11 10:00:00
64142.73046875,64142.73046875,64090.8984375,64128.25,164184064,2026-07-11 10:15:00
64128.25,64129.08984375,64083.0703125,64083.0703125,20914176,2026-07-11 10:30:00
64083.0703125,64138.078125,64083.0703125,64138.078125,142309376,2026-07-11 10:45:00
64141.2890625,64158.28125,64116.0,64158.0,0,2026-07-11 11:00:00
64158.0,64158.0,64117.359375,64124.5,180998144,2026-07-11 11:15:00
64124.5,64161.19921875,64118.7109375,64122.23046875,158586880,2026-07-11 11:30:00
64125.03125,64151.80078125,64125.03125,64145.26953125,30089216,2026-07-11 11:45:00
64145.26953125,64178.03125,64107.26171875,64168.69140625,92504064,2026-07-11 12:00:00
64168.69140625,64183.1015625,64116.41015625,64124.73046875,0,2026-07-11 12:15:00
64124.73046875,64124.73046875,64081.08984375,64090.05078125,0,2026-07-11 12:30:00
64090.05078125,64147.69140625,64090.05078125,64139.53125,79081472,2026-07-11 12:45:00
64141.48046875,64148.921875,64120.78125,64138.16015625,0,2026-07-11 13:00:00
64138.16015625,64166.1484375,64114.96875,64149.359375,126976,2026-07-11 13:15:00
64136.9609375,64217.51171875,64136.9609375,64197.08984375,52250624,2026-07-11 13:30:00
64197.08984375,64219.96875,64187.76171875,64195.03125,0,2026-07-11 13:45:00
64195.03125,64230.140625,64195.03125,64216.87890625,0,2026-07-11 14:00:00
