o,h,l,c,v,ts
7630.25,7632.75,7612.25,7612.25,84369,2026-06-16 14:15:00
7612.0,7621.5,7604.0,7614.25,85325,2026-06-16 14:30:00
7614.25,7619.0,7606.5,7611.0,68357,2026-06-16 14:45:00
7611.0,7619.25,7610.25,7616.0,54447,2026-06-16 15:00:00
7615.75,7618.25,7604.5,7608.0,63685,2026-06-16 15:15:00
7608.0,7616.25,7605.75,7606.75,59147,2026-06-16 15:30:00
7607.0,7616.75,7599.0,7610.0,74337,2026-06-16 15:45:00
7609.75,7622.25,7609.5,7619.0,50615,2026-06-16 16:00:00
7619.25,7621.75,7614.25,7616.25,36922,2026-06-16 16:15:00
7616.0,7617.0,7606.75,7613.25,41926,2026-06-16 16:30:00
7613.0,7615.0,7606.0,7610.5,36669,2026-06-16 16:45:00
7610.25,7611.5,7604.75,7609.25,32317,2026-06-16 17:00:00
7609.25,7611.25,7602.0,7605.75,31323,2026-06-16 17:15:00
7605.5,7606.75,7598.75,7603.75,31535,2026-06-16 17:30:00
7603.5,7611.5,7601.25,7605.75,37287,2026-06-16 17:45:00
7605.5,7607.5,7603.5,7604.5,29973,2026-06-16 18:00:00
7604.75,7607.5,7601.75,7605.25,33957,2026-06-16 18:15:00
7605.25,7606.5,7601.5,7605.0,25804,2026-06-16 18:30:00
7605.25,7606.75,7600.5,7602.0,21285,2026-06-16 18:45:00
7602.0,7603.0,7592.5,7593.75,36671,2026-06-16 19:00:00
7593.75,7600.0,7584.75,7596.25,48497,2026-06-16 19:15:00
7596.25,7597.25,7587.5,7594.25,41422,2026-06-16 19:30:00
7594.25,7597.75,7583.0,7588.0,142961,2026-06-16 19:45:00
7588.0,7589.0,7581.25,7582.0,46825,2026-06-16 20:00:00
7582.0,7584.75,7578.0,7583.0,9530,2026-06-16 20:15:00
7582.75,7585.75,7581.75,7584.75,4641,2026-06-16 20:30:00
7585.0,7585.75,7581.25,7583.0,5010,2026-06-16 20:45:00
