Date,Open,High,Low,Close
2025-12-03,11118.5,11201.7001953125,11017.7998046875,11036.7998046875
2025-12-04,11029.099609375,11077.7001953125,10896.7001953125,10918.5
2025-12-05,10923.599609375,11015.5,10909.2998046875,11007.400390625
2025-12-08,11082.099609375,11250.400390625,11074.7001953125,11189.5
2025-12-09,11210.2998046875,11244.2001953125,11148.0,11238.400390625
2025-12-10,11273.2998046875,11316.5,11170.7998046875,11193.900390625
2025-12-11,11226.7001953125,11300.2998046875,11198.7998046875,11233.7001953125
2025-12-12,11269.5,11331.0,11253.2998046875,11311.2998046875
2025-12-15,11349.2001953125,11468.7998046875,11328.599609375,11456.2998046875
2025-12-16,11470.0,11470.0,11309.0,11348.7998046875
2025-12-17,11338.7001953125,11364.5,11250.5,11286.7998046875
2025-12-18,11317.900390625,11385.2001953125,11307.7001953125,11335.099609375
2025-12-19,11346.2001953125,11354.2998046875,11291.099609375,11341.900390625
2025-12-22,11383.5,11402.400390625,11266.0,11311.099609375
2025-12-23,11307.2001953125,11367.2998046875,11276.2001953125,11290.400390625
2025-12-24,11317.0,11386.099609375,11313.7998046875,11340.099609375
2025-12-26,11340.400390625,11352.2001953125,11228.599609375,11294.400390625
2025-12-29,11305.099609375,11324.7998046875,11150.900390625,11150.900390625
2025-12-30,11172.599609375,11235.5,11102.2001953125,11220.2001953125
2025-12-31,11249.7001953125,11324.400390625,11238.599609375,11261.5
2026-01-02,11296.5,11498.400390625,11296.5,11498.400390625
2026-01-05,11547.7001953125,11726.2001953125,11510.2001953125,11702.0
2026-01-06,11741.5,12032.400390625,11732.400390625,12023.7998046875
2026-01-07,12071.400390625,12124.599609375,11990.2998046875,12028.7998046875
2026-01-08,12034.900390625,12152.599609375,11907.7998046875,12088.0
2026-01-09,12130.2001953125,12201.0,12066.0,12201.0
2026-01-12,12268.0,12378.7998046875,12228.0,12254.7998046875
2026-01-13,12261.400390625,12428.400390625,12236.0,12385.599609375
2026-01-14,12425.900390625,12444.5,12323.7001953125,12369.900390625
2026-01-15,12352.5,12472.900390625,12300.400390625,12456.7001953125
2026-01-16,12486.5,12668.5,12449.5,12668.5
2026-01-19,12740.7001953125,12837.900390625,12700.2998046875,12747.900390625
2026-01-20,12760.7998046875,12914.099609375,12706.2998046875,12805.7998046875
2026-01-21,12839.900390625,12847.2001953125,12575.7001953125,12728.2001953125
2026-01-22,12771.5,12862.0,12682.599609375,12851.5
2026-01-23,12924.2001953125,13030.7998046875,12904.599609375,12992.7001953125
2026-01-26,12929.2998046875,13182.099609375,12886.2001953125,13177.2998046875
