İhale Tarihi,Senet Tanımı,Gerçek Gerçekleşme (Milyon TL),Tahmin-Ham (Milyon TL),Gerçek Bid-to-Cover,Tahmin Bid-to-Cover,Gerçek Teklif (Milyon TL),Kıyas Bazı,Tahmin-Strateji (Milyon TL),Tahmin-Düzeltilmiş (Milyon TL),Tahmin Teklif (Milyon TL),Tutar Sapma % (düzeltilmiş),Tutar Sapma % (strateji),Tutar Sapma % (ham),B2C Sapma %,Teklif Sapma %
11.11.2024,Değişken Faizli Devlet Tahvili,13134.0,8738.0,1.31,1.7,17217.0,Aynı tahvil (itfa eşleşmesi),10486.0,8195.0,13932.0,-37.6,-20.2,-33.5,29.8,-19.1
12.11.2024,Sabit Kuponlu Devlet Tahvili,30604.0,16522.0,1.53,1.42,46704.0,Aynı tahvil (itfa eşleşmesi),19826.0,15494.0,22001.0,-49.4,-35.2,-46.0,-7.2,-52.9
09.12.2024,TLREF'e Endeksli Devlet Tahvili,46162.0,33430.0,2.19,1.52,101152.0,Aynı tip + benzer vade,26854.0,20986.0,31899.0,-54.5,-41.8,-27.6,-30.6,-68.5
10.12.2024,Hazine Bonosu,9568.0,8873.0,2.49,1.93,23806.0,Aynı tahvil (itfa eşleşmesi),7128.0,5570.0,10750.0,-41.8,-25.5,-7.3,-22.5,-54.8
10.12.2024,Sabit Kuponlu Devlet Tahvili,22656.0,21216.0,1.53,1.45,34752.0,Aynı tahvil (itfa eşleşmesi),17043.0,13319.0,19313.0,-41.2,-24.8,-6.4,-5.2,-44.4
16.12.2024,Sabit Kuponlu Devlet Tahvili,24581.0,35481.0,2.51,1.42,61665.0,Aynı tahvil (itfa eşleşmesi),28502.0,22274.0,31629.0,-9.4,16.0,44.3,-43.4,-48.7
16.12.2024,Değişken Faizli Devlet Tahvili,7338.0,10530.0,2.17,1.45,15910.0,Aynı tahvil (itfa eşleşmesi),8459.0,6611.0,9586.0,-9.9,15.3,43.5,-33.2,-39.7
17.12.2024,TÜFE'ye Endeksli Devlet Tahvili,11232.0,13179.0,1.9,1.36,21338.0,Aynı tip + benzer vade,10587.0,8274.0,11253.0,-26.3,-5.7,17.3,-28.4,-47.3
17.12.2024,Sabit Kuponlu Devlet Tahvili,7370.0,14227.0,3.76,2.41,27745.0,Aynı tahvil (itfa eşleşmesi),11428.0,8931.0,21524.0,21.2,55.1,93.0,-35.9,-22.4
13.01.2025,Sabit Kuponlu Devlet Tahvili,49292.0,30860.0,2.04,1.79,100740.0,Aynı tahvil (itfa eşleşmesi),47510.0,37129.0,66461.0,-24.7,-3.6,-37.4,-12.3,-34.0
14.01.2025,TLREF'e Endeksli Devlet Tahvili,55661.0,46162.0,2.17,2.19,120855.0,Aynı tahvil (itfa eşleşmesi),71068.0,55539.0,121630.0,-0.2,27.7,-17.1,0.9,0.6
14.01.2025,Sabit Kuponlu Devlet Tahvili,31003.0,23463.0,2.11,1.49,65354.0,Aynı tahvil (itfa eşleşmesi),36122.0,28229.0,42061.0,-8.9,16.5,-24.3,-29.4,-35.6
20.01.2025,Hazine Bonosu,28046.0,9338.0,2.44,2.23,68529.0,Aynı tip + benzer vade,14376.0,11235.0,25054.0,-59.9,-48.7,-66.7,-8.6,-63.4
21.01.2025,Değişken Faizli Devlet Tahvili,20395.0,9828.0,2.01,1.73,40940.0,Aynı tahvil (itfa eşleşmesi),15131.0,11825.0,20457.0,-42.0,-25.8,-51.8,-13.9,-50.0
