tarih,gsyh_bin_tl,usdtry_ceyrek_ort,usdtry_ceyrek_son,gsyh_mn_tl,gsyh_mn_usd,gsyh4_mn_usd,gsyh4_mn_usd_nokta,cari12_mn_usd,cekirdek12_mn_usd,cari_gsyh,cekirdek_gsyh
2004-06-30,140826436.56594,1.446950873015873,1.485911,140826.43656594,97326.3427198576,373105.016840444,375223.5581911013,-11657.0,2394.9399999999996,-3.1243214306563565,0.6418943439252066
2004-09-30,160312376.34673,1.4713771999999998,1.497696,160312.37634673,108953.9625506838,388071.0077075568,387445.7694962758,-13005.0,1902.7699999999998,-3.3511908237680896,0.49031490686206897
2004-12-31,159396094.619847,1.4389031904761906,1.3421,159396.094619847,110776.10757614377,410579.8609935378,415264.72224649176,-14198.0,2187.1299999999997,-3.4580361456704436,0.5326929564220451
2005-03-31,147158922.865687,1.3204500000000001,1.3706,147158.92286568703,111446.03950599191,428502.45235267706,427948.2389651708,-14728.0,2798.2599999999993,-3.4370865135395263,0.6530324353189241
2005-06-30,163817314.154558,1.3577,1.3413,163817.314154558,120657.96137184798,451834.0710046675,455307.00236848125,-16899.0,2373.3499999999995,-3.7400897994311353,0.5252702601029576
2005-09-30,186304995.666748,1.3345492307692308,1.3406,186304.995666748,139601.44097446467,482481.5494284483,487239.0252700345,-18559.0,2434.91,-3.846571961556902,0.5046638576924681
2005-12-31,185681098.842037,1.3500714285714286,1.343,185681.098842037,137534.2777518924,509239.71960419696,506731.2923267816,-20980.0,1388.4599999999991,-4.1198671651745,0.2726535159274634
2006-03-31,167820666.753066,1.325683606557377,1.3427,167820.666753066,126591.79454506029,524385.4746432654,524350.5058893679,-23713.0,-139.00000000000057,-4.522055080974876,-0.026507217823789075
2006-06-30,197199044.124381,1.44946875,1.6029,197199.044124381,136049.18638251498,539776.6996539324,525243.6835760901,-27833.0,-1964.9900000000002,-5.156391525948527,-0.36403757354843524
2006-09-30,216706872.761674,1.494525,1.4919,216706.872761674,145000.50033400176,545175.7590134694,531527.9596030717,-30479.0,-3127.7300000000005,-5.590674107585728,-0.5737103949118774
2006-12-31,217733018.839536,1.4504112903225805,1.4131,217733.018839536,150118.12186811565,557759.6031296926,547351.3285272924,-31162.0,-2525.3100000000004,-5.586994795812432,-0.452759573448851
2007-03-31,195678319.073105,1.4042580645161291,1.3861,195678.319073105,139346.4093371831,570514.2179218156,563535.7282242298,-31629.0,-2210.0000000000005,-5.543945971270168,-0.38736983769664146
2007-06-30,215185292.299467,1.3337078125,1.3147,215185.292299467,161343.65434668024,595808.6858859807,604185.6571898777,-30841.0,-947.3800000000009,-5.17632601380068,-0.1590074167165297
2007-09-30,238594399.890812,1.2824953125,1.21,238594.399890812,186039.19840121208,636847.3839531911,656115.4827412307,-32773.0,-1309.0800000000004,-5.146130898201012,-0.20555631270304772
2007-12-31,243347418.783777,1.1851467741935484,1.1647,243347.418783777,205331.03922876265,692060.3013138381,710969.3711726072,-36946.0,-3856.7600000000007,-5.3385521362603905,-0.5572866978033787
2008-03-31,225491930.319312,1.1965796875,1.2765,225491.930319312,188447.06514317458,741160.9571198295,746446.1024007514,-39690.0,-5214.550000000001,-5.355112087155313,-0.7035651230555743
2008-06-30,254094877.558123,1.2571698412698413,1.2237,254094.877558123,202116.58696924118,781933.8897423905,790414.5037731612,-44847.0,-5858.2300000000005,-5.73539535609269,-0.749197608244094
2008-09-30,270679090.284925,1.2042661538461539,1.2316,270679.090284925,224766.83366084582,820661.5250020243,813007.4597474063,-45553.0,-1563.2700000000004,-5.550765889736044,-0.19048900824199655
2008-12-31,258955012.581921,1.533215254237288,1.5123,258955.012581921,168896.71027356203,784227.1960468236,775304.3200224759,-39426.0,2688.4199999999996,-5.027369644758661,0.34281137067828527
2009-03-31,215723454.139913,1.6494777777777778,1.688,215723.454139913,130782.87991884413,726563.0108224932,726453.9807833503,-29063.0,7860.719999999999,-4.000066004887825,1.0819047877349834
2009-06-30,244872328.495052,1.5652564516129033,1.5301,244872.328495052,156442.30582325708,680888.729676509,678846.0468524434,-18885.0,11232.85,-2.77358093575323,1.6497335776635251
2009-09-30,274749403.11799,1.4934875,1.482,274749.40311799,183964.98338150803,640086.8793971713,644458.5966915309,-12871.0,10548.869999999999,-2.0108207829727434,1.6480372179999752
2009-12-31,278165055.869949,1.4811761904761904,1.5057,278165.055869949,187800.11294977702,658990.2820733862,657967.3821313983,-11358.0,11618.95,-1.7235459018096952,1.763144361316408
2010-03-31,245238589.292648,1.501409523809524,1.5215,245238.589292648,163338.9061436113,691546.3082981535,691351.2431768372,-18802.0,8120.709999999999,-2.718834555891187,1.1742828936480758
2010-06-30,282700671.661903,1.5315507936507937,1.5747,282700.67166190303,184584.5876179025,719688.5900927989,710841.1150763261,-24012.0,4538.57,-3.336443057531844,0.6306297004673621
2010-09-30,322044463.138908,1.5097047619047619,1.4512,322044.46313890803,213316.18688980717,749039.7936010979,747366.129958623,-32366.0,-1641.0000000000005,-4.320998734178942,-0.21908048330926425
2010-12-31,326064244.882544,1.457427868852459,1.546,326064.244882544,223725.81988519168,784965.5005365127,773533.0849839061,-44625.0,-10144.24,-5.6849632206128105,-1.2923166678110767
2011-03-31,296328464.629657,1.570378125,1.5483,296328.464629657,188698.79802334675,810325.3924162481,803740.5348526367,-56802.0,-18168.12,-7.0097766319066475,-2.2420770927375053
2011-06-30,341163165.496872,1.55849375,1.6302,341163.165496872,218905.70013313944,844646.504931485,833490.726724518,-69617.0,-26268.57,-8.242146222536858,-3.110007541217591
2011-09-30,385954610.135374,1.7258238095238094,1.8453,385954.610135374,223635.0014442476,854965.3194859255,820730.2331405573,-75110.0,-25758.11,-8.785151665001129,-3.01276664829959
2011-12-31,390538220.90934,1.8312145161290323,1.9065,390538.22090934,213267.32475608098,844506.8243568147,814667.5690053237,-74403.0,-22046.43,-8.810230758841541,-2.6105686021887142
2012-03-31,339453805.039846,1.7903692307692307,1.7717,339453.805039846,189599.88766898095,845407.914002449,814875.7935493655,-69329.0,-15790.150000000001,-8.200656612235022,-1.8677551674722386
2012-06-30,387344421.610499,1.797893650793651,1.8153,387344.42161049903,215443.45597945247,841945.669848762,818976.551612219,-59669.0,-6249.130000000001,-7.087036864352339,-0.7422248517677544
2012-09-30,428883048.5896289,1.7957564516129032,1.782,428883.0485896289,238831.41180109192,857142.0802056063,850496.1814873249,-48181.0,395.9899999999989,-5.621121761802036,0.04619887520923149
2012-12-31,434368020.0162391,1.7860888888888888,1.7826,434368.0200162391,243195.0742868435,887069.8297363688,889321.5906868138,-41796.0,4904.24,-4.7116922026782815,0.5528583923835518
2013-03-31,392753083.38088095,1.7802301587301588,1.8137,392753.08338088094,220619.27299391018,918089.2150612981,914271.7870529474,-40395.0,6803.089999999999,-4.399899196866499,0.7410053280656147
2013-06-30,446996350.53968894,1.8367809523809524,1.9272,446996.35053968895,243358.5507081091,946004.3097899547,932834.9727750749,-43167.0,9400.43,-4.563087033883022,0.9936984327362333
2013-09-30,495445687.68149,1.9666761904761905,2.0342,495445.68768149003,251920.31615612734,959093.2141449902,935717.8633395183,-45182.0,10627.4,-4.710908109205915,1.1080674790796101
2013-12-31,496548848.900392,2.0254901639344265,2.1343,496548.848900392,245149.96801360292,961048.1078717496,924698.6623644457,-49328.0,10083.93,-5.132729526853483,1.0492638107712382
2014-03-31,458361289.8587871,2.215861904761905,2.1898,458361.28985878715,206854.62793225746,947283.4628100968,917467.1840103184,-44884.0,12951.75,-4.738180466790008,1.3672517792698398
2014-06-30,492585428.77921695,2.1116645161290326,2.1234,492585.42877921695,233268.7910493438,937193.7031513315,917505.9374848979,-38665.0,15804.599999999999,-4.125614573592226,1.686374966760525
2014-09-30,551958483.650141,2.1615222222222226,2.2789,551958.483650141,255356.37708257395,940629.7640777781,916151.8424731274,-33791.0,19802.97,-3.5923804764066465,2.1052884733469424
2014-12-31,559452976.885586,2.261174603174603,2.3189,559452.976885586,247416.97350577675,942896.769569952,924757.9039696176,-32112.0,20460.28,-3.405675046977416,2.1699384980745853
