tarih,TP.AB.A01,TP.AB.A02,TP.AB.A03,TP.AB.A04,TP.AB.A05,TP.AB.A051,TP.AB.A052,TP.AB.A053,TP.AB.A054,TP.AB.A06,TP.AB.A061,TP.AB.A07,TP.AB.A08,TP.AB.A081,TP.AB.A09,TP.AB.A10,TP.AB.A11,TP.AB.A12,TP.AB.A13,TP.AB.A14,TP.AB.A15,TP.AB.A16,TP.AB.A17,TP.AB.A18,TP.AB.A19,TP.AB.A20,TP.AB.A21,TP.AB.A22,TP.AB.A23,TP.AB.A24,TP.AB.A25
2026-02-13,11710691321.00000000,9336061268.00000000,3986879515.00000000,,288633250.00000000,296229858.00000000,,,-7596608.00000000,995061141.00000000,0.00000000,2703185124.00000000,-1612249462.00000000,,11710691321.00000000,5722369694.00000000,800505798.00000000,4921863896.00000000,549175919.00000000,4372687976.00000000,5988321627.00000000,4403678467.00000000,857031803.00000000,3537282807.00000000,1115830311.00000000,2421452496.00000000,1611936.00000000,7751921.00000000,1584643160.00000000,1066290000.00000000,518353160.00000000
2026-02-16,11749633753.00000000,9388020968.00000000,4000864780.00000000,,293980993.00000000,301157629.00000000,,,-7176636.00000000,999806108.00000000,0.00000000,2707077679.00000000,-1639251995.00000000,,11749633753.00000000,5727603941.00000000,790550174.00000000,4937053767.00000000,550769525.00000000,4386284242.00000000,6022029812.00000000,4395192150.00000000,851588060.00000000,3535371673.00000000,1115830311.00000000,2419541362.00000000,480477.00000000,7751940.00000000,1626837662.00000000,1151059200.00000000,475778462.00000000
2026-02-17,11588561231.00000000,9165476112.00000000,4005321402.00000000,,293860063.00000000,301157629.00000000,,,-7297566.00000000,1003354804.00000000,0.00000000,2708106536.00000000,-1582236283.00000000,,11588561231.00000000,5642531287.00000000,691367904.00000000,4951163383.00000000,548410525.00000000,4402752857.00000000,5946029944.00000000,4343709878.00000000,853746266.00000000,3481835248.00000000,1115830311.00000000,2366004937.00000000,376440.00000000,7751924.00000000,1602320066.00000000,1138102200.00000000,464217866.00000000
2026-02-18,11502734767.00000000,9102546649.00000000,3981604614.00000000,,267542331.00000000,275051472.00000000,,,-7509141.00000000,1005222715.00000000,0.00000000,2708839568.00000000,-1581416496.00000000,,11502734767.00000000,5559542542.00000000,691030242.00000000,4868512300.00000000,472939139.00000000,4395573161.00000000,5943192225.00000000,4425127741.00000000,852516028.00000000,3563488657.00000000,1115830311.00000000,2447658347.00000000,1373843.00000000,7749213.00000000,1518064483.00000000,1204820200.00000000,313244283.00000000
2026-02-19,11531123756.00000000,9185367970.00000000,3985035203.00000000,,267498110.00000000,275051472.00000000,,,-7553362.00000000,1006948173.00000000,0.00000000,2710588920.00000000,-1639279417.00000000,,11531123756.00000000,5583273709.00000000,699590114.00000000,4883683595.00000000,469774090.00000000,4413909505.00000000,5947850047.00000000,4374660070.00000000,852248000.00000000,3514278197.00000000,1115830311.00000000,2398447886.00000000,384679.00000000,7749194.00000000,1573189977.00000000,1143106680.00000000,430083297.00000000
2026-02-20,11413848672.00000000,9106831174.00000000,3981888272.00000000,,272669208.00000000,280306123.00000000,,,-7636915.00000000,997053793.00000000,0.00000000,2712165271.00000000,-1674870774.00000000,,11413848672.00000000,5602906340.00000000,700244308.00000000,4902662031.00000000,467403026.00000000,4435259006.00000000,5810942332.00000000,4231857184.00000000,864474327.00000000,3359262067.00000000,1115830311.00000000,2243431757.00000000,371612.00000000,7749178.00000000,1579085148.00000000,899295000.00000000,679790148.00000000
2026-02-23,11442927549.00000000,9199145202.00000000,4000148209.00000000,,277598596.00000000,285578093.00000000,,,-7979497.00000000,1005177712.00000000,0.00000000,2717371901.00000000,-1756365862.00000000,,11442927549.00000000,5723433759.00000000,698555990.00000000,5024877769.00000000,468929832.00000000,4555947936.00000000,5719493790.00000000,4237319521.00000000,858700484.00000000,3370507485.00000000,1115830311.00000000,2254677175.00000000,362381.00000000,7749171.00000000,1482174269.00000000,820973800.00000000,661200469.00000000
2026-02-24,11562868090.00000000,9331435448.00000000,4005529442.00000000,,277461289.00000000,285578093.00000000,,,-8116804.00000000,1009455828.00000000,0.00000000,2718612324.00000000,-1774096799.00000000,,11562868090.00000000,5790133342.00000000,701569851.00000000,5088563491.00000000,470080880.00000000,4618482612.00000000,5772734748.00000000,4244389570.00000000,862342097.00000000,3373933442.00000000,1115830311.00000000,2258103131.00000000,364876.00000000,7749155.00000000,1528345178.00000000,893852642.00000000,634492536.00000000
2026-02-25,11565384844.00000000,9336020077.00000000,4012093426.00000000,,276894537.00000000,285137377.00000000,,,-8242840.00000000,1014575930.00000000,0.00000000,2720622959.00000000,-1782728660.00000000,,11565384844.00000000,5742193320.00000000,706942853.00000000,5035250467.00000000,465747636.00000000,4569502831.00000000,5823191523.00000000,4257435462.00000000,865891242.00000000,3381974584.00000000,1115830311.00000000,2266144273.00000000,1799040.00000000,7770596.00000000,1565756062.00000000,969412520.00000000,596343542.00000000
2026-02-26,11617737207.00000000,9384120567.00000000,4022321551.00000000,,279936685.00000000,285137377.00000000,,,-5200692.00000000,1021930968.00000000,0.00000000,2720453898.00000000,-1788704911.00000000,,11617737207.00000000,5766823550.00000000,709078422.00000000,5057745129.00000000,466888532.00000000,4590856596.00000000,5850913656.00000000,4231675204.00000000,872002229.00000000,3351434966.00000000,1115830311.00000000,2235604655.00000000,488888.00000000,7749121.00000000,1619238451.00000000,1026718700.00000000,592519751.00000000
2026-02-27,11617973955.00000000,9324614981.00000000,4084838210.00000000,,289164054.00000000,294496839.00000000,,,-5332785.00000000,1018143562.00000000,0.00000000,2777530593.00000000,-1791479236.00000000,,11617973955.00000000,5683765634.00000000,705680638.00000000,4978084996.00000000,468174999.00000000,4509909997.00000000,5934208320.00000000,4531680228.00000000,892138881.00000000,3631727874.00000000,1111666365.00000000,2520061509.00000000,479680.00000000,7333793.00000000,1402528092.00000000,765952992.00000000,636575100.00000000
2026-03-02,11601196534.00000000,9468599211.00000000,4091835407.00000000,,292938482.00000000,298933583.00000000,,,-5995101.00000000,1018754213.00000000,0.00000000,2780142712.00000000,-1959238084.00000000,,11601196534.00000000,5817776087.00000000,713105007.00000000,5104671079.00000000,477151696.00000000,4627519383.00000000,5783420447.00000000,4292853470.00000000,892463746.00000000,3392583505.00000000,1111666365.00000000,2280917140.00000000,472392.00000000,7333827.00000000,1490566978.00000000,836188188.00000000,654378789.00000000
