tarih,altin_ons_mn,altin_fiyat,altin_fiyat_kaynak,ons_kaynak,altin_deger_seviye,altin_deger_ima,altin_fiyat_etkisi,altin_miktar_etkisi,doviz_rezerv,swap_capa_revizyon,net_alim_satim,net_alim_satim_altin_haric,kumulatif
2023-03-24,26.79704096545282,1991.19,agort03,ima,54.59599783582282,53.358,-0.6720697874135608,-0.3980155586279698,70.1551818087317,-0.0,-0.3136204581848394,0.08439510044313037,
2023-03-27,26.5946028726564,1966.11,agort03,ara_deger,53.908334867586525,52.28791465395847,-0.26807359695637456,-0.13199166088419395,69.16966554401316,-0.0,0.3417996507653911,0.47379131164958505,
2023-03-28,26.527123508390925,1956.03,agort03,ara_deger,53.63195357891739,51.8878493961179,0.34379152066874735,-0.13286619344508147,69.82096947766173,-0.0,-1.275818430688118,-1.1429522372430365,
2023-03-29,26.45964414412545,1968.99,agort03,ara_deger,52.76310569056695,52.09877472334156,0.1719876869368154,-0.13330480931279307,70.40101619205643,-0.0,-0.8549573804527942,-0.7216525711400011,
2023-03-30,26.39216477985998,1975.49,agort03,ara_deger,52.93728645684239,52.13745760096559,0.1712851494212915,-0.133742750386883,69.94637396115726,-0.0,-0.8124719264458475,-0.6787291760589645,
2023-03-31,26.324685415594505,1981.98,agort03,ima,53.111199252708175,52.175,-0.37433702660975454,-0.25279081922501834,69.21728616633257,-0.0,0.9247716906001773,1.1775625098251956,
2023-04-03,26.196219129449336,1967.76,agort03,ara_deger,52.73014533017944,51.547872154165226,0.5194710253369784,-0.08511276855976609,68.5762127524682,-0.0,-1.700675636141137,-1.615562867581371,
2023-04-04,26.15339703406761,1987.59,agort03,ara_deger,53.26153065252437,51.982230410942435,1.0811814333883587,-0.08688303398283224,67.54663895904153,-0.0430604100000024,-2.4883695353989115,-2.401486501416079,
2023-04-05,26.11057493868589,2028.93,agort03,ara_deger,53.41094398026216,52.976528810347965,-0.2188066179861906,-0.08652418482354779,66.78011589516538,-0.0,-0.7080024273294775,-0.6214782425059298,
2023-04-06,26.067752843304163,2020.55,agort03,ara_deger,53.19034311647948,52.67119800753822,0.027371140485468185,-0.08656914802369142,67.7139661499939,-0.0,1.6640087234490464,1.7505778714727378,
2023-04-07,26.02493074792244,2021.6,agort03,ima,53.21798403616585,52.612,-0.08223878116343113,-0.6221089048711146,68.32720070591665,-0.0,0.028008873138350807,0.6501177780094654,
2023-04-10,25.716718016867212,2018.44,agort03,ara_deger,53.134798030252576,51.90765231396546,-0.22193527648556685,-0.20648300966735503,67.5962924739271,-0.0,-0.7370841625773077,-0.5306011529099527,
2023-04-11,25.61398043984881,2009.81,agort03,ara_deger,52.90761599511599,51.47923402781253,0.22258549002228756,-0.20737579921165927,64.63735037103706,-0.0,-0.9995829414463747,-0.7922071422347154,
2023-04-12,25.5112428628304,2018.5,agort03,ara_deger,52.53132271468144,51.49444371862317,0.39389358980210276,-0.20896206740082351,65.53817207265115,-0.0,0.9406942704426002,1.1496563378434237,
2023-04-13,25.40850528581199,2033.94,agort03,ara_deger,52.933147645429365,51.67937524102444,0.651219990475364,-0.2115952314998054,68.27373045386778,-0.0,-0.21276955822225296,-0.0011743267224475773,
2023-04-14,25.30576770879358,2059.57,agort03,ima,53.60016662049863,52.119,-0.776127895628701,-0.8246468580795612,67.783072481936,-0.0,-0.5603334273412484,0.2643134307383128,
2023-04-17,24.899317485480672,2028.9,agort03,ara_deger,52.80198199445984,50.51822524629174,-0.16209455683047896,-0.27400028904193857,66.45024840839883,-0.0,-0.5533096505504649,-0.2793093615085263,
