Tarih,usdtry,net_dis_varlik_usd,kamu_doviz_mev_usd,brut_usd,swap_toplam_usd,swap_yerli_usd,swap_yabanci_usd,swap_capa_tarih,swap_capa_tipi,swap_haric_usd,swap_capa_revizyon,altin_fiyat,altin_fiyat_kaynak,ons,ons_kaynak,altin_fiyat_etkisi,altin_miktar_etkisi,altin_deger_ima,bennet_fark,net_doviz_alimi,net_doviz_alimi_altin_haric,net_doviz_alimi_birikimli,altin_fiyat_etkisi_birikimli,akim_gecici,altin_usd,doviz_usd,eski_net_rezerv_usd,eski_swap_haric_usd,analitik_dis_varlik_usd,tanim_farki,net_rezerv_usd,swap_haric_net_rezerv_usd,swap_duzeltme_usd,swap_gozlem,kur_varyant_fark
2024-01-18,30.0721,25.486894197611743,8.917936293108895,136.29162755156048,66.63397125,42.971090839999995,23.662880410000007,2023-12-31,aylık,-41.147077052388255,-0.0,2091.35,agort03,22.680723184038197,ara_deger,0.5048728980766952,-0.2128133290149798,47.43333043093828,0.0011206477788885394,0.1867864915484898,0.3995998205634696,,,False,48.69676263168148,87.594864919879,23.82255964831189,-49.12469841620424,138.30734215435572,1.664334549299852,25.486894197611743,-41.147077052388255,-66.63397125,False,0.045853279875412586
2024-01-19,30.0847,25.450404125685147,9.013523651557103,138.10700089711005,65.81023443000001,42.14735402,23.662880410000007,2023-12-31,aylık,-40.35983030431486,-0.0,2113.61,agort03,22.58003605206258,ima,-1.0599068922838186,0.5087350709270622,47.72539,0.005777415898357674,-0.06910645474231591,-0.5778415256693781,,,False,49.215083303104834,88.89191759400522,23.65149783777136,-49.325663452551225,140.12271549990527,1.7989062879137876,25.450404125685147,-40.35983030431486,-65.81023443000001,False,0.04576848868446052
2024-01-22,30.1219,26.08246571431417,8.94969387721226,136.8840721968422,67.63513914,43.97225873,23.662880410000007,2023-12-31,aylık,-41.55267342568584,-0.0,2066.67,agort03,22.826197786121266,ara_deger,1.4138546908723524,0.17466077624489074,47.174218178643244,0.0025412096345993618,-1.63786447851296,-1.8125252547578508,,,False,48.12209263299647,88.76197956384573,24.346794690905952,-48.72007627683598,138.89978679963747,1.7356710234082193,26.08246571431417,-41.55267342568584,-67.63513914,False,0.04684732757764682
2024-01-23,30.1806,27.909482581525882,8.952051152064572,135.74607641527595,69.68380852000001,46.02092811,23.662880410000007,2023-12-31,aylık,-41.774325938474135,-0.0,2128.61,agort03,22.908251697474164,ara_deger,-0.7300859815985096,0.17204571809006644,48.762733645760484,0.001307529077408387,-0.0021309192707107405,-0.17417663736077718,,,False,49.56435599274322,86.18172042253273,26.214726943798336,-46.882047249750045,137.76179101807122,1.6947556377275461,27.909482581525882,-41.774325938474135,-69.68380852000001,False,0.05021583768596127
2024-01-24,30.2185,31.46295613614177,8.91472756754968,136.3794045535388,74.00682256000002,50.343942150000004,23.662880410000007,2023-12-31,aylık,-42.54386642385825,-0.0,2096.74,agort03,22.990305608827057,ara_deger,-1.7038115486701657,0.1659647027197107,48.20469338225204,0.003040507685181826,1.2427853174439059,1.0768206147241952,,,False,47.3444647918017,89.03493976173709,29.84528136737429,-43.28139605198054,138.41121005344408,1.617674768767479,31.46295613614177,-42.54386642385825,-74.00682256000002,False,0.05664225908961147
2024-01-25,30.2145,33.7070955666981,8.898944149332273,137.16861175009063,76.72777164000001,53.06489123,23.662880410000007,2023-12-31,aylık,-43.020676073301914,-0.0,2022.63,agort03,23.072359520179955,ara_deger,1.1697686276731194,0.17012483602529518,46.666846536301584,0.002080066652796031,-0.33861249253946935,-0.5087373285647645,,,False,45.671058319983345,91.49755343010729,32.13665564546824,-41.019924999693046,139.20041724999584,1.5704399212298625,33.7070955666981,-43.020676073301914,-76.72777164000001,False,0.060690366658456625
2024-01-26,30.2185,32.4703850290385,8.79739040653904,137.1356874927979,74.76145871,51.0985783,23.662880410000007,2023-12-31,aylık,-42.291073680961496,-0.0,2073.33,agort03,23.15441343153285,ima,0.7988272633878832,0.7393254639672675,48.00674,0.006050470983635092,-1.6817011510398459,-2.421026615007113,,,False,46.81586614782291,90.319821344975,30.677514767443785,-42.50896910352397,139.16749299270316,1.792870261594718,32.4703850290385,-42.291073680961496,-74.76145871,False,0.05845591728875786
2024-01-29,30.2343,31.108185471467834,8.808616736620328,134.91187803171277,74.27090671,50.6080263,23.662880410000007,2023-12-31,aylık,-43.16272123853217,-0.0,2107.83,agort03,23.50516537261314,ara_deger,0.0872041635323956,0.24687558455622763,49.544892727355155,0.00021688161690130991,0.018203670478567385,-0.22867191407766024,,,False,47.59487739161907,87.31700064009371,29.341683650688125,-43.93450989769897,136.94368353161806,1.766501820779709,31.108185471467834,-43.16272123853217,-74.27090671,False,0.05597435712853819
2024-01-30,30.2849,30.931967812342123,8.81631202348365,134.8530333141572,73.98158593000001,50.31870552,23.662880410000007,2023-12-31,aylık,-43.049618117657886,-0.0,2111.54,agort03,23.62208268630657,ara_deger,-0.8033870321612809,0.24289922671751407,49.87897247544377,0.0019881789193567645,0.4566067194316069,0.21370749271409284,,,False,47.67864932537223,87.17438398878497,29.213665324963923,-44.09243144922962,136.88483881406245,1.7183024873781996,30.931967812342123,-43.049618117657886,-73.98158593000001,False,0.05556445565082505
2024-01-31,30.3053,30.433397920495757,8.88956786436696,134.3548921978411,73.75654051000001,50.0936601,23.662880410000007,2023-12-31,aylık,-43.32314258950425,-0.0,2077.53,agort03,23.739,evds_aylik,0.5236823399999987,-0.11858180980635073,49.318484670000004,0.0006229584643496766,0.3025664471950319,0.42114825700138264,,,False,48.103988536412444,86.25090366142867,28.8748613938816,-44.461138606118396,136.36183519054424,1.5585365266141586,30.433397920495757,-43.32314258950425,-73.75654051000001,True,0.05473218049002439
