Tarih,net_uluslararasi_rezerv_TL,brut_doviz_rezerv_TL,brut_doviz_yukumluluk_TL,bankalar_doviz_mev_TL,imf_TL,diger_yukumluluk_TL,swap_forward_aylik_USD_M,diger_aylik_USD_M,usdtry,net_rezerv_usd,brut_rezerv_usd,brut_yukumluluk_usd,bankalar_doviz_mev_usd,imf_usd,diger_yukumluluk_usd
2010-10-15,86309284.0,117379404.0,-31070120.0,-25810944.0,-2369246.0,-2889930.0,,,,,,,,,
2010-10-22,88190832.0,119527986.0,-31337153.0,-26044461.0,-2397422.0,-2895271.0,,,,,,,,,
2010-10-29,87921780.0,120212999.0,-32291219.0,-26963313.0,-2410813.0,-2917093.0,,,,,,,,,
2010-11-05,86731275.0,118396493.0,-31665219.0,-26380069.0,-2375352.0,-2909798.0,,,,,,,,,
2010-11-12,88583582.0,120397574.0,-31813992.0,-26533994.0,-2381566.0,-2898433.0,,,,,,,,,
2010-11-19,89144059.0,121184374.0,-32040314.0,-26721200.0,-2401171.0,-2917943.0,,,,,,,,,
2010-11-26,90976227.0,124004657.0,-33028429.0,-27575797.0,-2437061.0,-3015571.0,,,,,,,,,
2010-12-03,91688888.0,124717624.0,-33028736.0,-27590559.0,-2441668.0,-2996509.0,,,,,,,,,
2010-12-10,93261703.0,126268912.0,-33007209.0,-27544742.0,-2464915.0,-2997551.0,,,,,,,,,
2010-12-17,94285231.0,127834143.0,-33548912.0,-27974219.0,-2503698.0,-3070996.0,,,,,,,,,
2010-12-24,96958667.0,130853436.0,-33894769.0,-28235054.0,-2543123.0,-3116593.0,,,,,,,,,
2010-12-31,97994349.0,133066867.0,-35072518.0,-29344549.0,-2564228.0,-3163741.0,,,,,,,,,
2011-01-07,98062798.0,131772243.0,-33709444.0,-28047069.0,-2538516.0,-3123860.0,,,,,,,,,
2011-01-14,101013658.0,135016518.0,-34002860.0,-28296033.0,-2564549.0,-3142278.0,,,,,,,,,
2011-01-21,100298926.0,134956974.0,-34658048.0,-28859052.0,-2596582.0,-3202414.0,,,,,,,,,
2011-01-28,102216905.0,137477595.0,-35260690.0,-29363256.0,-2631507.0,-3265926.0,,,,,,,,,
2011-02-04,103433975.0,138610451.0,-35176476.0,-29226514.0,-2661183.0,-3288779.0,,,,,,,,,
2011-02-11,103855164.0,139154891.0,-35299726.0,-29345008.0,-2669111.0,-3285607.0,,,,,,,,,
2011-02-18,102307933.0,136668823.0,-34360891.0,-28505781.0,-2626258.0,-3228851.0,,,,,,,,,
2011-02-25,105365463.0,140794700.0,-35429238.0,-29399578.0,-2700929.0,-3328730.0,,,,,,,,,
2011-03-04,106255975.0,142360840.0,-36104865.0,-30047719.0,-2714321.0,-3342825.0,,,,,,,,,
2011-03-11,104655907.0,140009515.0,-35353608.0,-29433961.0,-2657862.0,-3261785.0,,,,,,,,,
2011-03-18,108177685.0,143910521.0,-35732836.0,-29768948.0,-2694394.0,-3269494.0,,,,,,,,,
2011-03-25,106511940.0,141676073.0,-35164133.0,-29313558.0,-2638578.0,-3211997.0,,,,,,,,,
2011-04-01,106294940.0,141742941.0,-35448001.0,-29632000.0,-2616294.0,-3199707.0,,0.0,,,,,,,
2011-04-08,104601218.0,139505425.0,-34904207.0,-29189290.0,-2567442.0,-3147475.0,,,,,,,,,
2011-04-15,105537362.0,141649287.0,-36111925.0,-30332527.0,-2596582.0,-3182815.0,,,,,,,,,
2011-04-22,105818001.0,142026633.0,-36208632.0,-30404708.0,-2606010.0,-3197914.0,,,,,,,,,
2011-04-29,106756047.0,144418106.0,-37662058.0,-31802515.0,-2625079.0,-3234464.0,,,,,,,,,
2011-05-06,108883940.0,146603382.0,-37719442.0,-31752652.0,-2679610.0,-3287179.0,,,,,,,,,
2011-05-13,110115621.0,150051214.0,-39935593.0,-33983021.0,-2700394.0,-3252179.0,,,,,,,,,
2011-05-20,109524545.0,149440740.0,-39916196.0,-33954782.0,-2693859.0,-3267556.0,,,,,,,,,
2011-05-27,110003304.0,154173564.0,-44170261.0,-38211216.0,-2715714.0,-3243332.0,,,,,,,,,
2011-06-03,110475326.0,154719967.0,-44244640.0,-38234482.0,-2727070.0,-3283089.0,,,,,,,,,
2011-06-10,110450206.0,156140829.0,-45690623.0,-39681002.0,-2725141.0,-3284479.0,,,,,,,,,
2011-06-17,111249062.0,157158883.0,-45909821.0,-39942754.0,-2741533.0,-3225535.0,,,,,,,,,
2011-06-24,112479929.0,158941833.0,-46461904.0,-40442949.0,-2767138.0,-3251818.0,,,,,,,,,
2011-07-01,114176464.0,160911781.0,-46735317.0,-40677644.0,-2781601.0,-3276073.0,,0.0,,,,,,,
2011-07-08,114386892.0,162208781.0,-47821889.0,-41784874.0,-2784814.0,-3252200.0,,,,,,,,,
2011-07-15,114491763.0,162549011.0,-48057248.0,-41948008.0,-2808705.0,-3300535.0,,,,,,,,,
2011-07-22,116495780.0,163564657.0,-47068877.0,-40856378.0,-2857022.0,-3355477.0,,,,,,,,,
2011-07-29,117273714.0,164948634.0,-47674920.0,-41379695.0,-2883270.0,-3411955.0,,,,,,,,,
2011-08-05,118873820.0,166837241.0,-47963421.0,-41601838.0,-2929873.0,-3431710.0,,,,,,,,,
2011-08-12,121210900.0,170758662.0,-49547762.0,-42983184.0,-3043969.0,-3520609.0,,,,,,,,,
2011-08-19,120618587.0,167806461.0,-47187875.0,-40577599.0,-3066039.0,-3544237.0,,,,,,,,,
2011-08-26,119481777.0,166520772.0,-47038995.0,-40422122.0,-3053933.0,-3562940.0,,,,,,,,,
2011-09-02,118590079.0,164783931.0,-46193852.0,-39642628.0,-3025221.0,-3526003.0,,,,,,,,,
2011-09-09,117708987.0,163727481.0,-46018495.0,-39557322.0,-3012258.0,-3448915.0,,,,,,,,,
2011-09-16,116700909.0,164889034.0,-48188125.0,-41802873.0,-3015793.0,-3369459.0,,,,,,,,,
