tarih,delta_gercek,ar_gercek,pe_gercek,delta_tuzel,ar_tuzel,pe_tuzel,delta_toplam,ar_toplam,pe_toplam,ar_gercek_usd,pe_gercek_usd,ar_gercek_eur,pe_gercek_eur,ar_gercek_diger,pe_gercek_diger,ar_gercek_maden,pe_gercek_maden,ar_tuzel_usd,pe_tuzel_usd,ar_tuzel_eur,pe_tuzel_eur,ar_tuzel_diger,pe_tuzel_diger,ar_tuzel_maden,pe_tuzel_maden,artik_gercek,esik_gercek,artik_tuzel,esik_tuzel,artik_toplam,esik_toplam
2025-03-21,3155.800000000003,2653.48176,502.29124,3148.5,3208.787495,-60.217495,6304.3000000000175,5862.269255,442.073745,2168.769,0.0,421.51676,-110.58376,6.271,0.0,56.925,612.875,2472.638,0.0,771.128495,-117.578495,-50.192,0.0,15.213,57.361,0.02700000000277214,31.557730000000003,-0.07000000000003581,32.6900499,-0.042999999982669124,63.04343
2025-03-28,928.8999999999942,337.891584,590.964416,-714.8000000000029,-721.187289,6.393289,214.09999999997672,-383.295705,597.357705,-277.642,0.0,283.938584,-27.623584,77.596,0.0,253.999,618.588,-200.266,0.0,-241.986289,-55.037711,-195.761,0.0,-83.174,61.431,0.04399999999418469,25.0,-0.006000000002946315,25.0,0.03799999997670511,25.0
2025-04-04,1186.800000000003,502.843004,684.034996,3352.699999999997,2803.740212,548.921788,4539.5,3306.583216,1232.956784,-81.068,0.0,263.782004,429.220996,64.899,0.0,255.23,254.814,1375.393,0.0,1329.162212,527.303788,65.453,0.0,33.732,21.618,-0.07799999999713236,25.0,0.03799999999694137,33.52662,-0.03999999999996362,45.3954
2025-04-11,2729.800000000003,22.739029,2707.008971,-1290.800000000003,-2455.413846,1164.579846,1439.0,-2432.674817,3871.588817,-233.691,0.0,-110.646971,856.239971,69.199,0.0,297.878,1850.769,-1651.301,0.0,-1056.514846,985.340846,-9.34,0.0,261.742,179.239,0.05200000000286309,27.29748,0.03399999999692227,36.19993692,0.0860000000002401,63.04263634
2025-04-18,1923.8999999999942,293.150105,1630.721895,2394.4000000000087,2136.33083,258.13717,4318.3000000000175,2429.480935,1888.859065,22.255,0.0,121.569105,95.017895,-34.681,0.0,184.007,1535.704,897.617,0.0,1288.41683,108.03117,124.469,0.0,-174.172,150.106,0.027999999994335667,25.0,-0.0679999999911729,25.0,-0.03999999998268322,43.1834
2025-04-25,-535.8000000000029,-81.870807,-453.925193,-174.60000000000582,-65.419817,-109.235183,-710.5,-147.290624,-563.160376,-231.388,0.0,121.290193,-53.190193,-56.764,0.0,84.991,-400.735,-1046.469,0.0,881.758183,-67.667183,44.704,0.0,54.587,-41.568,-0.004000000002918114,25.0,0.05499999999418037,25.0,-0.04899999999997817,25.0
2025-05-02,-565.1999999999971,-119.342034,-445.795966,-772.1999999999971,-705.38122,-66.82978,-1337.3000000000175,-824.723254,-512.625746,-250.183,0.0,87.104966,-18.115966,-27.926,0.0,71.662,-427.68,240.241,0.0,-893.74322,-21.93178,-107.366,0.0,55.487,-44.898,-0.061999999997055966,25.0,0.011000000002894694,25.0,0.048999999982584086,25.0
2025-05-09,14.60000000000582,-496.762534,511.302534,-397.1000000000058,-213.926552,-183.147448,-382.5,-710.689086,328.155086,-375.576,0.0,-84.812534,-216.102466,-43.233,0.0,6.859,727.405,-588.459,0.0,268.682448,-253.853448,21.774,0.0,84.076,70.706,0.060000000005857146,25.0,-0.02600000000583691,25.0,0.033999999999991815,25.0
2025-05-16,-2023.9000000000087,-86.591416,-1937.308584,505.40000000000873,951.267237,-445.869237,-1518.5,864.675821,-2383.177821,-467.766,0.0,71.118584,-241.415584,-29.349,0.0,339.405,-1695.893,20.952,0.0,965.519237,-276.553237,-16.79,0.0,-18.414,-169.316,-8.640199666842818e-12,25.0,0.0020000000087065928,25.0,0.0020000000004074536,32.47853642
2025-05-23,1946.699999999997,-227.107229,2173.839229,-467.70000000001164,-1114.964807,647.297807,1479.0,-1342.072036,2821.137036,-56.454,0.0,-101.639229,400.805229,59.808,0.0,-128.822,1773.034,-372.197,0.0,-688.603807,471.183807,-63.919,0.0,9.755,176.114,-0.03200000000288128,25.0,-0.03300000001161152,25.0,-0.06500000000005457,41.63209072
2025-05-30,-1175.7999999999884,-496.187294,-679.648706,-74.09999999999127,-27.165026,-46.969974,-1249.8999999999942,-523.35232,-726.61868,-333.108,0.0,-12.882294,29.193294,-99.93,0.0,-50.267,-708.842,-65.207,0.0,160.276974,22.427026,-102.697,0.0,-19.538,-69.397,0.036000000011654265,25.0,0.03500000000872916,25.0,0.0710000000058244,25.0
2025-06-06,710.3999999999942,-318.044094,1028.480094,-1995.4000000000087,-2276.801802,281.458802,-1285.0,-2594.845896,1309.938896,-38.133,0.0,-85.315094,157.158094,-42.12,0.0,-152.476,871.322,-592.089,0.0,-1662.631802,194.049802,92.206,0.0,-114.287,87.409,-0.03600000000596992,25.0,-0.05700000000877026,25.58260604,-0.09300000000030195,39.04784792
2025-06-13,1337.199999999997,129.708312,1207.447688,3251.2000000000116,2807.353827,443.820173,4588.399999999994,2937.062139,1651.267861,0.546,0.0,58.990312,302.259688,-159.178,0.0,229.35,905.188,1730.892,0.0,992.164827,357.538173,25.096,0.0,59.201,86.282,0.04399999999714055,25.0,0.026000000011720203,32.51174,0.06999999999402462,45.8833
