tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2023-09-15,42.92,57.62,58.8,41.69,33.51,41.87,9.410000000000004,25.202,25.0,17.718,-8.307999999999996,1.0511810261858883,0.3257349626798538,0.19865483547157578,0.027005715960290666
2023-09-22,42.19,57.56,58.93,42.79,34.57,42.74,7.619999999999997,26.38888,30.0,15.801119999999997,-8.18112,1.0098519595041329,0.3034219082785172,0.20603239342702703,0.02940126106293417
2023-09-29,45.27,57.46,59.37,42.21,37.15,45.21,8.120000000000005,29.001620000000003,30.0,16.26838,-8.148379999999996,1.0178866960416877,0.3249510248136036,0.27598251335546276,0.05390585789061897
2023-10-06,49.37,60.01,61.21,41.66,37.15,45.49,12.219999999999999,30.006,30.0,19.363999999999997,-7.143999999999998,1.0503304040586428,0.3244426744576392,0.265780528888534,0.05014005360411056
2023-10-13,49.7,59.22,60.45,41.52,37.9,44.62,11.800000000000004,29.45714,30.0,20.242860000000004,-8.44286,1.0339511878695984,0.32075272707140956,0.25507606518080717,0.04675256576320219
2023-10-20,48.02,59.91,61.33,41.46,37.45,43.74,10.57,29.26048,30.0,18.759520000000002,-8.189520000000002,1.0471506180962864,0.3219618928790725,0.2564225463699097,0.047327346274850246
2023-10-27,48.72,58.43,59.9,41.47,37.53,41.72,11.189999999999998,29.627679999999998,35.0,19.09232,-7.902320000000003,1.064538438470291,0.3224029363527814,0.2611310950034002,0.04735831297201687
2023-11-03,51.19,58.7,60.21,41.67,40.09,44.49,11.099999999999994,33.84314,35.0,17.34686,-6.246860000000005,0.9236894135865513,0.3079703912792717,0.32486534805983264,0.08738221974511129
2023-11-10,52.03,59.05,60.19,41.71,40.58,45.85,11.450000000000003,34.21558,35.0,17.81442,-6.3644199999999955,0.9184841188589581,0.3057188276607924,0.3252842492942392,0.08735415871547347
2023-11-17,50.87,58.26,59.53,42.37,40.78,46.25,10.089999999999996,35.116,35.0,15.753999999999998,-5.6640000000000015,0.9029217389871392,0.2905546627560833,0.31781847526687107,0.08402483879951417
2023-11-24,52.21,58.61,60.15,42.85,41.76,46.07,10.450000000000003,35.93014,40.0,16.27986,-5.8298599999999965,0.9068047597859474,0.29169385225695443,0.3193891197221235,0.08443281332636765
2023-12-01,52.84,58.98,61.3,42.56,44.02,49.33,8.82,40.46574,40.0,12.374260000000007,-3.5542600000000064,0.7187399265071399,0.22290230380161935,0.3454077785997419,0.11421470104165576
2023-12-08,53.11,59.92,61.5,42.58,44.94,50.49,8.170000000000002,40.49136,40.0,12.61864,-4.4486399999999975,0.7030652018681651,0.21626921401946042,0.3456244961458379,0.1133440197804303
2023-12-15,52.45,59.53,61.67,41.96,45.8,52.17,6.650000000000006,40.34484,40.0,12.105160000000005,-5.455159999999999,0.7061674140652044,0.21782814288462138,0.3376469914534274,0.10870777194757986
2023-12-22,52.45,59.69,62.25,41.84,46.37,52.6,6.080000000000005,39.66324,42.5,12.786760000000001,-6.706759999999996,0.7010539627982931,0.2181718262755996,0.33175317743796695,0.10663546564385751
2023-12-29,54.23,58.16,61.75,41.5,47.06,52.5,7.169999999999995,42.021159999999995,42.5,12.208840000000002,-5.0388400000000075,0.6931409467157167,0.22017873559323242,0.32852048695552677,0.1085519454489009
2024-01-05,53.57,62.08,63.42,42.1,46.48,51.29,7.090000000000003,42.208125,42.5,11.361874999999998,-4.271874999999994,0.7000568824342424,0.22173568050163917,0.3245339864298261,0.10671754323261595
2024-01-12,53.88,62.09,63.17,41.62,46.18,51.05,7.700000000000003,41.79956,42.5,12.080440000000003,-4.38044,0.6914193455489269,0.21928320032300752,0.329349396252747,0.11004671571030256
2024-01-19,53.32,60.75,61.9,41.38,45.9,49.98,7.420000000000002,41.80408,42.5,11.515920000000001,-4.09592,0.6931799119995757,0.21966657268948675,0.3326392505115969,0.11152140484902395
2024-01-26,54.21,59.41,60.73,41.21,46.36,49.61,7.850000000000001,43.17002,45.0,11.03998,-3.1899799999999985,0.6980889512477669,0.22349463901648148,0.33018097855931233,0.1100525495097936
2024-02-02,53.93,59.63,61.18,41.03,46.63,50.99,7.299999999999997,44.27046,45.0,9.65954,-2.3595400000000026,0.6772965135435982,0.21413238381956778,0.33058091884558266,0.10989834159097656
