Tarih,Hisse,DIBS,Toplam,Year,Week,Hisse_Cumulative,DIBS_Cumulative,Toplam_Cumulative
2024-04-19,-143.37,115.12,-28.25,2024,16,-2133.3099999999963,2181.779999999999,48.47000000000253
2024-04-26,-154.56,603.5,448.94,2024,17,-2287.8699999999963,2785.279999999999,497.4100000000026
2024-05-03,310.63,761.11,1071.74,2024,18,-1977.2399999999961,3546.389999999999,1569.1500000000028
2024-05-10,84.68,2832.57,2917.25,2024,19,-1892.559999999996,6378.959999999999,4486.400000000003
2024-05-17,-232.69,1338.99,1106.3,2024,20,-2125.249999999996,7717.949999999999,5592.700000000003
2024-05-24,-27.93,1570.33,1542.3999999999999,2024,21,-2153.1799999999957,9288.279999999999,7135.100000000003
2024-05-31,-528.79,94.11,-434.67999999999995,2024,22,-2681.9699999999957,9382.39,6700.420000000004
2024-06-07,-542.7,540.82,-1.8799999999999955,2024,23,-3224.6699999999955,9923.21,6698.540000000004
2024-06-14,-439.19,791.66,352.46999999999997,2024,24,-3663.8599999999956,10714.869999999999,7051.010000000004
2024-06-21,-158.27,34.48,-123.79000000000002,2024,25,-3822.1299999999956,10749.349999999999,6927.220000000003
2024-06-28,-227.77,-679.46,-907.23,2024,26,-4049.8999999999955,10069.89,6019.990000000003
2024-07-05,156.37,1417.88,1574.25,2024,27,-3893.5299999999957,11487.77,7594.240000000005
2024-07-12,-57.74,895.44,837.7,2024,28,-3951.2699999999954,12383.210000000001,8431.940000000006
2024-07-19,124.2,-699.99,-575.79,2024,29,-3827.0699999999956,11683.220000000001,7856.150000000005
2024-07-26,-128.46,1360.51,1232.05,2024,30,-3955.5299999999957,13043.730000000001,9088.200000000006
2024-08-02,-169.21,-162.08,-331.29,2024,31,-4124.739999999995,12881.650000000001,8756.910000000007
2024-08-09,-323.48,17.64,-305.84000000000003,2024,32,-4448.219999999996,12899.29,8451.070000000005
2024-08-16,-297.59,1404.4,1106.8100000000002,2024,33,-4745.809999999996,14303.69,9557.880000000005
2024-08-23,66.0,-1026.37,-960.3699999999999,2024,34,-4679.809999999996,13277.32,8597.510000000004
2024-08-30,-19.52,682.9,663.38,2024,35,-4699.329999999996,13960.22,9260.890000000003
2024-09-06,-50.8,-863.67,-914.4699999999999,2024,36,-4750.1299999999965,13096.55,8346.420000000002
2024-09-13,-320.6,1646.56,1325.96,2024,37,-5070.729999999997,14743.109999999999,9672.380000000001
2024-09-20,96.08,1583.3,1679.3799999999999,2024,38,-4974.649999999997,16326.409999999998,11351.760000000002
2024-09-27,206.22,-443.92,-237.70000000000002,2024,39,-4768.429999999997,15882.489999999998,11114.060000000001
2024-10-04,-291.08,-124.36,-415.44,2024,40,-5059.509999999997,15758.129999999997,10698.62
2024-10-11,-125.74,200.51,74.77,2024,41,-5185.249999999996,15958.639999999998,10773.390000000001
2024-10-18,-73.61,115.68,42.07000000000001,2024,42,-5258.859999999996,16074.319999999998,10815.460000000003
2024-10-25,-217.78,41.89,-175.89,2024,43,-5476.639999999996,16116.209999999997,10639.570000000002
2024-11-01,110.76,621.71,732.47,2024,44,-5365.879999999996,16737.92,11372.040000000003
2024-11-08,-163.8,149.59,-14.210000000000008,2024,45,-5529.679999999996,16887.51,11357.830000000002
2024-11-15,138.56,1627.33,1765.8899999999999,2024,46,-5391.119999999995,18514.839999999997,13123.720000000001
2024-11-22,-272.27,-814.23,-1086.5,2024,47,-5663.389999999996,17700.609999999997,12037.220000000001
2024-11-29,276.85,610.22,887.07,2024,48,-5386.539999999995,18310.829999999998,12924.290000000003
2024-12-06,-157.56,-102.34,-259.9,2024,49,-5544.099999999996,18208.489999999998,12664.390000000003
2024-12-13,318.69,-242.99,75.69999999999999,2024,50,-5225.409999999996,17965.499999999996,12740.09
2024-12-20,-169.17,336.2,167.03,2024,51,-5394.579999999996,18301.699999999997,12907.12
2024-12-27,-101.03,-271.13,-372.15999999999997,2024,52,-5495.609999999996,18030.569999999996,12534.96
2025-01-03,66.41,187.51,253.92,2025,1,-5429.199999999996,18218.079999999994,12788.879999999997
2025-01-10,-211.84,460.54,248.70000000000002,2025,2,-5641.039999999996,18678.619999999995,13037.579999999998
2025-01-17,-67.19,1239.28,1172.09,2025,3,-5708.229999999996,19917.899999999994,14209.669999999998
2025-01-24,345.39,382.92,728.31,2025,4,-5362.839999999996,20300.819999999992,14937.979999999996
2025-01-31,89.09,-682.84,-593.75,2025,5,-5273.749999999995,19617.979999999992,14344.229999999996
2025-02-07,-49.6,-1490.88,-1540.48,2025,6,-5323.349999999996,18127.09999999999,12803.749999999996
2025-02-14,108.38,1851.06,1959.44,2025,7,-5214.969999999996,19978.159999999993,14763.189999999997
2025-02-21,73.84,179.75,253.59,2025,8,-5141.129999999996,20157.909999999993,15016.779999999997
2025-02-28,-107.74,53.47,-54.269999999999996,2025,9,-5248.869999999995,20211.379999999994,14962.509999999998
2025-03-07,216.33,-159.35,56.98000000000002,2025,10,-5032.539999999995,20052.029999999995,15019.49
2025-03-14,480.11,1465.3,1945.4099999999999,2025,11,-4552.429999999996,21517.329999999994,16964.899999999998
2025-03-21,-443.61,-439.54,-883.1500000000001,2025,12,-4996.039999999995,21077.789999999994,16081.749999999998
2025-03-28,-651.88,-2388.05,-3039.9300000000003,2025,13,-5647.9199999999955,18689.739999999994,13041.82
2025-04-04,-445.24,-2019.52,-2464.76,2025,14,-6093.159999999995,16670.219999999994,10577.059999999998
2025-04-11,-293.24,-2804.51,-3097.75,2025,15,-6386.399999999995,13865.709999999994,7479.309999999999
2025-04-18,269.13,-969.96,-700.83,2025,16,-6117.269999999995,12895.749999999993,6778.479999999998
2025-04-25,92.35,476.74,569.09,2025,17,-6024.919999999995,13372.489999999993,7347.569999999998
2025-05-02,173.57,-1161.9,-988.3300000000002,2025,18,-5851.349999999995,12210.589999999993,6359.239999999998
2025-05-09,101.99,933.74,1035.73,2025,19,-5749.359999999995,13144.329999999993,7394.9699999999975
2025-05-16,245.21,1875.55,2120.7599999999998,2025,20,-5504.149999999995,15019.879999999992,9515.729999999996
2025-05-23,13.24,148.35,161.59,2025,21,-5490.909999999995,15168.229999999992,9677.319999999996
2025-05-30,93.17,-333.53,-240.35999999999996,2025,22,-5397.739999999995,14834.699999999992,9436.959999999995
2025-06-06,51.29,-1637.08,-1585.79,2025,23,-5346.449999999995,13197.619999999992,7851.169999999996
2025-06-13,474.87,579.6,1054.47,2025,24,-4871.579999999995,13777.219999999992,8905.639999999996
2025-06-20,-109.15,685.6,576.45,2025,25,-4980.729999999995,14462.819999999992,9482.089999999997
2025-06-27,247.66,305.11,552.77,2025,26,-4733.069999999995,14767.929999999993,10034.859999999997
2025-07-04,234.87,2377.01,2611.88,2025,27,-4498.199999999995,17144.939999999995,12646.74
2025-07-11,178.29,-493.01,-314.72,2025,28,-4319.909999999995,16651.929999999997,12332.02
2025-07-18,209.43,35.97,245.4,2025,29,-4110.479999999995,16687.899999999998,12577.420000000002
2025-07-25,205.18,270.96,476.14,2025,30,-3905.299999999995,16958.859999999997,13053.560000000001
2025-08-01,135.51,8.81,144.32,2025,31,-3769.7899999999954,16967.67,13197.880000000003
2025-08-08,77.9,-417.03,-339.13,2025,32,-3691.8899999999953,16550.64,12858.750000000004
2025-08-15,125.12,1099.64,1224.7600000000002,2025,33,-3566.7699999999954,17650.28,14083.510000000004
2025-08-22,89.45,96.47,185.92000000000002,2025,34,-3477.3199999999956,17746.75,14269.430000000004
2025-08-29,-139.63,763.25,623.62,2025,35,-3616.9499999999957,18510.0,14893.050000000005
2025-09-05,-523.24,-780.04,-1303.28,2025,36,-4140.189999999996,17729.96,13589.770000000004
2025-09-12,-164.94,587.91,422.96999999999997,2025,37,-4305.129999999996,18317.87,14012.740000000003
2025-09-19,407.6,177.95,585.55,2025,38,-3897.5299999999957,18495.82,14598.290000000005
2025-09-26,158.75,439.59,598.3399999999999,2025,39,-3738.7799999999957,18935.41,15196.630000000005
2025-10-03,-84.12,-358.49,-442.61,2025,40,-3822.8999999999955,18576.92,14754.020000000002
2025-10-10,-109.69,307.75,198.06,2025,41,-3932.5899999999956,18884.67,14952.080000000002
