tarih,dibs_toplam_trl,pay_dibs_tcmb,pay_dibs_bankalar,pay_dibs_fonlar,pay_dibs_yurtdisi,pay_dibs_diger_yurtici,dibs_pd_trl,pay_dibs_kv_kisa,pay_dibs_ov_kisa,dibs_piyasa_yazili_oran,eb_toplam_mlrusd,eb_pd_mlrusd,pay_eb_yurtdisi,pay_eb_kendi,pay_eb_usd,pay_eb_eur,pay_eb_jpy,pay_eb_kv_kisa
2024-03-22,3.6127833799999998,5.258497397095533,74.28206725198122,2.138681782797617,2.032541181586149,16.288212386539477,4.6034975099999995,17.61861081141326,0.0,1.2742246145961842,96.29831,93.93875,45.65035461162299,1.9459116156867136,90.75890407313277,8.42460645899589,0.8164894678713523,12.410693137815866
2024-03-29,3.6078732099999997,5.265667858655155,74.06713136684756,2.112673466149882,2.164990992019922,16.389536316327483,4.6120434800000005,17.609171152046464,0.0,1.2783274831323688,96.20691000000001,93.9387,45.55565707286514,1.9526352109219596,90.84080363045263,8.343962605401183,0.8152444093861211,12.421451435883188
2024-04-05,3.6123857200000002,5.259090106247015,73.76712528915655,2.2268682315575097,2.2540840406156852,16.492832332423223,4.62791882,17.798730099591502,0.0,1.2811253223534502,96.25026,94.27334,45.715741443191945,1.951911610420585,90.80135486872535,8.38692041673712,0.8117247145375351,13.841983322114185
2024-04-12,3.6241717,5.241987293262071,73.60318221126224,2.232385678636583,2.2908776645433218,16.63156715229578,4.64972109,18.151190010409852,0.0,1.2829748353258208,96.23064000000001,94.36587,45.62662162487956,1.9522472260394403,90.84908558571017,8.341098322942395,0.809805494295766,13.816077127893497
2024-04-19,3.6936602699999996,4.953666732322407,73.50674294688179,2.370898068543808,2.34487212328274,16.823820128969256,4.68691332,18.311242632496562,0.0,1.2689075273292527,96.10853999999999,92.84766,45.30900167664601,1.9595345013044627,90.86293612569234,8.32890134226323,0.8081625320444263,13.986556042446304
2024-04-26,3.57249068,5.121682220875661,72.09172817212219,2.420187979328752,2.980561169721512,17.385840457951872,4.57469275,15.351326927912263,0.0,1.2805331517337926,96.135,93.09984,45.21880688614968,1.9643106048785564,90.8421217480073,8.358220594149248,0.7996576578434507,13.958928393432254
2024-05-03,3.5644471699999998,5.133239778105619,71.64710004665324,2.42328910712962,3.4414124869748033,17.35495858113672,4.60237276,15.285045490317914,0.0,1.2911883780283382,96.12619000000001,93.77527,45.248386521924985,1.964459425677851,90.89070071459138,8.313055243669252,0.7962440417393626,13.85562526239594
2024-05-10,3.6699595099999995,4.982633173519671,69.4953980568576,2.3251929556029354,5.9546073847555885,17.24216842926422,4.66211282,14.079867303426031,0.0,1.2703444839913236,96.14036,93.95157,45.411438026651865,1.9642322953648188,90.87894965459331,8.327609639732469,0.7934513494558951,13.82584665695315
2024-05-17,3.68356762,4.996803072126038,68.60287337415568,2.358773856308358,6.673613337930254,17.367936359479668,4.68261831,14.21787162490295,0.0,1.2712182300049644,96.24795,94.20853,45.67841704680464,1.9727796799827946,90.79973968386939,8.402275250447067,0.7979744509334771,13.798623118309989
2024-05-24,3.72561808,4.9577175124724535,66.9576565937215,2.339752978652068,8.480851048478915,17.264021866675066,4.75470198,14.08227840181058,0.0,1.2762183020112465,96.21463,93.96367,45.774067831472195,1.9733797240606754,90.81727012152676,8.393467390109391,0.7892624883638538,13.80084451788654
2024-05-31,3.7236943499999997,5.001313279109495,66.70898082706492,2.3025394122372047,8.712611710464367,17.274554771124002,4.77506491,14.067295055890664,0.0,1.2823460953501729,96.19269,93.96442,45.90687712340719,2.0673192526375965,90.86278614820375,8.348862260842987,0.7883515909532566,13.789176796919515
2024-06-07,3.82378054,4.75881442714806,67.04806311922911,2.275300820480665,8.784680932551636,17.13314070059052,4.86428328,12.568779094625429,0.0,1.272113613507746,96.24422,94.02308000000001,46.74761767511856,2.097559728781635,90.81934988728298,8.388227656443503,0.792422456273502,13.778425467449058
2024-06-14,3.8927899,4.708284410622829,66.38962508611112,2.3649547590533975,9.284356445746019,17.252779298466635,4.90578436,11.89937362024612,0.0,1.2602232553059183,96.18313,94.10146,47.260002871605444,2.098684041577769,90.90390308503183,8.310274888402368,0.7858220265657939,14.877696902896083
2024-06-21,3.9028517899999997,4.7192061064660615,66.05225380592789,2.4021342609066894,9.454812015805498,17.371593810893863,4.9239280999999995,14.299884273289857,0.0,1.2616231322481246,96.12252000000001,94.04499000000001,47.15434010677206,2.0998201045915152,90.96984326331471,8.249668589469785,0.7804881472154975,14.8610787241298
2024-06-28,3.9047512699999998,4.716910432043985,66.7316384533758,2.4348577777657012,8.877875593853126,17.23871774296138,4.96908222,14.248684366202102,0.0,1.2725733027292159,96.09084,93.94538,47.00408488467788,2.100429135597108,90.99466094021867,8.235263937407034,0.7700751223742988,14.863700588576044
2024-07-05,3.90588277,4.723224706511097,65.33568133689789,2.442590974126958,10.131000168241096,17.367502814222956,5.034584929999999,13.46444005663045,0.0,1.2889749197465032,96.16304,94.78376,46.204934868947575,2.1095214959926394,90.97194498298022,8.267154626488757,0.760910940861599,14.778375536062297
2024-07-12,3.99961472,4.662914631937348,65.03343077005177,2.485928694651869,10.422445639964039,17.395280263394962,5.15833154,13.563895921206912,0.0,1.2897071095887955,96.19534,95.06564,46.24326916459779,2.1089379173668914,90.95899422756739,8.283508110816907,0.7574976616157004,14.749282706138622
2024-07-19,4.0074665199999995,4.653778617219739,65.13871162671623,2.628384528587403,9.989352325269083,17.589772902207542,5.12979362,13.608054079961212,0.0,1.2800590084530512,98.03215,96.57981,46.62648937108897,2.096159270198603,91.02089763895788,8.209024225663729,0.7700884895093498,14.553764958352582
2024-07-26,4.0336675699999995,4.371520878702456,64.67130036697596,2.621257160267176,10.969583197457197,17.36633839659721,5.1653237999999995,15.617608135234425,0.0,1.280552675787311,97.99047,96.76327,46.42294296578024,2.0968365597185112,91.06833615689092,8.144102612489222,0.7875612306198416,14.528787627784798
2024-08-02,4.04674583,4.357393011757301,64.78982990636702,2.6502450241605606,10.73524798072134,17.467284076993774,5.192411719999999,15.703119551544345,0.0,1.283107943549793,97.96414999999999,96.7464,46.49021095982561,2.097267214588194,91.10429948814634,8.094523413791107,0.8011770980625635,14.533688075215204
2024-08-09,4.04800041,4.356042542989762,64.99897982964879,2.699978728510059,10.712442590884026,17.232556307967357,5.207181589999999,16.014137505813387,0.9974622375326073,1.2863589581504018,98.0875,96.97328999999999,46.356171785395695,2.0949866190900983,90.98189821135284,8.19736032468322,0.8207517760818468,14.567454605283578
2024-08-16,4.14568897,4.253397234477047,64.52353805017843,2.706682551730358,11.348329636026698,17.168052527587463,5.31431365,15.85087382987053,0.9819794885459951,1.2818891355469921,95.88772,95.08899000000001,46.630454869507794,2.1453320612900173,90.72130222436898,8.447655191205627,0.8310531008900189,12.508514392675742
2024-08-23,4.21385275,4.181935878039402,65.35670782516073,2.7165094935982284,10.484120262626643,17.260726540575003,5.32859761,17.61216324983489,0.9882908028183627,1.26454290791248,95.99108000000001,95.64428,46.399029993203534,2.143365821074208,90.63213189539405,8.53137270728579,0.8364953973201533,12.488472912337256
2024-08-30,4.21723106,4.178585842057229,64.8757111259633,2.886005254831828,10.938408008405402,17.12128976874224,5.33966024,17.62897071518543,0.9902843556203492,1.2661531142189777,95.99494,95.63825,46.270824274696146,2.2161897283335974,90.62660598662146,8.529808941506145,0.8435850718723942,12.48973083468173
2024-09-06,4.21714774,4.178668400173241,65.63009741745495,2.8555290785235803,10.261764507211693,17.073940596636533,5.34503714,17.56823246320792,0.988764132308282,1.26745313883644,95.96757000000001,96.19631,45.877789757519125,2.2479677249304117,90.6826883484408,8.472913358111137,0.8443878980389165,12.428158626874566
2024-09-13,4.29695936,4.101053913621374,64.66317242525655,2.8467572008872803,11.440529425905485,16.948487034329307,5.4432750599999995,17.75653501103164,0.9714906819351509,1.266773689011571,95.91527,96.49619,45.76575763170973,2.2489849634995553,90.74604914453099,8.40670496938791,0.8472458860810981,12.376676465327435
2024-09-20,4.38850111,4.015508156041004,63.089997258767916,2.965083675232339,12.479139830956996,17.450271079001727,5.437915589999999,16.59331641078305,0.9755715976459282,1.23912822480749,96.02083,97.31291,45.97100441643755,2.2573018791860058,90.66694234094942,8.49214148461905,0.8409161744315323,12.315755432655337
2024-09-27,4.40568691,3.999844373870861,63.18319269763997,3.068076165221645,12.159280061051819,17.589606702215708,5.5067877,16.570804427416007,0.9676973746418442,1.2499271538112997,95.30878,96.69877000000001,45.403497977835826,2.2793807663889933,91.34224768319183,8.538185128931836,0.11956718787632975,11.688587145420772
2024-10-04,4.40097899,4.021164845415451,63.29706245655128,3.0206904032504824,12.051944606079568,17.60913768870321,5.50538308,18.46701174516633,0.9692306461624102,1.250945094832184,96.88563,97.7017,46.105433798593246,2.2420043096174322,91.52400623530603,8.3601615939129,0.11583217078106113,10.171368563699506
2024-10-11,4.51876399,3.916350143349708,63.14623127728341,3.2550783870436217,11.908739230260174,17.77360096206307,5.62654344,17.738477315903346,0.9503161322788969,1.2451509865200994,96.80906,96.92737,45.65463191151737,2.243509026944379,91.55496533125785,8.330072300527705,0.11496236821446823,10.219105295026576
2024-10-18,4.60725528,3.8411290289953284,63.210516522540075,3.4546818078637047,11.698068095762212,17.795604544838675,5.67795673,17.58718630181039,0.941555960043394,1.2323946438670097,96.75194,96.94213,45.577907791823094,2.2498050168296366,91.60980886225627,8.275607313352822,0.11458382439090208,12.267958213833346
2024-10-25,4.62110424,3.8296175720978756,63.09050561473592,3.512730541650798,11.747427060853315,17.81971921066209,5.6814177,17.743193714232287,0.9438964503525237,1.2294502363357205,96.70509,96.16047,45.44475373529976,2.2972627397378984,91.60043622914905,8.286221978740329,0.11334179211062508,12.33648296436155
2024-11-01,4.6272579,3.8245246715122576,62.48042366516895,3.55064864657749,12.29359595452849,17.8508070622128,5.694775139999999,17.627845442901894,0.9422138483241326,1.2307019109524886,96.75334,96.02414999999999,45.09304795059271,2.296292820485577,91.55915465015832,8.327321824770124,0.11353393911844051,12.35937001264786
2024-11-08,4.669003719999999,3.790329385301925,62.71752702737191,3.4399773406049037,12.376764822967415,17.675401423753843,5.70896524,16.973037481657535,0.9406547026024632,1.2227373509139121,96.67454,96.53374000000001,45.064688179535175,2.2978852550009545,91.63175486622605,8.255787043991043,0.11245808978290905,12.276857811579662
2024-11-15,4.7949222,3.6907923135854004,62.24685564241271,3.3721003856955174,13.141977986629271,17.548273671677094,5.84922281,16.58773843152677,0.9222365389770474,1.2198785644530372,94.60960000000001,93.90027,45.4855426933419,2.3685968442948706,91.58184529181865,8.30478975193575,0.11335430664895851,13.322432406211398
2024-11-22,4.82294222,3.669349785409621,62.68463796773415,3.5370568880669695,12.406749712211978,17.702205646577276,5.90193618,16.685083165368965,0.9188169499996185,1.2237211044174607,94.60921,93.96613,45.13139894096991,2.368596038377236,91.58237122248197,8.304002729494126,0.11361540589146324,13.31328639372506
