kod,itfa,vade_yil,reel_getiri,endeks_orani,tarih
TP.TRT120128A12,2028-01-12,2.0684931506849313,7.371282279648983,10.539735758797253,2025-12-18
TP.TRT280628A19,2028-06-28,2.5287671232876714,4.583947951812228,9.90879890804716,2025-12-18
TP.TRT190728A27,2028-07-19,2.5863013698630137,6.831561682501386,2.6253994767239384,2025-12-18
TP.TRT181028A15,2028-10-18,2.835616438356164,3.377231324293284,2.155572486188025,2025-12-18
TP.TRT140229A18,2029-02-14,3.1616438356164385,6.31389511123801,1.8526139418966023,2025-12-18
TP.TRT110429A19,2029-04-11,3.315068493150685,5.673679901099016,1.1972893361854333,2025-12-18
TP.TRT020529A19,2029-05-02,3.372602739726027,5.035195709762563,1.6346652425095456,2025-12-18
TP.TRT130629A15,2029-06-13,3.4876712328767123,6.313734925399173,1.1362615795641464,2025-12-18
TP.TRT280531A15,2031-05-28,5.443835616438356,3.458891030141742,6.492638921110379,2025-12-18
TP.TRT110232A16,2032-02-11,6.153424657534247,3.969523293163224,5.1008956383384,2025-12-18
TP.TRT040832A19,2032-08-04,6.632876712328767,4.3788986253347595,3.5730454244703407,2025-12-18
TP.TRT120133A15,2033-01-12,7.073972602739726,3.8263789856635366,3.0809475045874977,2025-12-18
TP.TRT070933A14,2033-09-07,7.726027397260274,4.051357631750552,2.3829384812414727,2025-12-18
TP.TRT180827A10,2027-08-18,1.663013698630137,7.475887122150193,1.4818182263277573,2025-12-19
TP.TRT151227A17,2027-12-15,1.989041095890411,8.768216447310117,1.3316471335252769,2025-12-19
TP.TRT120128A12,2028-01-12,2.0657534246575344,7.371312936369279,10.548286554727285,2025-12-19
TP.TRT280628A19,2028-06-28,2.526027397260274,4.583877116451829,9.916837830399054,2025-12-19
TP.TRT190728A27,2028-07-19,2.5835616438356164,6.8314936014765015,2.6275294404795804,2025-12-19
TP.TRT181028A15,2028-10-18,2.8328767123287673,3.3772365961839856,2.157321283393534,2025-12-19
TP.TRT140229A18,2029-02-14,3.158904109589041,6.314000654505603,1.8541169514707339,2025-12-19
TP.TRT110429A19,2029-04-11,3.3123287671232875,5.673675000018452,1.1982606866079883,2025-12-19
