Tarih,TP_GSYIH040_IFK_B1GQ,TP_GSYIH040_IFK_A,TP_GSYIH040_IFK_BTE,TP_GSYIH040_IFK_C,TP_GSYIH040_IFK_F,TP_GSYIH040_IFK_GTI,TP_GSYIH040_IFK_J,TP_GSYIH040_IFK_K,TP_GSYIH040_IFK_L,TP_GSYIH040_IFK_MN,TP_GSYIH040_IFK_OTQ,TP_GSYIH040_IFK_RTU,TP_GSYIH040_IFK_B1G,TP_GSYIH040_IFK_D21X31
2003-03-31,101837606.442178,4781154.14071678,22201351.2078403,18953593.8200335,4671486.63834637,26308479.2368275,2446171.76181076,3350175.26371275,9116128.24753548,3485266.44346397,11848884.3701742,1965285.9024702,90174383.2128983,11663223.2292797
2003-06-30,114048147.630101,8898144.23685099,23935189.0252836,20479252.9458499,5564414.88400076,28123926.5053908,2903895.50579147,1985915.94142144,9886665.28468532,4203112.02603939,12132492.3367276,2068425.42578544,99702181.1719768,14345966.4581245
2003-09-30,130535390.993032,21161748.0762609,23603200.8094582,19954188.4388884,5609118.72703243,29649791.9448393,3032659.4379245,3107258.90692361,10020375.2757865,3979031.09465584,12554292.9650697,2108148.02923467,114825625.267186,15709765.7258464
2003-12-31,126947327.567892,11427218.3632946,26069802.4741174,21846762.8565709,5945752.67856691,30434584.4349264,3347678.98227893,3737525.30082403,9798797.52130127,4470925.41280896,13561821.8787868,1942614.45922383,110736721.506129,16210606.0617633
2004-03-31,124158764.606504,5761798.12386566,26753240.4176079,23009764.6016125,6398969.74840586,31622329.1178747,2874616.26824095,3016644.88190588,11919986.1638359,4317325.13453314,14831713.4212374,2184804.33445589,109681427.611963,14477336.9945407
2004-06-30,140826436.56594,10058474.1672057,29082535.8267834,25123590.8429921,7712501.2797718,35525733.0547659,3422908.51980914,3160507.33359999,12403148.5237276,5188593.90050199,14528770.1241317,2169684.94619568,123252857.676493,17573578.8894466
2004-09-30,160312376.34673,24395801.0716585,28769060.0625233,24658396.9283488,8368949.78555485,36953490.0050118,3797986.27491078,3805950.1924212,12549627.9044166,4989776.26510348,14618774.2495162,2170019.13857532,140419434.949692,19892941.3970381
2004-12-31,159396094.619847,14179979.640912,31411404.1739896,26635025.431866,8607755.55108008,38632265.0197372,4144729.64672611,4558962.6936485,12440785.3844599,5708038.27144778,16771897.942097,2119093.4366189,138574911.760717,20821182.8591297
2005-03-31,147158922.865687,6622284.09499595,31129085.185855,26866740.0352109,8221998.30137173,37257636.4022524,3666815.00523081,4404224.41708603,14657602.7439896,4896065.28614642,16454011.067818,2333421.88908894,129643144.393835,17515778.4718523
2005-06-30,163817314.154558,11727574.1656801,33173548.5950233,28784156.9390159,9308754.43117212,39778492.3209388,4418734.34159713,3982981.75620608,15222293.1889174,6099208.87514986,16406513.8807707,2511055.15166571,142629156.707121,21188157.4474368
