Tarih,TP_GSYIH30_HY_B1GQ,TP_GSYIH30_HY_P311,TP_GSYIH30_HY_P312,TP_GSYIH30_HY_P32,TP_GSYIH30_HY_P51G,TP_GSYIH30_HY_P6,TP_GSYIH30_HY_P7,TP_GSYIH30_HY_P52
2017-09-30,171.06808143,162.04998657,163.96018757,140.10472198,225.38425417,171.4256637,178.09957215,
2017-12-31,173.82791415,167.34791393,171.39283231,144.84387399,223.39746676,173.07027129,186.2165002,
2018-03-31,176.36993873,168.36061801,193.55850373,146.77132543,231.30520158,174.55926223,191.84488188,
2018-06-30,176.68899851,167.22881075,211.29437993,152.80367959,236.3416042,184.01089745,174.85609743,
2018-09-30,175.45176753,163.98306641,204.96240672,152.10629812,217.93733301,203.44664475,155.70276092,
2018-12-31,170.1071547,155.06693471,205.61826335,155.10000506,196.95192251,195.02715836,140.81231124,
2019-03-31,173.57034563,162.62632871,188.87184663,157.81473256,198.06241482,189.99532115,140.63639353,
2019-06-30,177.36534687,167.41022723,200.46615521,159.1713829,190.15258103,195.89734817,149.49709602,
2019-09-30,177.40912037,166.65867618,193.45663385,159.73323925,188.36741832,211.65627681,161.71499115,
2019-12-31,180.18129961,167.35236148,196.45893093,158.20171517,199.16345615,194.87699581,178.39095461,
2020-03-31,180.81709197,168.21499065,217.37197886,162.78156824,194.88292016,189.7420112,171.93790663,
2020-06-30,162.04723152,152.03588706,204.97763484,160.73391928,182.69502466,125.12811733,137.506208,
2020-09-30,187.44828475,184.59406899,231.79896013,160.76339421,230.18600565,156.73205022,182.40969547,
2020-12-31,189.82635924,181.32533233,235.74608737,166.47927119,221.67732338,190.7652926,177.04965397,
2021-03-31,194.91485357,186.01394434,243.09653692,164.56258403,218.98830065,193.72620178,172.28254766,
2021-06-30,198.03837973,192.39808604,248.35742064,169.97370516,221.17890057,199.3759791,165.06762602,
2021-09-30,204.98957312,199.56698799,255.20418613,174.60134496,225.47185817,201.31244441,170.43774184,
2021-12-31,208.75052223,218.83914055,263.78610674,172.53332094,223.66388606,234.11108618,180.76048519,
2022-03-31,208.13604549,222.78332437,241.62907585,173.18039164,231.50405509,225.77124378,177.04979377,
2022-06-30,211.63325005,222.12235161,249.28785043,173.46341058,234.21147885,237.23881771,175.40718795,
2022-09-30,213.54238953,236.07225871,258.4600028,179.67641513,228.51333193,227.29797768,189.67050175,
2022-12-31,215.61760823,242.98637442,268.85527228,183.87186936,234.17853247,225.19165512,198.03291089,
2023-03-31,213.9374053,247.20926713,310.31057904,178.85428097,238.67242482,219.94627005,200.8899017,
2023-06-30,224.09608011,254.36037958,301.16668694,185.37306323,246.44375891,217.91939017,212.63879403,
2023-09-30,225.8419658,255.41767167,302.37700243,181.66152362,258.22421971,229.89656761,212.44455537,
2023-12-31,227.35550125,262.66477759,305.18250779,179.88371692,253.16697378,226.90921548,201.74436691,
2024-03-31,229.68256882,266.19251363,341.99374161,179.9747186,259.25363369,230.32941427,197.62825542,
2024-06-30,229.21242472,262.46866652,340.32165438,181.14546098,247.81625193,217.19940704,200.31110436,
2024-09-30,230.49949819,265.24513238,340.68908609,179.80052538,251.97791132,229.13899893,195.94612618,
2024-12-31,234.17895082,272.67011138,343.04122827,178.71479824,264.72204589,221.82800372,204.39176517,
2025-03-31,236.34581857,272.74998339,334.95176326,182.78596669,264.96724899,229.8312006,206.47850989,
2025-06-30,239.06636625,274.03236467,335.95180709,181.2228947,271.95865571,220.86708846,213.03403643,
2025-09-30,241.07954548,277.34485498,337.43887162,182.15056423,281.83499509,226.20613188,203.33683446,
2025-12-31,241.7233872,287.93386105,347.46380242,181.08860437,279.75226831,215.93986386,210.21562678,
2026-03-31,242.46835142,287.6283758,340.48253404,183.51049176,274.07907129,200.82554897,203.14454403,
2026-06-30,245.18163237,283.89873296,346.48343342,179.77022946,274.1814624,213.17990381,199.45198369,
