Tarih,TP_GSYIH40_IFC_B1GQ,TP_GSYIH40_IFC_A,TP_GSYIH40_IFC_BTE,TP_GSYIH40_IFC_C,TP_GSYIH40_IFC_F,TP_GSYIH40_IFC_GTI,TP_GSYIH40_IFC_J,TP_GSYIH40_IFC_K,TP_GSYIH40_IFC_L,TP_GSYIH40_IFC_MN,TP_GSYIH40_IFC_OTQ,TP_GSYIH40_IFC_RTU,TP_GSYIH40_IFC_B1G,TP_GSYIH40_IFC_D21X31
2016-03-31,353285915.925122,9469445.49012142,74671384.5198521,62314791.4817981,24087237.3119915,79656158.9516723,8603235.63136387,18846887.0503757,34643944.218803,18443888.4427343,39121992.7231021,7285242.70357668,313200355.079378,40151529.8195027
2016-06-30,392325924.145226,16345777.1499452,80019912.4943841,67511388.419888,31238274.5841709,87098543.8967639,9272015.75033193,18618768.0675225,34758921.6359794,21815445.5213131,39451125.5519765,7529300.43212373,347139748.385466,45241249.9728703
2016-09-30,405802584.31212896,53132447.45355,73045788.3833822,60041291.4415558,30195321.9796186,82975925.4860684,9175771.77051285,16574749.0272346,34390888.0794655,20214082.2204555,37393194.7901797,6975672.03237234,360617874.53298897,45283784.4453414
2016-12-31,435999851.63698703,23832052.4101384,88215642.6950058,74310827.2903364,31951184.5658544,100282290.741153,13022875.5242925,17653595.9357597,34926368.9801204,25331615.9690928,38959775.9353105,7776502.28296567,383337732.00033295,52657035.9326742
2017-03-31,372807576.962518,10066955.4313488,78532699.3550892,65000462.6756102,25397618.9031335,84629188.7489764,9752224.27122054,21106352.0369463,36485644.3358292,20011940.7710455,40168338.8242061,7576024.97510609,332481255.784647,40429384.15732
2017-06-30,413647676.32863903,17643317.7012158,84443603.1252596,71137856.7824625,32988937.0537189,92447974.6171262,10607141.9779045,20537341.8625479,36653061.0326613,23185648.9554745,39829075.7252831,8041609.38399367,366823030.26698095,46898183.5138344
2017-09-30,455511212.27398705,55651759.9736675,84467141.5285289,70065724.2757465,36087939.3976481,101405365.853057,10787330.7451017,16087001.4798328,36419362.9802783,23601974.0448332,38584308.5213977,7668776.11125283,406219459.49355,49417297.9011451
2017-12-31,469676586.47329104,25330936.7056184,96653728.1395244,81057005.9904136,33667094.6409473,108702900.301214,15208990.746278,18430725.2236753,36980156.7103497,27931774.9892328,41980206.1612978,8828781.9826325,415498721.807176,54241534.7479272
2018-03-31,402659336.993109,11011100.3207965,84749772.5769896,70490337.5825966,27226692.5890069,94460238.4277706,10433333.0821193,22271900.1882435,38744189.4068482,22422058.985357,42008820.4525409,8250861.73223979,359961985.259325,42794489.3609711
2018-06-30,439699392.387922,17918093.6923771,88397659.5374632,74497826.1800979,34008607.9064727,101195237.524693,11430798.2509641,23199630.7317244,37922924.9216426,22799303.4863142,45405233.0186476,8435186.81950496,390883273.67844,48910876.5140653
