Tarih,TP_GSYIH20_BY_B1GQ,TP_GSYIH20_BY_P311,TP_GSYIH20_BY_P312,TP_GSYIH20_BY_P32,TP_GSYIH20_BY_P51G,TP_GSYIH20_BY_P52,TP_GSYIH20_BY_P6,TP_GSYIH20_BY_P7
2011-06-30,341163165.496872,209440606.375675,965135.31736218,48524557.3683155,101390046.752638,9602040.35949393,76507907.7897587,105267128.466371
2011-09-30,385954610.135374,225594302.940401,901176.89487914,47233615.1339987,104397381.984001,25643610.6910887,95692436.4193618,113507913.928356
2011-12-31,390538220.90934,231117867.552552,1008237.44511601,59016516.3754845,115097641.965447,6083034.84971387,92839541.6620095,114624618.940983
2012-03-31,339453805.039846,211683914.424098,902150.9402799,49231183.5569111,88320330.6458698,11681349.4984533,83510321.616226,105875445.641992
2012-06-30,387344421.610499,230981852.676935,947206.78213176,57478637.1628872,109946059.562145,4734299.52759171,100330639.16689,117074273.268082
2012-09-30,428883048.58962893,249633738.586289,876805.36608299,57318420.3353058,112970058.318012,13609352.5476101,108315424.561732,113840751.125403
2012-12-31,434368020.01623905,250560721.540155,993191.07225252,65624574.5290282,124429475.517102,2126035.32548502,104812429.671716,114178407.639499
2013-03-31,392753083.38088095,236367643.791467,906584.15843482,60362757.0165729,106796293.474356,9465439.02259271,93959333.6618689,115104967.744411
2013-06-30,446996350.53968894,259918079.246506,941356.18054496,63161856.2507695,131896418.803277,13545924.0632964,110381121.651081,132848405.655786
2013-09-30,495445687.68149,285675811.200712,870874.49972842,64657511.6017316,140127737.687419,15846064.1614679,122445118.102809,134177429.572378
2013-12-31,496548848.900392,288320019.821935,961835.06251083,73140061.8468777,148636250.702911,8211327.94014771,120219666.77634,142940313.25033
2014-03-31,458361289.85878706,260809970.995643,1176331.85991316,73117551.4164106,134291279.293244,5902119.84302725,124725102.237481,141661065.786931
2014-06-30,492585428.77921695,287886409.869184,1206317.48472316,70632138.2195388,145816920.436914,4047539.94234436,128634311.134197,145638208.307684
2014-09-30,551958483.650141,315697015.114479,1189104.59525841,72827498.4056804,153210049.307232,8216144.76737024,144906475.644604,144087804.184483
2014-12-31,559452976.885586,324550226.351508,1308021.48340277,83996228.1690547,166504877.943682,5081215.46878595,134179818.238326,156167410.769173
2015-03-31,501740757.863902,301379215.482987,1712988.80925737,67874671.3813178,144634641.130528,1262138.59117627,125629779.404698,140752676.936063
2015-06-30,567197911.838763,329810921.794388,1785294.42886657,75868224.3937668,178017539.216211,-3376699.09817252,145291839.786964,160199208.683261
2015-09-30,634163127.850709,348517455.540578,1754960.61437378,77248197.833856,180727535.501133,13235684.7593633,170621455.475049,157942161.873644
2015-12-31,650957329.41532,372737901.32226497,1748191.22839635,96839861.9881117,203118462.109445,-9920880.93135679,153581542.149422,167147748.450963
2016-03-31,570866259.930324,331585901.149439,1976132.45000641,85916380.7245866,168940784.248085,-2814283.90097836,138077128.239808,152815782.980622
2016-06-30,637798573.2920791,365066131.700826,2206732.5214632,96485093.3896551,195844724.702799,-2494576.71085058,149166095.721903,168475628.033716
2016-09-30,670039064.862309,373271704.596866,2028972.20858838,86885754.9031464,195027571.416137,8447800.44745218,157781679.575357,153404418.285237
2016-12-31,751284073.421079,425395504.882428,2154255.73395011,114752558.800798,230322318.322029,-8779697.06587745,176499177.86353,189060045.115778
2017-03-31,660893768.1913071,378523052.504505,2201023.62079817,97277589.1819763,194882806.387986,6797044.31730695,185451071.215789,204238819.037054
2017-06-30,743962431.0393981,424439172.30684096,2435926.78339422,105141559.272835,235196112.442273,4459805.97605726,197558756.310919,225268902.052923
2017-09-30,844119989.315872,455914326.330564,2239164.66987405,105287350.060406,251891900.887364,39663292.5753591,222719415.691742,233595460.899437
2017-12-31,902552964.3439231,501555662.672778,2360235.14598257,136951352.914482,271678189.4357,28965133.1654423,230670804.565133,269628413.555595
2018-03-31,809483219.5285649,445813321.72946304,3074966.43449301,115956557.132984,252869443.933182,41706889.8985065,208136664.931959,258074624.532022
2018-06-30,908772012.4150301,491014373.605944,3412985.68895932,129676949.391911,304673200.497923,17291292.9638754,258910296.919255,296207086.652837
