tarih,g3_011,g3_012,g3_021,g3_023,g3_031,g3_032,g3_041,g3_043,g3_044,g3_045,g3_051,g3_052,g3_053,g3_054,g3_055,g3_056,g3_061,g3_062,g3_063,g3_064,g3_071,g3_072,g3_073,g3_074,g3_081,g3_083,g3_092,g3_093,g3_094,g3_095,g3_096,g3_097,g3_098,g3_101,g3_102,g3_104,g3_105,g3_111,g3_112,g3_121,g3_122,g3_131,g3_132,g3_133,g3_139
2007-07-01,2.91940215,3.87447756,2.44904117,3.85718874,16.08867044,16.41350296,3.74311769,3.83366318,3.9710655,4.86723788,4.55662719,5.44864023,4.0552885,6.89992362,6.82956962,5.71060556,8.08161647,7.10684307,3.68531484,5.16441413,4.85716242,4.40451888,3.83570203,2.32662278,44.15614104,15.39073459,8.34843284,,5.43620908,4.6691352,3.36240823,4.31823115,7.76545327,4.20649723,4.25711117,4.20457026,5.25484709,2.36391617,6.27844344,3.35202082,47.98188662,5.27690998,2.44687897,3.11129086,2.8509763
2007-08-01,2.97001953,3.91386385,2.45016795,3.85707342,14.92749494,15.28572746,3.79579422,3.85485284,3.97383664,4.89021861,4.53865789,5.44018439,4.06471855,6.93533879,6.85163973,5.7097094,8.08341963,7.11983552,3.68788819,5.18410657,4.85696656,4.38203911,3.8496936,2.34625907,43.65447111,14.97403625,8.35389289,,5.48218694,4.66980094,3.3594774,4.37192839,7.81566396,4.23645879,4.29110209,4.21165276,5.26086209,2.38008239,6.33569271,3.39926938,48.45321497,5.29255394,2.47395837,3.13093714,2.85424863
2007-09-01,3.04012997,3.96066632,2.45738405,3.85724661,14.93050378,16.27863808,3.85851506,3.87816166,4.00455484,4.92200505,4.32121594,5.48775444,4.0885919,6.96311564,6.8770004,5.69868942,8.08156651,7.12932548,3.69180678,5.19442668,4.89566692,4.39300065,3.88098512,2.35878286,42.47411683,14.97734385,8.38851312,,5.4864325,4.67328915,3.37291688,4.36902877,7.53955026,4.33876475,4.31731873,4.46777451,5.28066372,2.40186864,6.49267506,3.3474525,48.45062899,5.31574983,2.5214746,3.26160598,2.85762603
2007-10-01,3.15001097,3.97360763,2.45875949,3.85710583,16.16102552,17.60374518,3.91625174,3.89224395,4.01335217,4.93685566,4.31636144,5.50554939,4.11163075,6.98559531,6.88856122,5.71857269,8.08493757,7.13735948,3.69236793,5.19973969,4.79461647,4.3880792,3.91963226,2.36581942,41.11133626,15.08960113,8.418666,,5.4833053,4.70014784,3.39409236,4.36419675,7.7912883,4.24564674,4.32219618,4.47587772,5.29252516,2.44279418,6.49731813,3.5111495,49.30511716,5.35619694,2.53959286,3.30959589,2.86446701
2007-11-01,3.16736177,3.99591779,2.5149177,4.11872576,16.89256811,18.24662572,3.95589405,3.90737435,4.5765469,5.10706813,4.35296559,5.53658781,4.12874814,7.01925334,6.93910061,5.71280191,7.92075545,7.14265553,3.69341609,5.20131914,4.75649132,4.68452978,3.90999067,2.3761242,40.58383612,15.09983364,8.45283146,,5.56094496,4.69917736,3.42174222,4.37869177,7.57816381,4.23047419,4.32299033,4.47595536,5.28556987,2.48182954,6.52588962,3.48097482,49.30277811,5.40010444,2.64921082,3.32207671,2.87118309
2007-12-01,3.17831614,4.01998731,2.51772751,4.11866612,16.63557974,18.15821027,3.98601302,3.91835107,4.58425006,5.18403151,4.36151025,5.54881523,4.12970453,7.04205239,6.93126065,5.73098699,7.74149672,7.15412299,3.70175784,5.20818645,4.6820468,4.69003192,3.95490843,2.4157141,40.0254238,15.3428091,8.47541614,,5.44767093,4.68547962,3.44110813,4.39458043,7.64834541,4.22298351,4.32284392,4.47580377,5.28353759,2.49766681,6.52169217,3.44546878,49.30415728,5.41195343,2.60653839,3.32105451,2.8712634
2008-01-01,3.24241992,3.97597913,2.51333779,4.11868095,14.96830937,16.1955429,4.02899709,3.9212941,4.71164566,5.57351489,4.4733212,5.48068463,4.11832585,7.06904037,6.94054838,5.73595,7.74044827,7.17257906,3.71450844,5.22401099,4.74495444,4.72586533,4.04228883,2.43036236,39.54632158,15.51726401,8.46880244,,5.3071857,4.69326978,3.45440845,4.36803034,7.21038125,4.2231704,4.32326562,4.47578386,5.28571776,2.51437187,6.77791776,3.53061022,49.3047292,5.44176791,2.7203393,3.32338791,2.97295093
2008-02-01,3.41498029,4.00870426,2.52116242,4.11875397,13.89287144,15.19748376,4.06900429,3.94197499,4.72130058,5.5783909,4.4920244,5.46584667,4.17167351,7.115788,6.94978232,5.82515873,7.73876539,7.18174156,3.72141362,5.22879316,4.76282955,4.76371671,4.05852526,2.43609495,39.28563452,15.56646934,8.48435024,,5.14639754,4.69963099,3.47138898,4.40777638,7.53326172,4.21451593,4.3232065,4.47573161,5.28634142,2.53959506,6.77563572,3.50947552,49.30515331,5.48064418,2.83190532,3.34204467,2.97290571
2008-03-01,3.44954892,4.06947722,2.60678211,4.11869134,14.0468442,15.78562413,4.09734395,3.96269735,4.745357,5.58426782,4.50690014,5.47246006,4.20366718,7.14172813,6.96870848,6.00786262,7.74232566,7.188381,3.72919328,5.23121216,4.73069776,4.89320843,4.11841024,2.46118315,40.2273071,15.60055576,8.55151993,,5.48510747,4.69358373,3.47992913,4.34537763,7.759272,4.20789521,4.32324176,4.47576811,5.32461001,2.5714871,6.82927248,3.48672031,49.30561532,5.51265161,2.96221801,3.3576854,3.03835051
2008-04-01,3.48445533,4.11010603,2.61835748,4.11858964,15.66331398,17.71478695,4.12900476,3.99845646,4.78134605,5.6192718,4.52253852,5.4739108,4.18381528,7.19223921,7.05616761,6.11613714,7.74570816,7.19096725,3.73658932,5.23328041,4.80778795,5.06744665,4.18941883,2.49630993,40.16809443,15.6147618,8.63757189,,5.38391139,4.72095512,3.49382764,4.3271794,7.96155078,4.21026101,4.32882144,4.47572678,5.3347641,2.61948744,6.87112532,3.48011354,49.30764995,5.55907771,2.99834672,3.37177337,3.04025521
