tarih,faiz,pi12,egilim3,bek12,bek24,bek_faiz12,ex_post,ex_ante,egilime_gore,ileri_ex_ante
2018-09-01,24.01,24.518924477408333,47.25509161181867,14.46,11.42,19.45,-0.4087125547736825,8.343526122662936,-15.785594479201714,7.206964638305524
2018-10-01,24.0,25.24032458712209,53.128196606347664,17.03,12.7,21.09,-0.9903556152629389,5.955737844996989,-19.022098641459618,7.4445430346051555
2018-11-01,24.0,21.618795745954777,31.012692754575788,17.38,12.97,20.7,1.9579245456592398,5.639802351337542,-5.352681947933524,6.842524564043573
2018-12-01,24.06,20.30176224970528,-0.22405466769593874,16.46,12.43,20.05,3.1240088923168763,6.525845783960138,24.3385864065911,6.777550475851624
2019-01-01,24.0,20.353741482771113,-5.424526201121072,15.91,12.0,19.43,3.0296179182355054,6.9795531015443,31.112216539030292,6.633928571428549
2019-02-01,24.0,19.67163909126528,2.7025170609493054,15.47,12.1,18.84,3.616864397949615,7.387200138564132,20.737060345280135,6.0124888492417705
2019-03-01,25.5,19.71291005994027,8.857467450909295,15.24,11.8,18.35,4.83414022527906,8.903158625477236,15.288370140152185,5.858676207513414
2019-04-01,24.0,19.50230469209131,13.992365329756806,15.38,12.06,19.33,3.7636891769555536,7.470965505286875,8.779214854690597,6.487595930751389
2019-05-01,24.13,18.71160361179558,15.945703241765585,15.48,12.34,19.83,4.564335939663811,7.490474541046077,7.058732259503264,6.667260103257955
2019-06-01,23.86,15.720120848609387,12.153964209720748,14.88,11.46,18.94,7.034108754552371,7.81685236768801,10.437469484707385,6.710927687062629
2019-07-01,19.66,16.646726646724908,12.25250175654946,13.9,11.0,16.66,2.583247245678022,5.05706760316067,6.598960493117345,5.099099099099091
2019-08-01,19.61,15.008431661154686,11.597162990963628,12.77,10.27,14.7,4.001070419256525,6.065442936951326,7.180144005708455,4.017411807381888
2019-09-01,16.31,9.262102076491718,16.28609583105096,12.21,10.17,13.69,6.450450604157543,3.6538632920416925,0.020556343196664884,3.195062176636121
2019-10-01,13.84,8.552844691232675,14.899181704935849,11.18,9.76,13.17,4.870581995161993,2.3925166396834063,-0.9218357252150366,3.106778425655987
2019-11-01,13.71,10.561848850021537,12.844401760347646,10.46,9.16,11.22,2.8474118176595953,2.9422415353974163,0.7670723812162716,1.887138145840983
2019-12-01,11.43,11.836092200504943,11.067063933295152,10.07,8.94,10.6,-0.3631137251978389,1.2355773598619058,0.32677200049406885,1.5237745548008164
2020-01-01,10.97,12.1536413245267,8.043132928365093,9.54,8.51,9.89,-1.0553748505603422,1.305459192988856,2.708980193656063,1.2717721868952259
2020-02-01,10.54,12.367384775600975,9.236464148140966,9.61,8.52,9.63,-1.6262590601804017,0.8484627315025861,1.1933156771636533,1.0228529303354383
2020-03-01,9.27,11.859189212541231,7.727061248998202,9.51,8.51,9.14,-2.3146861967876187,-0.21915806775636426,1.4322666311628707,0.5805916505391195
2020-04-01,8.35,10.936699005574834,8.317636946158347,9.7,8.62,8.66,-2.331689178388885,-1.230628988149507,0.02987791716480004,0.03682563063891475
2020-05-01,7.9,11.390017421197719,11.098952654793726,9.2,8.3,7.86,-3.1331509788718015,-1.1904761904761973,-2.8793724678336963,-0.406278855032316
2020-06-01,7.62,12.622392056216402,15.520975606281272,9.03,8.38,7.59,-4.441738418874475,-1.2932220489773494,-6.839429432460287,-0.7289167743126046
2020-07-01,7.76,11.764144631798423,15.758462051011236,9.33,8.38,7.9,-3.582673714356155,-1.436019390835086,-6.909613266532999,-0.44288614135450377
2020-08-01,10.15,11.770409618898881,13.734405591787757,9.7,8.58,9.1,-1.449766198785496,0.4102096627164986,-3.1515578537006705,0.4789095597715898
2020-09-01,11.12,11.748314011325856,12.174615573743752,10.15,8.86,9.38,-0.5622581574359797,0.880617339990919,-0.9401552823245063,0.47767775124012424
2020-10-01,13.4,11.88962095023638,15.72391454253308,10.53,9.05,11.07,1.3498830695255926,2.596580113996194,-2.0081541068842412,1.8523613021549812
2020-11-01,14.99,14.026300790890222,23.23667886043015,10.77,9.2,12.29,0.8451551987791683,3.8096957660016306,-6.6917405894797,2.8296703296703196
2020-12-01,17.03,14.599319013699175,25.56109708312626,10.84,9.24,13.18,2.1210256807985717,5.584626488632272,-6.7943792156246685,3.606737458806286
2021-01-01,17.0,14.973681190313549,20.74483633401407,10.53,9.14,13.28,1.7624197022380494,5.85361440332941,-3.101446362190441,3.793293018141841
2021-02-01,17.0,15.610910236962528,14.493889126546922,10.36,9.03,13.47,1.2015213444737327,6.016672707502724,2.188859940536325,4.0722736861414255
2021-03-01,19.0,16.19024370949589,11.711086771693724,10.47,9.18,13.5,2.418237711532112,7.7215533629039435,6.5247894716151,3.956768638944852
2021-04-01,19.0,17.140153588092865,15.031329821676852,11.26,9.55,14.07,1.5877104092308247,6.9566780514110915,3.4500776305685044,4.125969876768609
2021-05-01,19.0,16.59285314175072,14.447803438065776,11.81,9.99,14.13,2.064574966119692,6.430551828995612,3.9775307390653936,3.763978543503943
2021-06-01,19.0,17.525330559410346,21.394054793196847,12.12,10.16,14.22,1.2547673200069775,6.136282554405992,-1.972135124142027,3.6855482933914274
2021-07-01,19.0,18.951681750492753,24.723632671430874,12.62,10.43,14.68,0.04062006421110542,5.665068371514836,-4.5890522500327435,3.848591868151763
2021-08-01,19.0,19.25266074508134,25.62787749252804,12.48,10.52,14.89,-0.21187011132728362,5.796586059743958,-5.275801537697911,3.954035468693462
2021-09-01,18.0,19.582573722674645,19.437004740244102,12.94,10.71,14.73,-1.3234150038824333,4.480255002656275,-1.2031486752111298,3.63110830096649
2021-10-01,16.0,19.89002425891282,19.15765161509666,13.91,11.27,14.34,-3.2446604986182903,1.8347818453164688,-2.6499780520150895,2.7590545519906584
2021-11-01,15.0,21.312527554775574,32.26944488206242,15.61,11.76,13.8,-5.203524880746812,-0.5276360176455275,-13.056261706897365,1.8253400143164011
2021-12-01,14.0,36.08090167750451,114.48954602733323,21.39,14.41,14.41,-16.226304650621437,-6.087816129829459,-46.850556536926725,0.0
2022-01-01,14.0,48.69082410620542,186.676105889334,25.37,15.54,16.33,-23.33084392714563,-9.06915530031107,-60.23386753969386,0.6837458888696579
2022-02-01,14.0,54.43856667956864,198.53661075869672,24.83,15.42,15.19,-26.18424111865214,-8.675799086757973,-61.81372873823348,-0.19927222318488758
2022-03-01,14.0,61.14453802711355,116.47264430587927,26.43,17.03,14.78,-29.256057080371644,-9.831527327374822,-47.33745671858832,-1.9225839528326238
2022-04-01,14.0,69.97107003092505,94.20269415581603,28.41,17.68,14.0,-32.929762706525004,-11.221867455805612,-41.29844568040154,-3.127124405166548
2022-05-01,14.0,73.49595006178772,81.8494591456703,33.28,19.54,14.0,-34.292414342005806,-14.465786314525797,-37.31078413124097,-4.634431989292276
2022-06-01,14.05,78.61839702491453,83.69305405839422,37.91,22.04,14.0,-36.1487943573406,-17.301138423609597,-37.9127313307423,-6.588003933136665
2022-07-01,14.0,79.60205249174939,57.052598390030255,40.23,24.27,15.0,-36.52633785728202,-18.704984668045345,-27.412853293335402,-7.459563852900941
2022-08-01,13.0,80.20759409811238,47.2642603590955,41.99,24.35,16.5,-37.29454046288517,-20.416930769772524,-23.267193462652823,-6.312826698833939
2022-09-01,12.04,83.45249358214318,31.972897141303804,36.74,20.63,15.42,-38.92696806008108,-18.063478133684352,-15.10378083157603,-4.318991958882535
2022-10-01,10.5,85.51478639256433,35.28621473965661,37.34,21.17,15.53,-40.436014751852156,-19.542740643658075,-18.321315876384702,-4.654617479574153
2022-11-01,9.27,84.38925996499486,45.36087446622554,37.47,20.76,15.88,-40.73949859078332,-20.513566596348298,-24.828465430435497,-4.041073203047363
2022-12-01,9.04,64.26959753021009,40.53231672895268,34.92,20.56,14.86,-33.62131420578483,-19.181737325822702,-22.409305889187394,-4.727936297279356
2023-01-01,9.0,57.68248106647735,50.26437398876804,30.44,17.18,13.65,-30.873741164659442,-16.43667586629868,-27.46118251013541,-3.012459464072359
2023-02-01,8.76,55.179828233363246,48.641392179149115,30.75,18.11,13.94,-29.91357108834789,-16.818355640535387,-26.830609962992224,-3.5306070612141305
2023-03-01,8.56,50.50851070940598,50.25339556803266,31.63,17.91,12.83,-27.871188487405874,-17.52639975689434,-27.748721025844947,-4.3083707912814795
2023-04-01,8.7,43.684169801707974,32.350345121932314,31.02,17.54,13.75,-24.34796390582765,-17.035567088994053,-17.869500151392593,-3.2244342351539945
2023-05-01,9.09,39.585300959801614,18.759397778942045,29.84,17.74,11.11,-21.84707182641229,-15.981207640172524,-8.142006409413261,-5.631051469339221
2023-06-01,12.84,38.21351875871413,31.02601843058339,30.65,18.12,19.3,-18.358203297761243,-13.63184079601989,-13.879700114842608,0.9989840839824016
2023-07-01,17.5,47.831733307401095,77.67463943150719,33.21,19.04,21.48,-20.51774177897876,-11.793408903235491,-33.86788324098682,2.0497311827957
2023-08-01,23.5,58.94353368806395,149.3282174392271,42.01,22.54,23.25,-22.299449915102542,-13.034293359622563,-50.46689810386076,0.579402644034599
2023-09-01,31.0,61.52986461383583,144.50626220723248,44.94,23.87,32.44,-18.900445862950832,-9.617772871533049,-46.4226401330489,6.918543634455476
2023-10-01,33.0,61.35701105169655,91.61976156616238,45.28,25.82,37.0,-17.57408052297855,-8.452643171806173,-30.591709898314523,8.885709744078852
2023-11-01,41.09,61.98016605561012,57.33646262605399,43.94,25.09,37.01,-12.896743202768556,-1.9799916631929926,-10.325936121156742,9.529139019905642
2023-12-01,42.5,64.77291859068686,55.204269709275856,41.23,24.82,36.65,-13.517341794506354,0.8992423706011499,-8.18551560023002,9.47764781285052
2024-01-01,44.0,64.8569149400415,64.43086794302089,39.09,23.69,36.54,-12.651525686761268,3.530088431950529,-12.425202274125724,10.388875414342301
2024-02-01,45.0,67.06919193088945,66.84878576176891,37.78,23.05,36.62,-13.20961194330711,5.2402380606764165,-13.094962400844313,11.02803738317759
2024-03-01,51.22,68.49537313071615,61.653966366297986,36.7,22.67,36.96,-10.252728493211604,10.621799561082668,-6.454506870963661,11.64913996902257
2024-04-01,52.24,69.8024675940787,47.15070825902035,35.17,22.05,38.18,-10.342881256627356,12.628541836206253,3.458557421294417,13.215895124948783
2024-05-01,50.0,75.44594801149734,44.05565575149413,33.21,21.33,37.11,-14.5035826132786,12.6041588469334,4.1264219842643834,13.00585180911562
2024-06-01,51.37,71.59715592997165,41.40413426273626,31.79,20.33,35.9,-11.787582271017527,14.856969421048639,7.04778950716296,12.93941660433806
2024-07-01,50.0,61.78100337370927,47.85543457177881,30.02,19.32,34.57,-7.2820684308005585,15.366866635902166,1.4504474823210378,12.780757626550443
2024-08-01,52.79,51.97452780301026,41.41626146987225,28.71,19.3,33.3,0.5365847874498897,18.708725040789353,8.042737385297682,11.735121542330251
2024-09-01,50.0,49.384993852763245,39.48035142046891,27.49,18.38,31.66,0.41169205244464546,17.656286767589613,7.542029018710461,11.218111167426926
2024-10-01,50.0,48.584708788127706,36.09865695140937,27.44,18.08,31.64,0.9525147125942768,17.702448210922796,10.214166223222731,11.483739837398366
2024-11-01,50.0,47.09272073194559,38.60235486825503,27.2,18.33,30.84,1.9764943184051198,17.9245283018868,8.223269469395888,10.572128792360358
2024-12-01,48.13,44.378771424028464,38.21827000417637,27.07,18.47,30.88,2.5981856882231646,16.573542142126406,7.171070796591605,10.47522579556006
2025-01-01,45.0,42.11802299020802,38.16763320961887,25.38,17.72,29.14,2.0278758099460337,15.648428776519374,4.944983591066876,9.700985389058769
2025-02-01,45.0,39.05095761148188,32.080289941285,25.26,17.26,28.92,4.2783181724934005,15.759220820692965,9.781709340930679,9.943714821763594
2025-03-01,46.0,38.10382944582984,33.05210488251582,24.55,17.06,27.6,5.717560900269869,17.221999197109582,9.731447036420127,9.003929608747674
2025-04-01,48.78,37.85866364644805,28.658755676863933,25.56,17.69,29.37,7.9221255049742645,18.493150684931514,15.639234358578813,9.924377602175216
2025-05-01,48.98,35.405044152595934,29.18826476331391,25.06,17.77,30.08,10.025443241320954,19.12681912681913,15.32007204597614,10.452577056975464
2025-06-01,46.0,35.04865712412333,29.728492025833898,24.56,17.35,29.31,8.10918309673474,17.212588310854194,12.542740395784314,10.19173412867489
2025-07-01,43.0,33.522409247916144,31.457984032255794,23.39,17.08,28.25,7.098127427049672,15.892697949590717,8.780003780456692,9.540485138366916
2025-08-01,43.0,32.95018219755157,32.48080647419948,22.84,16.92,27.78,7.559085392989773,16.411592315206768,7.94016416849721,9.288402326377021
