tarih,tufe,cekirdek_b,cekirdek_c,hizmet,temel_mal,kira,enerji,gida,islenmemis_gida,islenmis_gida,alkol_tutun_altin,yonetilen_haric,yi_ufe
2012-05-01,6.441961895338287,6.69539983715042,7.1047582053089195,5.7685438572110845,8.86224289777551,5.204639632928807,8.336181265373508,4.728238400573131,4.195099472652167,5.247944,5.934734571082061,6.208963275371674,204.89184079999995
2012-06-01,6.445062137335776,6.737461418523295,7.1438513936232555,5.8021276227853456,8.90585684175095,5.23111127052363,8.246161566370358,4.672916004982202,4.005111417228725,5.273635,5.977968772952559,6.194221849036851,201.83124044999997
2012-07-01,6.467633276403108,6.764909885834379,7.172648302592526,5.831969539723938,8.937329699510999,5.2529771900195605,8.200718458324674,4.727744271087616,4.092107579109918,5.300883,5.931604737506017,6.227303424661797,201.1973297000001
2012-08-01,6.531669838651539,6.795583812264452,7.20526365054358,5.856846041462582,8.984272919593721,5.2801894782122565,8.389555966602744,4.8033523849097435,4.220202365183852,5.326055,5.96181485759641,6.300157564203227,201.71238218999997
2012-09-01,6.5929673915258755,6.821872142005645,7.2258971855324985,5.890595100913398,8.976215602579662,5.2969396899198635,8.554913280400973,4.908378225155284,4.400040377017167,5.374841,6.069339175935242,6.367679487196158,203.79240184000005
2012-10-01,6.626731192907135,6.8390720749055545,7.235125767691691,5.9333200703563325,8.931446933815936,5.325437282728169,8.90825998085449,4.8919759112957415,4.311992707346866,5.442312,6.148654765143105,6.388127871654083,204.14897663999997
2012-11-01,6.655291388646084,6.886191963766177,7.279729822108766,5.975879188717042,8.985326513391275,5.354848722587709,8.91513340252762,4.888592870840318,4.251030033858872,5.501998,6.182649434972576,6.4112490702668445,207.53643721999998
2012-12-01,6.711469758033316,6.940522116066578,7.332264157366075,6.01239658670099,9.057019037238149,5.380462171726691,8.874240849158504,4.948264890098446,4.304740361867849,5.554677,6.218435879722463,6.466194071613435,207.28881582999998
2013-01-01,6.769710152195126,6.969506848825869,7.364931995865843,6.0444785504512915,9.092598804272424,5.404647816595783,8.826611254529737,5.00890791555228,4.417281060897103,5.586856,6.565220328029835,6.500160743876301,206.91243132
2013-02-01,6.80680764306397,6.999657575848327,7.400938466959859,6.075880317811472,9.141473860693353,5.42985331139804,8.947401789173286,5.007527712413238,4.409447155174458,5.606059,6.625288215759018,6.525397680924286,206.64500021999996
2013-03-01,6.8463513554979745,7.030157293335559,7.430048916092696,6.114139568344098,9.165774608940941,5.462622853935713,8.91323438671977,5.096049968375208,4.532080436096926,5.645244000000001,6.62461362288661,6.565348700574198,208.32882565999992
2013-04-01,6.847196055906865,7.063212944802288,7.465786076799302,6.151346447060034,9.182538953020057,5.493239658596664,8.880213217302098,5.045669518492089,4.429202900048996,5.646801000000001,6.646489891399647,6.5616352382779,207.26900611999994
2013-05-01,6.864131989978421,7.101899843550785,7.500091730345909,6.1966992100095215,9.190391018925034,5.520448580707705,8.850284374796132,5.063869790259978,4.426749719792935,5.677942,6.673890254091512,6.576475789569627,209.33912092000003
2013-06-01,6.978330927768144,7.1501673566609165,7.547953519170454,6.259578688936699,9.21233283064257,5.55261184152445,8.972194610917347,5.271298016578994,4.772453716312676,5.701296999999999,6.704392522086223,6.702166504258206,212.38981641000004
2013-07-01,7.036802228950823,7.203255633486157,7.611109036108435,6.294935625040415,9.321536234296948,5.576924955538431,9.11295085363725,5.318951392350377,4.859816643180705,5.719462000000001,6.643308541893729,6.773399999612125,214.49955063000007
2013-08-01,7.058731199354511,7.252697094233996,7.661984201598618,6.331925964878829,9.399011377677088,5.603810935638823,9.154377002857085,5.290500611588857,4.750746137372212,5.768767999999999,6.702881378775163,6.793015537787445,214.58869433000007
2013-09-01,7.11064826955487,7.3172227421818565,7.728520344111892,6.372377801968501,9.498731398006786,5.629956980045959,9.236340574102785,5.332038854994579,4.782179650457942,5.830789000000001,6.768385228267012,6.8407735093192725,216.4805217299999
2013-10-01,7.143451960770385,7.3623885217066185,7.778872830549901,6.401493869727636,9.570771551045661,5.65647097695475,9.094620095348432,5.444860049952196,4.969453608410373,5.8775,6.753533564801198,6.894982465286471,217.96625006000005
2013-11-01,7.150290727301,7.393340097574832,7.811583039662722,6.45295523904978,9.576904946149716,5.693743547261356,9.148447427335453,5.38056994263798,4.830430779325134,5.906564,6.764576934041673,6.8951148903143356,219.31331040000006
2013-12-01,7.212241407121545,7.440076544608318,7.857117916900779,6.497603779877963,9.62317800860365,5.730585901258829,9.33534472039336,5.442102454331724,4.887317354523646,5.949642,6.633773248811835,6.96873501980069,221.74
2014-01-01,7.292487967375824,7.5083416415381885,7.9243844826192165,6.529419121752215,9.736396124736071,5.759192806082935,9.309069991521945,5.541601734757441,5.013455956903068,6.0345,6.724726769455511,7.0644615882433675,229.10000000000008
2014-02-01,7.34314744040841,7.60223639714042,8.021369866762093,6.584703089867164,9.8957521783071,5.790961715654955,9.386150349034153,5.5199003041526185,4.896838778032184,6.134149000000001,6.776747806207941,7.112560322645051,232.27
2014-03-01,7.4234800180364235,7.696480771158127,8.116267086071488,6.640033507072,10.068171782575591,5.822055650668411,9.324558017154938,5.616737798989056,4.988019282974117,6.221602,6.825677662991214,7.200343974075967,233.98
2014-04-01,7.490819505266233,7.769681021084926,8.186339559654165,6.680953767876601,10.185085695405302,5.851780147319159,9.277145389417079,5.698545621288005,5.077516779285831,6.285698999999999,6.852439395412872,7.272944319310261,234.17999999999998
2014-05-01,7.53121775424867,7.82440379957276,8.235238884636091,6.722601444582299,10.243947831744821,5.8882538987415325,9.256157458846321,5.769580235657452,5.168449902440768,6.334746,6.882848989564516,7.3110315030243145,232.96
2014-06-01,7.612729102861176,7.879741270875664,8.282249512374909,6.77070811860021,10.277087838049447,5.930615608875839,9.352817886425033,5.917054478493018,5.360119549705467,6.397285999999999,6.92525894763545,7.39309950616421,233.09000000000003
2014-07-01,7.683639540780794,7.951717471792191,8.353658156098296,6.8348388822873245,10.353472679214532,5.965334022381228,9.445116781969444,5.972182631753209,5.419121478256642,6.460345,7.037529033614019,7.4557437424581385,234.79000000000005
2014-08-01,7.7205859998024176,7.997724428272478,8.399691261191482,6.89395269210464,10.380406466157133,6.001522097530157,9.42533863619327,6.053142820649487,5.512185106075478,6.527296999999999,7.001940765839999,7.495722653073917,235.78000000000003
2014-09-01,7.73835992825563,8.043268791449908,8.442289915053932,6.939068610374401,10.401039493278619,6.044048022131239,9.355560473040322,6.074684672267688,5.512654519664869,6.577641,6.9543764638053736,7.50951528556955,237.79000000000002
2014-10-01,7.791136529960292,8.085338618473026,8.480920066230091,6.989375077000503,10.427355435825552,6.083875670793441,9.49605555559379,6.144997107829033,5.582710956543536,6.646928999999999,7.025949180407125,7.541795579503815,239.97000000000006
2014-11-01,7.811929165423893,8.128377758483929,8.520821210660776,7.024277285610695,10.478911278511417,6.112861736353199,9.383000448709423,6.173486466504495,5.613686147636604,6.710247,7.06645932192822,7.556070873661068,237.65
2014-12-01,7.80279681623799,8.155464040884086,8.547188473714616,7.061302444016689,10.479651732706401,6.151673302673801,9.185968978023727,6.156835118789804,5.528776515959673,6.732565000000001,7.132496916103431,7.53167852003242,235.83999999999995
2015-01-01,7.8186395426466815,8.212654270537154,8.608608790487423,7.102254529032193,10.565873028288813,6.1844808020750115,9.0261740458198,6.141090913641119,5.472548178488036,6.792510000000001,7.042672237850344,7.552193200419168,236.60999999999996
2015-02-01,7.900297767579523,8.240987585092165,8.636905545801003,7.153507792504869,10.55180386481671,6.22288419749238,9.21535237280203,6.286126701778674,5.706308960698007,6.842075,7.07490680479549,7.637542429441496,239.46000000000004
2015-03-01,7.994099954487947,8.291459078549531,8.688406797048561,7.207373334032124,10.615069859889173,6.260336678142665,9.35798820855959,6.409365207711527,5.8782074038890455,6.887488,7.12527487197291,7.737395244284082,241.97000000000003
2015-04-01,8.089318185634173,8.361210021911136,8.757870429442782,7.266291461771937,10.694687473692916,6.29958501249241,9.431796432874329,6.500314839773666,6.002348537498343,6.931604000000001,7.22032213246724,7.840097046342344,245.41999999999993
2015-05-01,8.148341375625389,8.44918152609794,8.859027591572541,7.317781507942005,10.859032474122662,6.3398850584501325,9.572263628103675,6.485382362587585,5.956872528016438,6.959370999999999,7.254577775332853,7.9000224847636265,248.14999999999995
2015-06-01,8.15588278488951,8.500691929287287,8.913124671199625,7.368413049934029,10.906934687361407,6.374850044150568,9.620825109148537,6.444847627053564,5.827421216619756,6.9873970000000005,7.315883444274766,7.89780339819201,248.7800000000001
2015-07-01,8.195824523821948,8.556709314356091,8.964344023106941,7.407574131400065,10.981730238791947,6.417399663362953,9.587386450856872,6.5064469851504,5.9044927003134395,7.039298,7.323498018962294,7.939902184692114,247.99000000000004
2015-08-01,8.257963773706383,8.615001368851631,9.037791074375178,7.484816376054862,11.070103777782393,6.458501347347338,9.547190391484552,6.64364923594583,6.116355344774008,7.097946000000001,7.339736024835594,8.01018759490842,250.43000000000004
2015-09-01,8.349416652827276,8.702277497976887,9.13299800331045,7.526756121669678,11.225516689499312,6.501919406650108,9.531698214897363,6.736575248072298,6.253108060594482,7.142320999999999,7.451253055730559,8.102213102527275,254.24999999999994
2015-10-01,8.386684885941486,8.787990388666111,9.232402361095922,7.593552579178839,11.376672324578319,6.542530184105638,9.504306959508153,6.706439569750799,6.145207578873473,7.18462,7.527398450542178,8.146589532535879,253.73999999999992
