kod,ad,kuyruk,hane,seviye,ust,bas,son
TP.TUKFIY2025.105,105. Seviyeye Göre Tanımlanamayan Eğitim,105,3,2,TP.TUKFIY2025.10,01-01-2005,01-12-2025
TP.TUKFIY2025.1050,1050. Seviyeye Göre Tanımlanamayan Eğitim,1050,4,3,TP.TUKFIY2025.105,01-01-2005,01-12-2025
TP.TUKFIY2025.10501,10501. Özel Ders,10501,5,4,TP.TUKFIY2025.1050,01-01-2005,01-12-2025
TP.TUKFIY2025.10509,10509. Seviyeye Göre Tanımlanamayan Diğer Eğitim,10509,5,4,TP.TUKFIY2025.1050,01-01-2005,01-12-2025
TP.TUKFIY2025.11,11. Lokantalar Ve Konaklama Hizmetleri,11,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.111,111. Yiyecek Ve İçecek Sunum Hizmetleri,111,3,2,TP.TUKFIY2025.11,01-01-2005,01-07-2026
TP.TUKFIY2025.1111,"1111. Lokantalar, Kafeler Ve Benzerleri",1111,4,3,TP.TUKFIY2025.111,01-01-2005,01-07-2026
TP.TUKFIY2025.11111,"11111. Lokantalar, Kafeler Ve Benzerleri, Tam Sunum Hizmeti Verenler",11111,5,4,TP.TUKFIY2025.1111,01-01-2005,01-07-2026
TP.TUKFIY2025.11112,"11112. Lokantalar, Kafeler Ve Benzerleri, Sınırlı Sunum Hizmeti Verenler",11112,5,4,TP.TUKFIY2025.1111,01-01-2005,01-07-2026
TP.TUKFIY2025.1112,"1112. Kantinler, Kafeteryalar Ve Yemekhaneler",1112,4,3,TP.TUKFIY2025.111,01-12-2025,01-07-2026
TP.TUKFIY2025.11121,"11121. Üniversitelerin, Okulların Ve Kreşlerin Kafeteryaları Ve Kantinleri",11121,5,4,TP.TUKFIY2025.1112,01-12-2025,01-07-2026
TP.TUKFIY2025.112,112. Konaklama Hizmetleri,112,3,2,TP.TUKFIY2025.11,01-01-2005,01-07-2026
TP.TUKFIY2025.1120,1120. Konaklama Hizmetleri,1120,4,3,TP.TUKFIY2025.112,01-01-2005,01-07-2026
TP.TUKFIY2025.11201,"11201. Otel, Motel, Pansiyon Ve Benzeri Yerlerdeki Konaklama Hizmetleri",11201,5,4,TP.TUKFIY2025.1120,01-01-2005,01-07-2026
