tarih,seri,aylik_ham,aylik_sa,saar3_ham,saar3_sa,saar6_ham,saar6_sa,yillik,ecb3,saar3_aritmetik,saar3_basit,saar6_aritmetik,saar6_basit
2026-07-01,tufe,1.7847526732825525,2.1282948501950782,19.487391368103047,30.415348665409493,30.70537054021454,32.12155446649423,31.754096790624352,32.866253878308946,30.415843679598975,26.851812862199065,32.1313251332491,28.18859989727902
2026-08-01,tufe,1.8399999999999972,2.0806996591959726,20.077079352241277,29.183894560255872,27.867781743985496,31.14535863279857,31.501979078010134,31.513576274905873,29.18432959812638,25.882181077006994,31.155506299857972,27.430159025170873
2005-01-01,cekirdek_b,,,,,,,,,,,,
2005-02-01,cekirdek_b,-0.3820648831433626,0.6642085150530219,,,,,,,,,,
2005-03-01,cekirdek_b,0.0348598849457149,0.35084559430902384,,,,,,,,,,
2005-04-01,cekirdek_b,1.1938029623672852,0.3814646600933447,3.4120825276578337,5.73008731730924,,,,,5.73133711941094,5.586075077821562,,
2005-05-01,cekirdek_b,1.6791329783590658,0.5937651719862158,12.240212351710845,5.4344443440040635,,,,,5.435175689982064,5.304301705554337,,
2005-06-01,cekirdek_b,0.7706751295628367,0.4472538873914633,15.579198847601972,5.840197269858871,,,,5.668203707126218,5.840692464833674,5.689934877884095,,
2005-07-01,cekirdek_b,-0.6135065161807507,0.22520716501961413,7.540854530000929,5.182715414260208,5.456264506909636,5.456046223160782,,5.485199094983795,5.184152381239815,5.064904897589173,5.4574194296451495,5.325489987705367
2005-08-01,cekirdek_b,-0.08455254184636107,0.5087490989437615,0.2713117501042417,4.82758836999424,6.087102531911426,5.130578480822234,,5.281268067660916,4.828514345030466,4.724840605419356,5.131443891575294,5.014571155486847
2005-09-01,cekirdek_b,0.49932379380592806,0.22470358076296382,-0.8043603736673122,3.901649919959427,7.074518710975153,4.866444224033439,,4.634099072946962,3.902757885878816,3.834639378905358,4.867621710224435,4.762287128394727
2005-10-01,cekirdek_b,1.4736788798014988,0.14316694724310075,7.794532243701746,3.5618689923428315,7.667618675019572,4.369145795060025,,4.094520860542339,3.563384910432421,3.5064785077993044,4.3708847590475,4.285691702694239
2005-11-01,cekirdek_b,0.7635002552033088,0.4444597039163112,11.501102854410172,3.2971539432220975,5.737230173647911,4.059557626159527,,3.585942940307829,3.2981516040287984,3.249320927689503,4.060754169586023,3.9870807665544294
2005-12-01,cekirdek_b,0.30471146739452504,0.716400214782209,10.639941228984217,5.339199490776192,4.761632950374284,4.61795557331155,,4.064921980254188,5.3426344052528,5.216107463766484,4.620425489778035,4.525373421335921
2006-01-01,cekirdek_b,-0.024621575143379815,0.924712497526281,4.248674082341131,8.66628284405846,6.006778366914212,6.083379224934449,5.731163140233431,5.753469721891058,8.668769683932886,8.342289664899205,6.087928391256647,5.924384086349255
