dt,MK_F_BILESIK,UNIXTIME
1987-02-23,,"{""numberLong"":""541033200""}"
1987-02-24,,"{""numberLong"":""541119600""}"
1987-02-25,,"{""numberLong"":""541206000""}"
1987-02-26,,"{""numberLong"":""541292400""}"
1987-02-27,0.0261,"{""numberLong"":""541378800""}"
1987-03-02,,"{""numberLong"":""541638000""}"
1987-03-03,,"{""numberLong"":""541724400""}"
1987-03-04,,"{""numberLong"":""541810800""}"
1987-03-05,,"{""numberLong"":""541897200""}"
1987-03-06,,"{""numberLong"":""541983600""}"
1987-03-09,,"{""numberLong"":""542242800""}"
1987-03-10,,"{""numberLong"":""542329200""}"
1987-03-11,,"{""numberLong"":""542415600""}"
1987-03-12,,"{""numberLong"":""542502000""}"
1987-03-13,0.0241,"{""numberLong"":""542588400""}"
1987-03-16,,"{""numberLong"":""542847600""}"
1987-03-17,,"{""numberLong"":""542934000""}"
1987-03-18,,"{""numberLong"":""543020400""}"
1987-03-19,,"{""numberLong"":""543106800""}"
1987-03-20,0.0248,"{""numberLong"":""543193200""}"
1987-03-23,,"{""numberLong"":""543452400""}"
1987-03-24,,"{""numberLong"":""543538800""}"
1987-03-25,,"{""numberLong"":""543625200""}"
1987-03-26,,"{""numberLong"":""543711600""}"
1987-03-27,0.0246,"{""numberLong"":""543798000""}"
1987-03-30,,"{""numberLong"":""544053600""}"
1987-03-31,,"{""numberLong"":""544140000""}"
1987-04-01,,"{""numberLong"":""544226400""}"
1987-04-02,,"{""numberLong"":""544312800""}"
1987-04-03,0.0245,"{""numberLong"":""544399200""}"
1987-04-06,,"{""numberLong"":""544658400""}"
1987-04-07,,"{""numberLong"":""544744800""}"
1987-04-08,,"{""numberLong"":""544831200""}"
1987-04-09,,"{""numberLong"":""544917600""}"
1987-04-10,0.0248,"{""numberLong"":""545004000""}"
1987-04-13,,"{""numberLong"":""545263200""}"
1987-04-14,,"{""numberLong"":""545349600""}"
1987-04-15,,"{""numberLong"":""545436000""}"
1987-04-16,,"{""numberLong"":""545522400""}"
1987-04-17,0.0251,"{""numberLong"":""545608800""}"
1987-04-20,,"{""numberLong"":""545868000""}"
1987-04-21,,"{""numberLong"":""545954400""}"
