dt,BISTTLREF.ORAN
2021-10-22,16.3201
2021-10-25,16.4234
2021-10-26,16.3573
2021-10-27,16.3251
2021-10-28,16.5733
2021-10-29,
2021-11-01,16.1294
2021-11-02,16.2315
2021-11-03,16.1473
2021-11-04,16.2133
2021-11-05,16.0915
2021-11-08,15.9447
2021-11-09,16.0173
2021-11-10,16.1496
2021-11-11,16.2285
2021-11-12,15.948
2021-11-15,16.0348
2021-11-16,15.9124
2021-11-17,15.515
2021-11-18,16.7199
2021-11-19,14.7663
2021-11-22,15.0702
2021-11-23,14.9669
2021-11-24,15.264
2021-11-25,15.5077
2021-11-26,15.272
2021-11-29,15.4073
2021-11-30,15.3422
2021-12-01,16.3341
2021-12-02,15.4355
2021-12-03,16.4218
2021-12-06,16.3145
2021-12-07,15.3043
2021-12-08,15.124
2021-12-09,15.1466
2021-12-10,15.5889
2021-12-13,16.3656
2021-12-14,15.7864
2021-12-15,15.9787
2021-12-16,16.0314
2021-12-17,14.3825
2021-12-20,14.1645
2021-12-21,14.0296
2021-12-22,14.2708
2021-12-23,15.2548
2021-12-24,15.2995
2021-12-27,15.3924
2021-12-28,14.8391
2021-12-29,14.793
2021-12-30,15.418
2021-12-31,14.2216
2022-01-03,14.0991
2022-01-04,13.9948
2022-01-05,13.5643
2022-01-06,13.914
2022-01-07,13.9225
2022-01-10,14.5094
2022-01-11,14.7991
2022-01-12,14.5011
2022-01-13,13.9593
2022-01-14,14.86
2022-01-17,14.1628
2022-01-18,13.763
2022-01-19,15.0448
2022-01-20,14.4464
2022-01-21,14.2077
2022-01-24,14.9211
2022-01-25,14.7462
2022-01-26,14.3104
2022-01-27,14.2038
2022-01-28,14.2313
2022-01-31,13.9487
2022-02-01,14.2727
2022-02-02,14.3471
2022-02-03,14.2532
2022-02-04,13.9476
2022-02-07,14.4464
2022-02-08,14.5
2022-02-09,13.9668
2022-02-10,14.0506
2022-02-11,14.0234
2022-02-14,13.9469
2022-02-15,14.0083
2022-02-16,13.9937
2022-02-17,12.7361
2022-02-18,14.3879
2022-02-21,14.2933
2022-02-22,14.1724
2022-02-23,14.2231
2022-02-24,14.3318
2022-02-25,13.9817
2022-02-28,14.6626
2022-03-01,14.4238
2022-03-02,14.7448
2022-03-03,14.3795
2022-03-04,13.8998
2022-03-07,14.5463
2022-03-08,14.5198
2022-03-09,14.3592
2022-03-10,14.4696
2022-03-11,14.1673
2022-03-14,14.2559
2022-03-15,14.2944
2022-03-16,14.2987
2022-03-17,13.3092
2022-03-18,14.1234
2022-03-21,14.382
2022-03-22,14.3212
2022-03-23,14.2657
2022-03-24,14.1963
2022-03-25,14.0575
2022-03-28,13.8576
2022-03-29,13.6499
2022-03-30,12.9695
2022-03-31,12.7469
2022-04-01,14.0569
2022-04-04,14.1366
2022-04-05,14.0758
2022-04-06,14.111
2022-04-07,13.9237
2022-04-08,14.0562
2022-04-11,14.0525
2022-04-12,14.101
2022-04-13,13.6498
2022-04-14,12.9748
2022-04-15,14.0665
2022-04-18,13.9997
2022-04-19,14.152
2022-04-20,14.1627
2022-04-21,14.2439
2022-04-22,14.058
2022-04-25,14.0126
2022-04-26,13.9
2022-04-27,13.8001
2022-04-28,14.3164
2022-04-29,14.6194
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,13.7054
2022-05-09,13.805
2022-05-10,13.9726
2022-05-11,13.9687
2022-05-12,13.3882
2022-05-13,13.9121
2022-05-16,14.3258
2022-05-17,14.0546
2022-05-18,13.9138
2022-05-19,
2022-05-20,14.0903
2022-05-23,14.1466
2022-05-24,14.3031
2022-05-25,14.5038
2022-05-26,14.4283
2022-05-27,13.9555
2022-05-30,14.0976
2022-05-31,14.2354
2022-06-01,14.4928
2022-06-02,14.5811
2022-06-03,14.4145
2022-06-06,13.9951
2022-06-07,13.4493
2022-06-08,13.0064
2022-06-09,13.7877
2022-06-10,14.0078
2022-06-13,14.1504
2022-06-14,14.0713
2022-06-15,14.5182
2022-06-16,14.5072
2022-06-17,15.2006
2022-06-20,14.8842
2022-06-21,14.5229
2022-06-22,14.7651
2022-06-23,14.6664
2022-06-24,14.0043
2022-06-27,14.0283
2022-06-28,14.0996
2022-06-29,14.4917
2022-06-30,15.2886
2022-07-01,14.0201
2022-07-04,14.0008
2022-07-05,14.0218
2022-07-06,14.1848
2022-07-07,14.4291
2022-07-08,14.258
2022-07-11,
2022-07-12,
2022-07-13,14.9079
2022-07-14,14.8557
2022-07-15,
2022-07-18,14.0931
2022-07-19,14.1259
2022-07-20,14.1783
2022-07-21,15.0257
2022-07-22,14.3331
2022-07-25,14.5996
2022-07-26,14.1572
2022-07-27,14.9547
2022-07-28,14.9115
2022-07-29,14.0465
2022-08-01,14.0
2022-08-02,13.6115
2022-08-03,13.021
2022-08-04,13.0896
2022-08-05,14.3077
2022-08-08,14.6563
2022-08-09,14.4113
2022-08-10,14.3382
2022-08-11,13.8244
2022-08-12,13.9503
2022-08-15,14.1227
2022-08-16,14.169
2022-08-17,14.2053
2022-08-18,14.9677
2022-08-19,13.4937
2022-08-22,13.8122
2022-08-23,13.5
2022-08-24,13.4909
2022-08-25,12.4146
2022-08-26,12.0678
