dt,PYUK1,PYUK2,PYUK3,PYUK4
2007-03-30,37654.0,29711.0,196.0,-234.0
2007-04-06,40331.0,30241.0,208.0,-398.0
2007-04-13,40672.0,29621.0,260.0,-422.0
2007-04-20,42073.0,32040.0,31.0,2021.0
2007-04-27,43097.0,33769.0,199.0,630.0
2007-05-04,40150.0,33161.0,39.0,113.0
2007-05-11,41951.0,32105.0,1339.0,-1594.0
2007-05-18,44109.0,33411.0,400.0,713.0
2007-05-25,43850.0,32985.0,138.0,-399.0
2007-06-01,44842.0,33525.0,76.0,305.0
2007-06-08,42391.0,33526.0,98.0,-251.0
2007-06-15,43167.0,33521.0,-151.0,292.0
2007-06-22,44929.0,33779.0,598.0,-462.0
2007-06-29,44482.0,32784.0,31.0,-904.0
2007-07-06,50037.0,35019.0,475.0,1352.0
2007-07-13,53200.0,35513.0,279.0,348.0
2007-07-20,54621.0,36111.0,162.0,201.0
2007-07-27,53248.0,35853.0,536.0,-40.0
2007-08-03,52407.0,34663.0,-258.0,-605.0
2007-08-10,50893.0,34962.0,-86.0,-88.0
2007-08-17,42486.0,29786.0,-188.0,-1631.0
2007-08-24,46574.0,30597.0,-127.0,-669.0
2007-08-31,48764.0,30349.0,131.0,-110.0
2007-09-07,49878.0,30992.0,189.0,-266.0
2007-09-14,52156.0,31339.0,148.0,-69.0
2007-09-21,57371.0,33753.0,447.0,1027.0
2007-09-28,59010.0,33217.0,46.0,-1286.0
2007-10-05,61778.0,33563.0,40.0,-133.0
2007-10-12,64370.0,34806.0,870.0,468.0
2007-10-19,61455.0,34008.0,155.0,-290.0
2007-10-26,62201.0,34063.0,-186.0,-140.0
2007-11-02,64320.0,34449.0,94.0,-387.0
2007-11-09,61157.0,33821.0,-56.0,-242.0
2007-11-16,61374.0,33266.0,-166.0,-691.0
2007-11-23,58325.0,31345.0,117.0,-1347.0
2007-11-30,60549.0,30651.0,-123.0,-1012.0
2007-12-07,64389.0,31352.0,305.0,262.0
2007-12-14,63755.0,32189.0,205.0,504.0
2007-12-21,60983.0,31643.0,-168.0,-272.0
2007-12-28,63886.0,32035.0,-1.0,-77.0
2008-01-04,62070.0,32113.0,31.0,-212.0
2008-01-11,60234.0,33082.0,-94.0,487.0
2008-01-18,55279.0,32983.0,-303.0,527.0
2008-01-25,51425.0,32338.0,-60.0,159.0
2008-02-01,50624.0,33970.0,-53.0,812.0
2008-02-08,46901.0,32976.0,-7.0,-309.0
2008-02-15,50215.0,32395.0,-19.0,-696.0
2008-02-22,50986.0,32640.0,192.0,950.0
2008-02-29,51362.0,33407.0,10.0,19.0
2008-03-07,45968.0,31906.0,-245.0,-400.0
2008-03-14,46887.0,30942.0,78.0,71.0
2008-03-21,43412.0,29969.0,-125.0,-809.0
2008-03-28,42983.0,29959.0,-65.0,392.0
2008-04-04,43156.0,29031.0,-151.0,-665.0
2008-04-11,43535.0,28433.0,55.0,-19.0
2008-04-18,42520.0,27038.0,-126.0,-985.0
2008-04-25,44952.0,27356.0,96.0,-387.0
2008-05-02,45161.0,27471.0,60.0,-318.0
2008-05-09,44956.0,28090.0,760.0,380.0
2008-05-16,47644.0,28676.0,1063.0,121.0
2008-05-23,44704.0,28491.0,-163.0,-172.0
2008-05-30,45449.0,29024.0,-118.0,-90.0
2008-06-06,45440.0,28318.0,115.0,-583.0
2008-06-13,40544.0,27678.0,79.0,165.0
2008-06-20,42501.0,28146.0,1154.0,-274.0
2008-06-27,40040.0,28774.0,484.0,292.0
2008-07-04,38224.0,28841.0,-33.0,988.0
2008-07-11,40151.0,30180.0,110.0,220.0
2008-07-18,43810.0,31418.0,31.0,645.0
2008-07-25,43836.0,31425.0,183.0,-5.0
2008-08-01,50831.0,32335.0,537.0,-658.0
2008-08-08,49168.0,32277.0,-41.0,-192.0
2008-08-15,49027.0,31514.0,-687.0,-375.0
2008-08-22,46212.0,31141.0,-454.0,221.0
2008-08-29,45856.0,31654.0,-64.0,401.0
2008-09-05,43191.0,31065.0,33.0,196.0
2008-09-12,40310.0,29203.0,-36.0,-737.0
2008-09-19,37585.0,28176.0,-331.0,-187.0
2008-09-26,39487.0,29412.0,74.0,-54.0
2008-10-03,37301.0,27881.0,29.0,-257.0
2008-10-10,27494.0,23453.0,-504.0,-1165.0
2008-10-17,24004.0,20579.0,-422.0,-827.0
2008-10-24,18752.0,17079.0,-279.0,-638.0
2008-10-31,23531.0,18820.0,-188.0,-539.0
2008-11-07,23353.0,18418.0,149.0,-503.0
2008-11-14,20438.0,17161.0,-150.0,-50.0
2008-11-21,16683.0,16197.0,-263.0,-416.0
2008-11-28,21141.0,18057.0,8.0,149.0
2008-12-05,20157.0,18684.0,69.0,213.0
2008-12-12,20491.0,18757.0,9.0,-49.0
2008-12-19,22754.0,19888.0,153.0,246.0
2008-12-26,22890.0,20239.0,37.0,143.0
2009-01-02,23228.0,20308.0,-13.0,-113.0
2009-01-09,22444.0,20451.0,109.0,312.0
2009-01-16,20904.0,19904.0,-107.0,227.0
2009-01-23,19461.0,18795.0,-157.0,-805.0
2009-01-30,20852.0,18472.0,52.0,-739.0
2009-02-06,21102.0,18594.0,12.0,307.0
2009-02-13,20008.0,18433.0,-31.0,-62.0
2009-02-20,18223.0,16852.0,-218.0,-891.0
2009-02-27,18145.0,16226.0,-94.0,-618.0
2009-03-06,16919.0,15424.0,-66.0,-332.0
2009-03-13,17166.0,15378.0,-213.0,205.0
2009-03-20,17881.0,16451.0,12.0,240.0
2009-03-27,19486.0,16324.0,226.0,-457.0
2009-04-03,20849.0,16678.0,138.0,-152.0
2009-04-10,23080.0,17869.0,254.0,498.0
2009-04-17,23485.0,17427.0,143.0,-263.0
2009-04-24,22781.0,17089.0,185.0,27.0
2009-05-01,25135.0,17226.0,318.0,-784.0
2009-05-08,27224.0,18699.0,307.0,628.0
2009-05-15,27001.0,18513.0,2.0,198.0
2009-05-22,29661.0,18751.0,272.0,-303.0
2009-05-29,29148.0,19013.0,82.0,660.0
2009-06-05,29277.0,19035.0,-84.0,-358.0
2009-06-12,29051.0,18732.0,-23.0,-225.0
2009-06-19,29689.0,18999.0,57.0,349.0
2009-06-26,30600.0,18992.0,82.0,-225.0
2009-07-03,31661.0,19486.0,128.0,-1.0
2009-07-10,30965.0,19279.0,-98.0,-31.0
2009-07-17,32433.0,19970.0,-6.0,526.0
2009-07-24,34759.0,20522.0,-1.0,4.0
2009-07-31,37679.0,20894.0,189.0,40.0
2009-08-07,39331.0,21208.0,414.0,12.0
2009-08-14,39912.0,21068.0,-26.0,-42.0
2009-08-21,41533.0,20915.0,132.0,83.0
2009-08-28,41668.0,21237.0,43.0,427.0
2009-09-04,39952.0,21208.0,-56.0,93.0
2009-09-11,40074.0,21401.0,-156.0,257.0
2009-09-18,41819.0,22005.0,9.0,-57.0
2009-09-25,42344.0,22007.0,105.0,45.0
2009-10-02,41396.0,22069.0,61.0,132.0
2009-10-09,45247.0,23123.0,98.0,410.0
2009-10-16,46301.0,23516.0,94.0,58.0
2009-10-23,46390.0,22783.0,43.0,-314.0
2009-10-30,42877.0,21920.0,9.0,-464.0
2009-11-06,41995.0,21810.0,44.0,-65.0
2009-11-13,43589.0,22618.0,195.0,495.0
2009-11-20,40465.0,23145.0,-63.0,652.0
2009-11-27,40224.0,22580.0,-68.0,-1156.0
2009-12-04,44544.0,21930.0,117.0,-699.0
2009-12-11,43987.0,21501.0,192.0,-246.0
2009-12-18,44330.0,20694.0,145.0,-527.0
2009-12-25,45716.0,20843.0,119.0,78.0
2010-01-01,47080.0,21086.0,132.0,390.0
2010-01-08,50549.0,22958.0,175.0,1136.0
2010-01-15,50231.0,23536.0,226.0,131.0
2010-01-22,49661.0,22853.0,41.0,-224.0
2010-01-29,49559.0,22589.0,-32.0,-86.0
2010-02-05,46574.0,22012.0,-70.0,-561.0
2010-02-12,45821.0,21475.0,-260.0,-336.0
2010-02-19,46805.0,21679.0,193.0,423.0
2010-02-26,43216.0,20800.0,-65.0,-503.0
2010-03-05,45451.0,20726.0,-110.0,-94.0
2010-03-12,46249.0,21371.0,108.0,652.0
2010-03-19,47685.0,21982.0,91.0,379.0
2010-03-26,50165.0,22218.0,125.0,424.0
2010-04-02,52032.0,22998.0,164.0,397.0
2010-04-09,53832.0,24399.0,171.0,1205.0
2010-04-16,53178.0,25130.0,14.0,257.0
2010-04-23,53903.0,24984.0,0.0,-164.0
2010-04-30,53988.0,26119.0,-56.0,1201.0
2010-05-07,47472.0,24879.0,-56.0,-388.0
2010-05-14,50477.0,26109.0,-179.0,847.0
2010-05-21,46182.0,25735.0,44.0,557.0
2010-05-28,46222.0,26123.0,-327.0,167.0
2010-06-04,46865.0,26273.0,103.0,137.0
2010-06-11,46462.0,25701.0,-65.0,-221.0
2010-06-18,49620.0,26549.0,329.0,284.0
2010-06-25,48632.0,26019.0,198.0,-359.0
2010-07-02,47583.0,26387.0,-123.0,428.0
2010-07-09,50603.0,27368.0,124.0,365.0
2010-07-16,51857.0,28004.0,124.0,387.0
2010-07-23,53977.0,28732.0,275.0,433.0
2010-07-30,55028.0,28981.0,160.0,-19.0
2010-08-06,55513.0,29225.0,136.0,83.0
2010-08-13,53357.0,29102.0,-106.0,310.0
2010-08-20,54322.0,31647.0,72.0,2191.0
2010-08-27,54145.0,30939.0,-95.0,-322.0
2010-09-03,56303.0,31207.0,109.0,51.0
2010-09-10,56168.0,30804.0,242.0,-590.0
2010-09-17,60461.0,30375.0,293.0,-883.0
2010-09-24,61222.0,31354.0,482.0,858.0
2010-10-01,63751.0,32704.0,319.0,459.0
2010-10-08,67291.0,34582.0,202.0,966.0
2010-10-15,71110.0,35323.0,301.0,178.0
2010-10-22,71357.0,34721.0,240.0,-167.0
2010-10-29,67964.0,33950.0,254.0,-796.0
2010-11-05,73294.0,34955.0,224.0,-139.0
2010-11-12,70523.0,34295.0,196.0,-72.0
2010-11-19,70189.0,34118.0,0.0,254.0
2010-11-26,64394.0,34617.0,-252.0,1384.0
2010-12-03,65420.0,33653.0,414.0,-699.0
2010-12-10,63233.0,34294.0,-78.0,791.0
2010-12-17,60926.0,33308.0,-320.0,-575.0
2010-12-24,61421.0,32555.0,-35.0,-123.0
2010-12-31,61311.0,32710.0,-215.0,50.0
2011-01-07,63785.0,34714.0,215.0,1827.0
2011-01-14,62139.0,34314.0,-187.0,-88.0
2011-01-21,59421.0,35189.0,-355.0,1102.0
2011-01-28,57076.0,34610.0,-218.0,-105.0
2011-02-04,57295.0,34039.0,37.0,-385.0
2011-02-11,56582.0,34094.0,-204.0,505.0
2011-02-18,58684.0,35614.0,-120.0,1066.0
2011-02-25,53598.0,35461.0,-165.0,649.0
2011-03-04,52301.0,37045.0,-440.0,1684.0
2011-03-11,55144.0,37911.0,101.0,344.0
2011-03-18,55330.0,37927.0,28.0,-1.0
2011-03-25,57482.0,39181.0,-106.0,446.0
2011-04-01,58541.0,39675.0,184.0,227.0
2011-04-08,63625.0,42420.0,678.0,1881.0
2011-04-15,62894.0,43454.0,1.0,1287.0
2011-04-22,64179.0,44159.0,145.0,441.0
2011-04-29,64272.0,43899.0,-52.0,-348.0
2011-05-06,63204.0,43472.0,108.0,296.0
2011-05-13,58840.0,41192.0,-176.0,-1090.0
2011-05-20,57220.0,41311.0,100.0,-66.0
2011-05-27,56014.0,40862.0,-224.0,-28.0
2011-06-03,56342.0,41816.0,13.0,684.0
2011-06-10,57643.0,42676.0,1.0,534.0
2011-06-17,54262.0,42095.0,-213.0,277.0
2011-06-24,54694.0,42175.0,-21.0,376.0
2011-07-01,55534.0,42313.0,112.0,22.0
2011-07-08,56001.0,42546.0,31.0,471.0
2011-07-15,54436.0,42777.0,-7.0,509.0
2011-07-22,51488.0,42687.0,-13.0,519.0
2011-07-29,52921.0,42788.0,74.0,262.0
2011-08-05,47583.0,41795.0,20.0,-218.0
2011-08-12,41431.0,40446.0,-547.0,-96.0
2011-08-19,41119.0,40654.0,31.0,203.0
2011-08-26,42698.0,40088.0,-50.0,-775.0
2011-09-02,44531.0,40647.0,51.0,186.0
2011-09-09,45302.0,40391.0,156.0,91.0
2011-09-16,46118.0,39005.0,130.0,-1041.0
2011-09-23,44556.0,36615.0,346.0,-1413.0
2011-09-30,45851.0,35326.0,128.0,-646.0
2011-10-07,44418.0,35528.0,-72.0,-35.0
2011-10-14,46427.0,36896.0,6.0,1062.0
2011-10-21,43339.0,35279.0,-92.0,-822.0
2011-10-28,46657.0,36519.0,-303.0,-513.0
2011-11-04,45638.0,36634.0,-29.0,430.0
2011-11-11,45224.0,37403.0,88.0,816.0
2011-11-18,43299.0,35462.0,-96.0,229.0
2011-11-25,38383.0,34453.0,-271.0,11.0
2011-12-02,42744.0,36821.0,142.0,1728.0
2011-12-09,42156.0,38036.0,171.0,989.0
2011-12-16,39969.0,37193.0,-111.0,52.0
2011-12-23,39824.0,37532.0,-43.0,547.0
2011-12-30,39055.0,37533.0,68.0,726.0
2012-01-06,39169.0,38395.0,37.0,330.0
2012-01-13,40816.0,38750.0,-56.0,-498.0
2012-01-20,43276.0,38118.0,265.0,-1171.0
2012-01-27,46035.0,39264.0,75.0,248.0
2012-02-03,49509.0,40919.0,366.0,677.0
2012-02-10,49508.0,39766.0,307.0,-1444.0
2012-02-17,49829.0,38854.0,22.0,-389.0
2012-02-24,49399.0,39660.0,-15.0,146.0
2012-03-02,50449.0,40921.0,-56.0,775.0
