dt,TRY.MT02,TRY.MT06
2008-02-08,16.85,16.38
2008-02-15,16.81,16.21
2008-02-22,16.66,16.16
2008-02-29,16.88,16.07
2008-03-07,16.96,16.4
2008-03-14,16.83,16.22
2008-03-21,16.72,16.17
2008-03-28,16.93,16.29
2008-04-04,16.93,16.4
2008-04-11,16.93,16.3
2008-04-18,16.9,16.24
2008-04-25,17.06,16.25
2008-05-02,17.12,16.49
2008-05-09,17.45,16.58
2008-05-16,17.42,16.66
2008-05-23,17.59,16.84
2008-05-30,17.89,17.1
2008-06-06,18.02,17.13
2008-06-13,18.16,17.29
2008-06-20,18.15,17.47
2008-06-27,18.46,17.72
2008-07-04,18.82,18.03
2008-07-11,18.65,17.87
2008-07-18,18.86,17.86
2008-07-25,18.46,17.83
2008-08-01,18.73,17.87
2008-08-08,18.33,17.59
2008-08-15,18.72,17.77
2008-08-22,18.94,17.91
2008-08-29,18.81,17.93
2008-09-05,18.84,17.9
2008-09-12,18.82,17.75
2008-09-19,18.82,17.92
2008-09-26,18.97,18.14
2008-10-03,18.05,17.56
2008-10-10,19.18,18.33
2008-10-17,19.0,18.16
2008-10-24,19.58,18.38
2008-10-31,19.19,18.35
2008-11-07,20.46,19.13
2008-11-14,20.68,19.25
2008-11-21,20.84,19.23
2008-11-28,21.24,19.69
2008-12-05,20.97,19.43
2008-12-12,19.05,18.21
2008-12-19,20.64,19.21
2008-12-26,19.61,18.27
2009-01-02,19.2,18.05
2009-01-09,17.91,17.07
2009-01-16,16.27,15.47
2009-01-23,14.58,14.08
2009-01-30,14.18,13.7
2009-02-06,14.02,13.6
2009-02-13,13.96,13.44
2009-02-20,13.44,12.88
2009-02-27,12.79,12.2
2009-03-06,12.75,12.29
2009-03-13,12.73,12.1
2009-03-20,12.73,11.98
2009-03-27,12.47,11.63
2009-04-03,12.64,11.99
2009-04-10,12.51,11.89
2009-04-17,12.51,11.7
2009-04-24,12.12,11.36
2009-05-01,12.22,11.38
2009-05-08,12.3,11.53
2009-05-15,12.22,11.34
2009-05-22,12.26,11.19
2009-05-29,12.14,11.19
2009-06-05,12.19,11.2
2009-06-12,12.35,11.46
2009-06-19,12.44,11.29
