dt,AB.N06
2020-03-13,213707325.0
2020-03-20,200267213.0
2020-03-27,210154127.0
2020-04-03,180948194.0
2020-04-10,177213118.0
2020-04-17,179122151.0
2020-04-24,175874625.0
2020-05-01,195129833.0
2020-05-08,187905960.0
2020-05-15,180003357.0
2020-05-22,217052258.0
2020-05-29,224648607.0
2020-06-05,212859656.0
2020-06-12,214601429.0
2020-06-19,215353247.0
2020-06-26,199031673.0
2020-07-03,206444377.0
2020-07-10,220430466.0
2020-07-17,212464004.0
2020-07-24,196442312.0
2020-07-31,183713535.0
2020-08-07,198029924.0
2020-08-14,210144783.0
2020-08-21,205859591.0
2020-08-28,169845091.0
2020-09-04,137418888.0
2020-09-11,149322844.0
2020-09-18,141476830.0
2020-09-25,129893102.0
2020-10-02,129289827.0
2020-10-09,134890834.0
2020-10-16,145746993.0
2020-10-23,165540699.0
2020-10-30,153746726.0
2020-11-06,165183704.0
2020-11-13,127963195.0
2020-11-20,141498506.0
2020-11-27,108407673.0
2020-12-04,122300007.0
2020-12-11,122472516.0
2020-12-18,132580567.0
2020-12-25,118321410.0
2021-01-01,100483725.0
2021-01-08,99096618.0
2021-01-15,84350736.0
2021-01-22,82147865.0
2021-01-29,101490254.0
2021-02-05,100001439.0
2021-02-12,94192051.0
2021-02-19,84462023.0
2021-02-26,100163593.0
2021-03-05,86249417.0
2021-03-12,81562105.0
2021-03-19,101979306.0
2021-03-26,101545716.0
2021-04-02,87247124.0
2021-04-09,80933092.0
2021-04-16,85287989.0
2021-04-23,92817291.0
2021-04-30,97807340.0
2021-05-07,100367792.0
2021-05-14,105396456.0
2021-05-21,113529475.0
2021-05-28,104880622.0
2021-06-04,126679277.0
2021-06-11,127312643.0
2021-06-18,159175280.0
2021-06-25,181101279.0
2021-07-02,177270810.0
2021-07-09,201983147.0
2021-07-16,207889771.0
2021-07-23,202511158.0
2021-07-30,209197431.0
2021-08-06,214728082.0
2021-08-13,206721144.0
2021-08-20,219401386.0
2021-08-27,221063642.0
2021-09-03,230185417.0
2021-09-10,244346296.0
2021-09-17,239596353.0
2021-09-24,263467121.0
2021-10-01,259991455.0
2021-10-08,262343160.0
2021-10-15,293621396.0
2021-10-22,301043507.0
2021-10-29,309505093.0
2021-11-05,308620441.0
2021-11-12,283701877.0
2021-11-19,269339958.0
2021-11-26,295997130.0
2021-12-03,301224948.0
2021-12-10,291007933.0
2021-12-17,185009181.0
2021-12-24,98788523.0
2021-12-31,108219096.0
2022-01-07,108359039.0
2022-01-14,102191665.0
2022-01-21,124609539.0
2022-01-28,143166186.0
2022-02-04,221360237.0
2022-02-11,214034928.0
2022-02-18,269382905.0
2022-02-25,258872645.0
2022-03-04,256100561.0
2022-03-11,233846914.0
2022-03-18,252309328.0
2022-03-25,236507703.0
2022-04-01,240064785.0
2022-04-08,269590517.0
2022-04-15,279134724.0
2022-04-22,251640377.0
2022-04-29,251397070.0
