dt,KREDI.L001
2013-08-02,910249545.0
2013-08-09,908272768.0
2013-08-16,912062158.0
2013-08-23,920645907.0
2013-08-30,935978558.0
2013-09-06,938688900.0
2013-09-13,940997618.0
2013-09-20,939039439.0
2013-09-27,956996392.0
2013-10-04,952385408.0
2013-10-11,957523179.0
2013-10-18,954792814.0
2013-10-25,956240522.0
2013-11-01,961593428.0
2013-11-08,967405750.0
2013-11-15,973695542.0
2013-11-22,972054620.0
2013-11-29,982108266.0
2013-12-06,985059980.0
2013-12-13,991575484.0
2013-12-20,999306834.0
2013-12-27,1018735495.0
2014-01-03,1018991429.0
2014-01-10,1021469880.0
2014-01-17,1027546285.0
2014-01-24,1045493222.0
2014-01-31,1047493377.0
2014-02-07,1038228836.0
2014-02-14,1039181663.0
2014-02-21,1037908570.0
2014-02-28,1048728722.0
2014-03-07,1046422607.0
2014-03-14,1053569056.0
2014-03-21,1051965665.0
2014-03-28,1054659351.0
2014-04-04,1044640044.0
2014-04-11,1048253759.0
2014-04-18,1048850064.0
2014-04-25,1051456203.0
2014-05-02,1052604065.0
2014-05-09,1048797151.0
2014-05-16,1056324525.0
2014-05-23,1053318567.0
2014-05-30,1064531293.0
2014-06-06,1062822351.0
2014-06-13,1072653963.0
2014-06-20,1077369620.0
2014-06-27,1090914322.0
2014-07-04,1085161337.0
2014-07-11,1085589733.0
2014-07-18,1087845040.0
2014-07-25,1089848076.0
2014-08-01,1106371452.0
2014-08-08,1102545331.0
2014-08-15,1109934160.0
2014-08-22,1108641251.0
2014-08-29,1117458890.0
2014-09-05,1116734576.0
2014-09-12,1127279236.0
2014-09-19,1131439017.0
2014-09-26,1149227961.0
2014-10-03,1152048037.0
2014-10-10,1152206159.0
2014-10-17,1149552980.0
2014-10-24,1148820113.0
2014-10-31,1154887364.0
2014-11-07,1160130797.0
2014-11-14,1164289179.0
2014-11-21,1162602968.0
2014-11-28,1171994063.0
2014-12-05,1176651699.0
2014-12-12,1188124114.0
2014-12-19,1197062572.0
2014-12-26,1209005135.0
2015-01-02,1206016673.0
2015-01-09,1198671784.0
2015-01-16,1205849414.0
2015-01-23,1204699814.0
2015-01-30,1227249366.0
2015-02-06,1232973399.0
2015-02-13,1243192411.0
2015-02-20,1241142297.0
2015-02-27,1257262574.0
2015-03-06,1271922631.0
2015-03-13,1273431455.0
2015-03-20,1272884781.0
2015-03-27,1287325305.0
2015-04-03,1288377504.0
2015-04-10,1298833215.0
2015-04-17,1310056170.0
2015-04-24,1316545705.0
2015-05-01,1325335634.0
2015-05-08,1326985373.0
2015-05-15,1322942373.0
2015-05-22,1318213902.0
2015-05-29,1336108240.0
2015-06-05,1347217506.0
2015-06-12,1361369705.0
2015-06-19,1359928512.0
2015-06-26,1361832244.0
2015-07-03,1365523997.0
2015-07-10,1365457918.0
2015-07-17,1359526091.0
2015-07-24,1373502383.0
2015-07-31,1398382392.0
2015-08-07,1386326334.0
2015-08-14,1398952929.0
2015-08-21,1415679243.0
2015-08-28,1420988429.0
2015-09-04,1427937073.0
2015-09-11,1444151523.0
2015-09-18,1439811803.0
2015-09-25,1437654290.0
2015-10-02,1436318265.0
2015-10-09,1430881716.0
2015-10-16,1426851951.0
2015-10-23,1421420505.0
2015-10-30,1433293486.0
2015-11-06,1422806587.0
2015-11-13,1421080575.0
2015-11-20,1413652182.0
2015-11-27,1433212969.0
2015-12-04,1428618542.0
2015-12-11,1445742120.0
2015-12-18,1440100879.0
2015-12-25,1444444108.0
2016-01-01,1452160856.0
2016-01-08,1455414639.0
2016-01-15,1468881963.0
2016-01-22,1460905291.0
2016-01-29,1462789790.0
2016-02-05,1459304225.0
2016-02-12,1467528819.0
2016-02-19,1471029524.0
2016-02-26,1474594121.0
2016-03-04,1464134568.0
2016-03-11,1465869389.0
2016-03-18,1465422679.0
2016-03-25,1468915369.0
2016-04-01,1474109699.0
2016-04-08,1477291981.0
2016-04-15,1484641042.0
2016-04-22,1477510274.0
2016-04-29,1484170580.0
2016-05-06,1505175094.0
2016-05-13,1512964537.0
2016-05-20,1514936844.0
2016-05-27,1520059930.0
2016-06-03,1516103022.0
2016-06-10,1519126019.0
2016-06-17,1522626792.0
2016-06-24,1522248065.0
2016-07-01,1532046504.0
2016-07-08,1527885569.0
2016-07-15,1524620100.0
2016-07-22,1548511196.0
2016-07-29,1545761251.0
2016-08-05,1546597774.0
2016-08-12,1540686371.0
2016-08-19,1542052035.0
2016-08-26,1551697474.0
2016-09-02,1549545397.0
2016-09-09,1555850264.0
2016-09-16,1556546311.0
2016-09-23,1547071758.0
2016-09-30,1573027672.0
2016-10-07,1573921028.0
2016-10-14,1581863051.0
2016-10-21,1579249372.0
2016-10-28,1592377343.0
2016-11-04,1601676869.0
2016-11-11,1619138954.0
2016-11-18,1635832470.0
2016-11-25,1649953804.0
2016-12-02,1668656406.0
2016-12-09,1660943672.0
2016-12-16,1670758660.0
2016-12-23,1673110968.0
2016-12-30,1686908873.0
2017-01-06,1699385304.0
2017-01-13,1736823234.0
2017-01-20,1742162407.0
2017-01-27,1764908970.0
2017-02-03,1741234053.0
2017-02-10,1738916530.0
2017-02-17,1738619291.0
2017-02-24,1724170526.0
2017-03-03,1745845489.0
2017-03-10,1756503294.0
2017-03-17,1746139110.0
2017-03-24,1757877891.0
2017-03-31,1782745072.0
2017-04-07,1798752492.0
2017-04-14,1807469467.0
2017-04-21,1805306354.0
2017-04-28,1809584468.0
2017-05-05,1812176752.0
2017-05-12,1821613533.0
2017-05-19,1838458589.0
2017-05-26,1845264232.0
2017-06-02,1839620338.0
2017-06-09,1846876418.0
2017-06-16,1851034923.0
2017-06-23,1855466561.0
2017-06-30,1869898793.0
2017-07-07,1880609795.0
2017-07-14,1876439107.0
2017-07-21,1878943650.0
2017-07-28,1889598561.0
2017-08-04,1893101831.0
2017-08-11,1901946964.0
2017-08-18,1904285844.0
2017-08-25,1906591226.0
2017-09-01,1907050996.0
2017-09-08,1895900366.0
2017-09-15,1907617215.0
2017-09-22,1918822343.0
2017-09-29,1942097283.0
2017-10-06,1946023172.0
2017-10-13,1959979642.0
2017-10-20,1963650866.0
2017-10-27,1994701841.0
2017-11-03,1997633598.0
2017-11-10,2006746990.0
2017-11-17,2021956391.0
2017-11-24,2035851643.0
2017-12-01,2042841397.0
2017-12-08,2029307967.0
2017-12-15,2042858181.0
2017-12-22,2035534931.0
2017-12-29,2045329483.0
2018-01-05,2033815642.0
2018-01-12,2043964659.0
2018-01-19,2051355474.0
2018-01-26,2061105286.0
2018-02-02,2057899893.0
2018-02-09,2062998736.0
2018-02-16,2065740949.0
2018-02-23,2072257122.0
2018-03-02,2084917925.0
2018-03-09,2089155704.0
2018-03-16,2108919724.0
2018-03-23,2121318197.0
2018-03-30,2133194675.0
2018-04-06,2151797495.0
2018-04-13,2171534429.0
2018-04-20,2165171751.0
2018-04-27,2177566546.0
2018-05-04,2201727805.0
2018-05-11,2220493507.0
2018-05-18,2252703192.0
2018-05-25,2297403454.0
2018-06-01,2277414976.0
2018-06-08,2272758840.0
2018-06-15,2294964322.0
2018-06-22,2301809015.0
2018-06-29,2283353775.0
2018-07-06,2287466316.0
2018-07-13,2328924696.0
2018-07-20,2320713139.0
2018-07-27,2335678865.0
2018-08-03,2360843785.0
2018-08-10,2522104591.0
2018-08-17,2509716414.0
2018-08-24,2516553242.0
2018-08-31,2587738180.0
2018-09-07,2569247681.0
2018-09-14,2521498359.0
2018-09-21,2532650242.0
2018-09-28,2488466043.0
2018-10-05,2490693115.0
2018-10-12,2456640939.0
2018-10-19,2392625658.0
2018-10-26,2390577421.0
2018-11-02,2350266261.0
2018-11-09,2346363874.0
2018-11-16,2325833026.0
2018-11-23,2311404170.0
2018-11-30,2298625159.0
2018-12-07,2307623250.0
2018-12-14,2317381881.0
2018-12-21,2302432230.0
2018-12-28,2304027778.0
2019-01-04,2312842310.0
2019-01-11,2325692701.0
2019-01-18,2296171072.0
2019-01-25,2282714354.0
2019-02-01,2281185094.0
2019-02-08,2286575175.0
2019-02-15,2297428189.0
2019-02-22,2308867005.0
2019-03-01,2325933691.0
2019-03-08,2337101288.0
2019-03-15,2358990905.0
2019-03-22,2384744764.0
2019-03-29,2417936334.0
2019-04-05,2403401609.0
2019-04-12,2426380117.0
2019-04-19,2428875589.0
2019-04-26,2456107718.0
2019-05-03,2441882460.0
2019-05-10,2487772320.0
2019-05-17,2479954272.0
2019-05-24,2488420924.0
2019-05-31,2459622687.0
2019-06-07,2444692428.0
2019-06-14,2449022784.0
2019-06-21,2437631497.0
2019-06-28,2447479186.0
2019-07-05,2415433535.0
2019-07-12,2436390183.0
2019-07-19,2419918231.0
2019-07-26,2424218503.0
2019-08-02,2407749641.0
2019-08-09,2400879800.0
2019-08-16,2407119440.0
2019-08-23,2429759165.0
2019-08-30,2447586876.0
2019-09-06,2430593900.0
2019-09-13,2434616781.0
2019-09-20,2445501446.0
2019-09-27,2447373465.0
2019-10-04,2448462783.0
2019-10-11,2478693229.0
2019-10-18,2473748172.0
2019-10-25,2473115968.0
